N	3gram	Tiupa_Vved_1	Hudozhes
1	о том что	4	9
2	то же время	3	8
3	по отношению к	7	8
4	в то же	4	8
5	в том что	3	6
6	можно было бы	2	4
7	в этом отношении	4	3
8	в связи с	1	3
9	в первой главе	1	3
10	и в самом	1	3
11	тем не менее	3	3
12	как и в	2	3
13	по своей природе	2	2
14	о том как	1	2
15	при встрече с	1	2
16	не только в	2	2
17	если говорить о	1	2
18	в значительной степени	1	2
19	не в том	1	2
20	а порой и	1	2
21	вместо того чтобы	1	2
22	не может быть	3	2
23	несет на себе	1	2
24	в конечном счете	1	2
25	речь идет о	1	2
26	на то что	1	2
27	связано с тем	1	1
28	но именно поэтому	1	1
29	одного из участников	1	1
30	в следующем году	1	1
31	но и от	1	1
32	как уже говорилось	1	1
33	состоит в том	2	1
34	прежде всего на	1	1
35	мы узнаем что	1	1
36	на самом деле	3	1
37	но при этом	2	1
38	имеют для них	1	1
39	таком взгляде на	1	1
40	в этом смысле	1	1
41	то же самое	1	1
42	одной стороны и	1	1
43	может быть только	1	1
44	что у нее	1	1
45	и в этом	1	1
46	но пока еще	1	1
47	художественного письма не	1	1
48	в таком случае	1	1
49	и в то	1	1
50	до известной степени	1	1
51	сами по себе	1	1
52	а также в	1	1
53	более или менее	2	1
54	и та же	1	1
55	от первого лица	1	1
56	в отличие от	2	1
57	об этом в	1	1
58	видя в нем	1	1
59	к тому чтобы	1	1
60	где в частности	1	1
61	заключает в себе	1	1
62	здесь не в	1	1
63	облекается в молчание	1	1
64	есть на самом	1	1
65	к чеховскому рассказу	1	1
66	тогда как в	1	1
67	как правило не	2	1
68	в науке о	1	1
69	содержит в себе	1	1
70	в первом случае	1	1
71	не сводится к	4	1
72	при таком взгляде	1	1
73	в высшей степени	2	1
74	то в рассказе	1	1
75	по своему происхождению	1	1
76	но тут же	1	1
77	объясняется тем что	1	1
78	в том как	1	1
79	в равной степени	1	1
80	в нем не	1	1
81	во всяком случае	1	1
82	одна и та	1	1
83	как бы в	1	1
84	вследствие того что	1	1
85	при всей своей	2	1
86	а в том	1	1
87	в данном случае	6	1
88	значительный вклад в	1	1
89	как будто бы	3	1
90	к такого рода	1	1
91	на наших глазах	1	1
92	то что мы	1	1
93	в свою очередь	4	1
94	не со стороны	1	1
95	с того что	1	1
96	утра до вечера	1	1
97	времени и пространстве	1	1
98	во времени и	1	1
99	но в этом	1	1
100	по сути дела	1	1
101	которая может быть	1	1
102	друг от друга	1	1
103	все равно в	1	1
104	рассказ же о	1	1
105	все же не	1	1
106	с одной стороны	5	1
107	сюда же следует	1	1
108	так и по	1	1
109	в ответ на	1	1
110	не только от	1	1
111	человека в мире	1	1
112	героя и героини	1	1
113	с утра до	1	1
114	на первый взгляд	1	1
115	могло бы быть	1	1
116	пока еще не	3	1
117	в чеховском рассказе	1	1
