N	3gram	Vinokur_St_2	SlovoVZh
1	по отношению к	1	11
2	дело в том	4	4
3	в том что	16	4
4	тем не менее	2	3
5	бы то ни	2	3
6	до сих пор	5	3
7	то ни было	2	3
8	и то же	1	2
9	на самом деле	1	2
10	с другой стороны	3	2
11	с точки зрения	2	2
12	в зависимости от	1	2
13	одно и то	1	2
14	в отношении к	1	2
15	в данном случае	1	2
16	в настоящее время	1	2
17	не нуждаются в	1	1
18	том что в	2	1
19	но все же	2	1
20	каких бы то	1	1
21	а между тем	1	1
22	и тому же	1	1
23	и в этом	2	1
24	о том кто	1	1
25	но и вся	1	1
26	одним и тем	1	1
27	более или менее	2	1
28	друг к другу	1	1
29	во всяком случае	3	1
30	о самом себе	1	1
31	в самом деле	2	1
32	в этом смысле	1	1
33	свое выражение в	2	1
34	в то время	1	1
35	он не должен	1	1
36	сам по себе	1	1
37	но сами по	1	1
38	сами по себе	2	1
39	как на самом	1	1
40	в свою очередь	1	1
41	на этом основании	1	1
42	и проч все	1	1
43	о том что	11	1
44	но все это	2	1
45	ничего общего с	1	1
46	в этом отношении	9	1
47	с самого начала	3	1
48	то же время	1	1
49	в то же	1	1
50	говорит о том	1	1
51	богатым и разнообразным	1	1
52	в значительной степени	2	1
53	так же как	3	1
54	того что именно	1	1
55	и тем же	1	1
56	к тому же	2	1
57	одному и тому	1	1
58	в высшей степени	1	1
59	и на этом	1	1
60	в том же	2	1
