N	3gram	Nazirov_Tv_2	Marksizm
1	не может быть	3	10
2	по отношению к	3	8
3	то же время	7	8
4	в то же	7	8
5	в связи с	1	7
6	в том что	2	6
7	в самом деле	2	5
8	но в то	1	5
9	с самого начала	1	5
10	в свою очередь	1	5
11	той или иной	1	4
12	и не может	2	3
13	в таком случае	2	3
14	в отличие от	2	3
15	до сих пор	3	3
16	в высшей степени	1	3
17	о том что	2	3
18	того или иного	1	2
19	по крайней мере	2	2
20	во всяком случае	2	2
21	таком случае это	1	2
22	у нас не	1	2
23	в нем нет	1	2
24	и прежде всего	1	2
25	к тому же	1	2
26	в другом месте	1	1
27	приводит его к	1	1
28	дело в том	1	1
29	в том числе	1	1
30	можно говорить лишь	1	1
31	в соответствии с	4	1
32	в нем и	1	1
33	сами по себе	1	1
34	по самой своей	2	1
35	мы как бы	1	1
36	отнюдь не сводится	1	1
37	в первую очередь	1	1
38	а может быть	1	1
39	что приводит к	1	1
40	том числе и	1	1
41	как мы узнаем	1	1
42	и в процессе	1	1
43	не могут быть	1	1
44	а с другой	1	1
45	она отнюдь не	1	1
46	мы уже говорили	1	1
47	являются как бы	1	1
48	с другой стороны	2	1
49	и в том	1	1
50	соответствии с этим	1	1
51	и это не	1	1
52	так и в	2	1
53	то или иное	1	1
54	но отнюдь не	1	1
55	в конечном счете	1	1
56	в русской литературе	1	1
57	в дневнике писателя	2	1
58	не сводится к	1	1
59	тем что он	1	1
60	и между ними	1	1
61	как и в	1	1
62	одной из форм	1	1
