N	2gram	Losev_Prob_3	VerxiiNi
1	и в	44	26
2	таким образом	9	22
3	с тем	5	18
4	в этом	17	15
5	вместе с	2	15
6	точки зрения	5	13
7	как бы	9	12
8	в том	21	11
9	из этих	1	10
10	не только	14	10
11	и с	9	10
12	может быть	28	10
13	связи с	8	9
14	так как	9	9
15	но и	10	9
16	что в	8	9
17	но не	3	8
18	и у	2	8
19	с другой	7	8
20	и не	35	8
21	как на	2	8
22	но в	12	7
23	связанные с	1	7
24	но все	3	7
25	из них	2	7
26	том что	12	7
27	потому что	25	7
28	в эпоху	1	7
29	с одной	2	7
30	то что	23	7
31	а с	2	7
32	одной стороны	1	7
33	того же	2	6
34	представление о	1	6
35	все же	6	6
36	все эти	7	6
37	в себе	8	6
38	всяком случае	6	6
39	с точки	2	6
40	в отношении	2	6
41	к тому	3	6
42	так и	10	6
43	о том	6	6
44	в конце	5	6
45	что и	9	6
46	несмотря на	1	6
47	и потому	7	6
48	все это	5	6
49	мы должны	7	6
50	во всяком	9	6
51	сих пор	2	5
52	и к	6	5
53	тому же	1	5
54	лишь в	1	5
55	или менее	1	5
56	по крайней	5	5
57	не имеет	9	5
58	того чтобы	1	5
59	никогда не	6	5
60	для того	1	5
61	образом в	1	5
62	в его	9	5
63	крайней мере	5	5
64	до сих	2	5
65	а не	18	5
66	и для	2	5
67	так же	5	5
68	более или	1	5
69	в котором	2	4
70	то же	13	4
71	в самом	3	4
72	учение о	1	4
73	в этой	3	4
74	и по	2	4
75	что все	2	4
76	то есть	34	4
77	с другими	3	4
78	он не	8	4
79	далеко не	1	4
80	и тогда	3	4
81	в которых	3	4
82	в то	9	4
83	очень мало	2	4
84	в нем	9	4
85	а в	5	4
86	что оно	2	4
87	и что	7	4
88	и только	6	4
89	только в	19	4
90	к своим	1	4
91	на этот	4	4
92	ничем не	2	4
93	не может	7	4
94	из которых	2	4
95	и от	9	4
96	в этих	2	4
97	во время	1	4
98	что он	9	4
99	в виде	6	4
100	же как	3	3
101	из всех	1	3
102	не вполне	1	3
103	большей частью	1	3
104	в своем	5	3
105	и нет	2	3
106	когда он	2	3
107	и как	3	3
108	в которой	2	3
109	что это	3	3
110	так или	1	3
111	и если	6	3
112	при этом	4	3
113	всегда и	1	3
114	и при	2	3
115	оказывается что	1	3
116	тем не	10	3
117	если бы	3	3
118	не менее	10	3
119	как о	5	3
120	и о	5	3
121	на нее	1	3
122	ясно что	6	3
123	можно сказать	6	3
124	того что	8	3
125	но с	2	3
126	хотя бы	3	3
127	в качестве	3	3
128	так что	12	3
129	уже не	7	3
130	что эти	1	3
131	для него	3	3
132	в одном	1	3
133	случае не	3	3
134	и даже	14	3
135	или иначе	1	3
136	с ней	5	3
137	в связи	7	3
138	с этой	3	3
139	в результате	2	3
140	у них	2	3
141	конце концов	3	3
142	и другие	3	3
143	к этому	1	3
144	в таком	5	3
145	точно так	3	3
146	не должны	1	2
147	одним из	1	2
148	явлений природы	1	2
149	в русских	1	2
150	и это	9	2
151	и больше	3	2
152	его не	2	2
153	мы имеем	2	2
154	еще не	5	2
155	и на	1	2
156	бы то	4	2
157	во всех	2	2
158	или иное	2	2
159	отличаются от	1	2
160	относится к	1	2
161	общего с	3	2
162	что именно	1	2
163	некоторые из	1	2
164	еще на	2	2
165	он в	2	2
166	на то	3	2
167	перестает быть	1	2
168	не к	1	2
169	не как	1	2
170	и связанные	1	2
171	из него	2	2
172	его от	1	2
173	связан с	1	2
174	то ни	6	2
175	к другу	1	2
176	них не	1	2
177	образом если	1	2
178	в них	1	2
179	не всегда	1	2
180	мы видели	2	2
181	но если	6	2
182	не в	13	2
183	иной раз	3	2
184	из человеческих	1	2
185	вплоть до	1	2
