N	3gram	Potebnia_M_3	StatiiOP
1	и т д	3	21
2	в том что	16	17
3	о том что	1	11
4	для того чтобы	3	10
5	и т п	2	9
6	до сих пор	3	7
7	в этом отношении	2	7
8	на самом деле	1	6
9	в данном случае	1	6
10	с другой стороны	4	6
11	в самом деле	1	5
12	не может быть	3	5
13	то же время	5	4
14	не только в	4	4
15	так и в	2	4
16	что и в	3	4
17	на то что	1	4
18	в то же	5	4
19	по отношению к	5	3
20	только в том	3	3
21	в том как	3	3
22	заключается в том	1	3
23	ничего общего с	1	3
24	и в самом	2	3
25	за то что	1	3
26	в свое время	1	2
27	одним и тем	3	2
28	во многих случаях	1	2
29	каждого из них	1	2
30	и в том	2	2
31	но и в	4	2
32	и то что	1	2
33	по крайней мере	5	2
34	если бы мы	1	2
35	с одной стороны	3	2
36	в то время	4	2
37	так или иначе	1	2
38	не в том	5	2
39	было бы не	1	2
40	тем что в	1	2
41	вовсе не в	1	2
42	же и в	1	2
43	и тем же	3	2
44	по этому поводу	1	2
45	тем более что	1	2
46	в том смысле	3	2
47	тем не менее	3	2
48	как и в	2	2
49	то все же	1	1
50	а между тем	2	1
51	потому что он	3	1
52	уже в прошлом	1	1
53	если бы она	1	1
54	так же и	1	1
55	а не в	1	1
56	далеко не все	3	1
57	не говоря уже	1	1
58	и та и	1	1
59	том что он	2	1
60	в том же	2	1
61	сих пор еще	1	1
62	не могла бы	2	1
63	потому что не	3	1
64	одной точки зрения	1	1
65	заключается именно в	1	1
66	отношению к своему	1	1
67	говоря уже о	1	1
68	в таких случаях	1	1
69	сами по себе	1	1
70	что он не	3	1
71	каждое из них	1	1
72	каждой из этих	1	1
73	а может быть	1	1
74	только то что	1	1
75	с другой и	1	1
76	в каждом отдельном	1	1
77	и говорить о	1	1
78	что в то	3	1
79	было бы совершенно	1	1
80	как увидим ниже	1	1
81	в том случае	1	1
82	и в других	1	1
83	что разница между	1	1
84	ясно что и	1	1
85	то время как	1	1
86	и что в	1	1
87	то что оно	1	1
88	в том чтобы	2	1
89	с одной точки	1	1
90	не все в	1	1
91	том что как	1	1
92	ему самому и	1	1
93	то тем самым	3	1
94	в разной мере	1	1
95	с нашей точки	1	1
96	он не знает	1	1
97	чтобы найти эти	1	1
98	именно в том	2	1
99	и таким образом	1	1
100	а в том	5	1
101	но столь же	1	1
102	таким образом в	1	1
103	и о том	1	1
104	том смысле что	1	1
105	в одно целое	1	1
106	и по этому	1	1
107	смысле этого слова	7	1
108	звуков а не	1	1
109	как бы ни	2	1
110	живой речи в	1	1
111	может быть иначе	1	1
112	с этой стороны	2	1
113	как в самом	1	1
114	друг от друга	1	1
115	та и другая	1	1
116	после того как	1	1
117	к тому что	2	1
118	том что этот	1	1
119	так что в	1	1
120	сказать будто в	1	1
121	быть не может	1	1
122	не имел бы	1	1
123	в такой форме	1	1
124	могло бы быть	1	1
125	и тогда и	1	1
126	том что и	1	1
127	то что называют	1	1
