N	3gram	Tiupa_Disk_2	Hudozhes
1	в том что	6	11
2	по отношению к	4	7
3	о том что	3	7
4	даме с собачкой	1	6
5	в даме с	1	5
6	подобно тому как	2	4
7	то же время	5	4
8	в то же	4	4
9	том что в	1	3
10	в самом деле	1	3
11	в родном углу	1	3
12	но при этом	2	3
13	не может быть	3	3
14	как и в	5	3
15	в конечном счете	1	3
16	ни о чем	1	3
17	с одной стороны	4	3
18	тем не менее	1	3
19	в соответствии с	2	3
20	состоит в том	2	2
21	если можно так	1	2
22	с точки зрения	2	2
23	и в то	1	2
24	можно так выразиться	1	2
25	в данном случае	6	2
26	человек в футляре	1	2
27	не более чем	2	2
28	как будто бы	1	2
29	того или иного	1	2
30	между автором и	1	2
31	дистанции между ними	1	1
32	не в состоянии	1	1
33	одних и тех	1	1
34	дает себя знать	1	1
35	пределах одного текста	1	1
36	такова же и	1	1
37	не было видно	1	1
38	себя в другом	1	1
39	той или иной	3	1
40	человека в футляре	1	1
41	строгом значении этого	2	1
42	дело в том	2	1
43	двух или нескольких	1	1
44	мы ничего не	1	1
45	что на этом	1	1
46	и все же	3	1
47	[...] а потом	1	1
48	жизни своего рода	1	1
49	как в анекдоте	1	1
50	бы то ни	1	1
51	между тем как	1	1
52	в этом отношении	4	1
53	присутствия в мире	2	1
54	при переходе от	1	1
55	в другом и	1	1
56	том числе и	1	1
57	имеет своим истоком	1	1
58	и тех же	1	1
59	а с другой	1	1
60	и то что	2	1
61	нами своего рода	1	1
62	внешнее и внутреннее	1	1
63	в это время	1	1
64	в значительной степени	1	1
65	это своего рода	1	1
66	в строгом значении	2	1
67	другого в себе	1	1
68	из виду что	1	1
69	тем что он	1	1
70	же из этих	1	1
71	а также и	1	1
72	правильно поставленный вопрос	1	1
73	на этом свете	1	1
74	жизни и смерти	1	1
75	а не как	1	1
76	о чем не	1	1
77	перед нами своего	1	1
78	несет в себе	2	1
79	с другой стороны	1	1
80	и т.п в	1	1
81	места времени и	1	1
82	к этому ряду	1	1
83	содержит в себе	2	1
84	состава действующих лиц	1	1
85	на краткие мгновения	1	1
86	в своего рода	1	1
87	та или иная	1	1
88	в этом случае	2	1
89	упускать из виду	1	1
90	с самого начала	1	1
91	в повседневную жизнь	1	1
92	это отнюдь не	1	1
93	к чужому слову	1	1
94	по сути дела	1	1
95	можно сказать что	1	1
96	друг от друга	1	1
97	как художественного целого	1	1
98	содержание рассказа в	1	1
99	настоящего времени в	1	1
100	в одном из	1	1
101	в том числе	1	1
102	значении этого термина	1	1
103	легко может быть	2	1
104	в себе самом	1	1
105	мы имеем дело	1	1
106	между я и	1	1
107	в немалой степени	1	1
108	обратим внимание на	1	1
109	что на деле	1	1
110	в пределах одного	1	1
