N	4gram	Tiupa_Disk_1	EvropaiC
1	в том случае если	1	4
2	одного и того же	2	3
3	заключается в том что	1	3
4	в то же время	3	2
5	дело в том что	1	1
6	одно и то же	1	1
7	только в том случае	1	1
8	и не может быть	1	1
9	том и в другом	1	1
10	в том числе и	2	1
11	нет и не может	1	1
12	не только по отношению	1	1
13	более или менее значительный	1	1
14	в том или ином	1	1
15	одному и тому же	1	1
16	именно в том что	1	1
17	не в том что	1	1
18	в том что он	1	1
19	состоит в том что	1	1
20	только по отношению к	1	1
21	как и все прочие	1	1
22	и в том и	1	1
23	а в том что	2	1
24	в том и в	1	1
25	не говоря уже о	2	1
26	и в другом случае	1	1
27	состоит именно в том	1	1
28	в тех случаях когда	1	1
