N	3gram	Tiupa_Lite_2	UchenyiS
1	в конечном счете	5	4
2	не может быть	7	4
3	по нашему мнению	1	3
4	с другой стороны	4	3
5	то же время	9	3
6	бы то ни	1	3
7	в то же	9	3
8	то ни было	1	3
9	не могут быть	1	2
10	но даже и	1	2
11	то же самое	1	2
12	в этом отношении	3	2
13	в том что	5	2
14	по крайней мере	2	2
15	и то что	1	2
16	тех или иных	1	2
17	в конце концов	1	2
18	нам представляется что	1	1
19	не в том	1	1
20	как нам представляется	1	1
21	или иных приемов	1	1
22	в этом случае	2	1
23	в не меньшей	1	1
24	для тех кто	1	1
25	и в то	1	1
26	самом деле есть	1	1
27	является одним из	1	1
28	же время не	1	1
29	и прежде всего	1	1
30	то что было	1	1
31	не меньшей степени	1	1
32	быть не может	1	1
33	в данном случае	3	1
34	с одной стороны	6	1
