N	4gram	Vinokur_Ku_2	DiskursI
1	в то же время	3	3
2	не говоря уже о	2	2
3	только в том что	1	1
4	дело не в том	1	1
5	только в том случае	1	1
6	сошлюсь хотя бы на	1	1
7	в том или ином	1	1
8	в том случае если	2	1
9	состоит в том что	1	1
10	заключается в том что	1	1
11	в большей или меньшей	3	1
12	том и в другом	1	1
13	в том и в	1	1
14	и в другом случае	1	1
15	дело в том что	1	1
16	не только в том	1	1
17	не только потому что	2	1
18	и в том и	1	1
19	сами по себе они	1	1
20	из уст в уста	1	1
21	большей или меньшей степени	3	1
