N	3gram	Medvedev_F_1	Myslijsy
1	по отношению к	4	8
2	в том что	1	7
3	до тех пор	1	6
4	не может быть	5	5
5	и в этом	2	4
6	и т п	4	4
7	до сих пор	6	4
8	тем не менее	1	4
9	мы не можем	2	3
10	в то же	8	3
11	не только не	2	3
12	от того что	1	3
13	и т д	8	3
14	на самом деле	6	3
15	то же время	8	3
16	вместе с тем	1	3
17	с точки зрения	13	3
18	во всяком случае	4	3
19	так или иначе	1	2
20	в большинстве случаев	2	2
21	и в том	1	2
22	между тем как	1	2
23	хотя бы и	1	2
24	что и в	1	2
25	и как бы	1	2
26	сами по себе	2	2
27	в том и	1	2
28	более и более	2	2
29	все более и	2	2
30	в данном случае	1	2
31	и до сих	1	2
32	можно говорить о	1	1
33	с одной стороны	4	1
34	заключается в том	1	1
35	же время и	1	1
36	до настоящего времени	2	1
37	упуская из виду	1	1
38	и не в	2	1
39	на нее как	1	1
40	из себя как	1	1
41	не выходя за	1	1
42	в это время	1	1
43	оно еще не	1	1
44	роль в истории	1	1
45	прямой зависимости от	1	1
46	с самого начала	1	1
47	с другой стороны	1	1
48	может быть и	3	1
49	еще не было	1	1
50	иначе как в	1	1
51	и здесь основная	1	1
52	все то что	1	1
53	в той же	1	1
54	мы различаем в	1	1
55	смысле этого слова	3	1
56	к тому что	1	1
57	а не из	1	1
58	ничего общего с	1	1
59	в том чтобы	2	1
60	и не может	2	1
61	мы замечаем что	1	1
62	от действительности в	1	1
63	смысле можно говорить	1	1
64	чтобы понять что	1	1
65	в настоящее время	10	1
66	нет и не	2	1
67	из виду что	2	1
68	как один из	1	1
69	в том числе	1	1
70	в слове в	1	1
71	в этом отношении	1	1
72	не менее в	1	1
73	всего того что	1	1
74	если же он	1	1
75	в связи с	2	1
76	что перед нами	1	1
77	существует независимо от	1	1
78	к делу не	1	1
79	со всех сторон	1	1
80	что он в	1	1
81	то же что	1	1
82	но и в	1	1
83	том числе и	1	1
84	друг от друга	2	1
85	как бы ни	3	1
86	к тому чтобы	1	1
87	а не как	1	1
88	именно в том	1	1
89	в свою очередь	6	1
90	и потому не	1	1
91	нее как на	1	1
