N	3gram	Losev_Dial_1	Vladivir
1	в том что	7	10
2	тем не менее	1	9
3	о том что	2	8
4	это значит что	9	6
5	с точки зрения	12	6
6	не может быть	3	6
7	в конце концов	3	5
8	к тому же	1	5
9	и в этом	3	5
10	дело в том	1	5
11	более или менее	3	5
12	что же касается	1	5
13	как раз и	1	5
14	точно так же	2	4
15	никогда не был	1	4
16	то это значит	2	4
17	содержит в себе	3	4
18	ничего не говорит	4	4
19	в то время	1	4
20	с одной стороны	2	3
21	в этом смысле	3	3
22	в то же	4	3
23	никакого отношения к	1	3
24	само по себе	5	3
25	и в отношении	1	3
26	только в том	1	3
27	во всяком случае	2	3
28	так или иначе	1	2
29	те или иные	1	2
30	сам по себе	6	2
31	ни в каком	8	2
32	и в то	2	2
33	вовсе не есть	1	2
34	нельзя сказать что	1	2
35	то что это	1	2
36	с другой стороны	4	2
37	в чем нуждается	1	2
38	иметь в виду	3	2
39	что это есть	1	2
40	к тому что	2	2
41	имеет ничего общего	3	2
42	ничего общего с	3	2
43	в сравнении с	1	2
44	на то что	4	2
45	на самом же	1	2
46	то в чем	2	2
47	в этом отношении	2	2
48	есть прежде всего	1	2
49	одной стороны и	2	2
50	в связи с	1	2
51	то же время	4	2
52	самом же деле	1	2
53	не имеет ничего	3	2
54	по себе в	1	2
55	должны сказать что	1	2
56	то время как	1	2
57	а не только	1	2
58	еще и сейчас	1	2
59	ни в каких	1	2
60	но даже и	1	2
61	в себе также	1	1
62	это и есть	2	1
63	и должно быть	1	1
64	с самого начала	1	1
65	у него и	1	1
66	представить себе что	1	1
67	ни на каком	1	1
68	но это является	1	1
69	и в своей	1	1
70	что учение о	1	1
71	всякий скажет что	1	1
72	так а не	1	1
73	в новое время	1	1
74	в новой философии	1	1
75	и не в	1	1
76	но ясно что	1	1
77	да и то	3	1
78	если они не	1	1
79	все эти бесконечные	1	1
80	бы это было	1	1
81	в первую очередь	1	1
82	а только чисто	1	1
83	в последнем случае	1	1
84	так что в	1	1
85	и больше ничего	1	1
86	общего ни с	1	1
87	если иметь в	2	1
88	нет ровно никакого	1	1
89	и об отношении	1	1
90	не с точки	2	1
91	и то не	2	1
92	не было ни	1	1
93	то прежде всего	1	1
94	и ни на	1	1
95	именно то что	1	1
96	к своему собственному	1	1
97	это совершенно неверно	1	1
98	свое учение о	2	1
99	может и не	2	1
100	сказать что в	1	1
101	несмотря на свою	1	1
102	есть не больше	1	1
103	становится ясным что	1	1
104	той или другой	4	1
105	то же самое	1	1
106	чтобы можно было	1	1
107	то к чему	1	1
108	вот оказывается что	1	1
109	отнюдь не является	1	1
110	мы уже знаем	1	1
111	и это есть	1	1
112	как раз на	1	1
113	и то же	4	1
114	как то что	1	1
115	можно было бы	4	1
116	и то и	2	1
117	идти дальше и	1	1
118	ничего такого что	1	1
119	не есть ни	6	1
120	даже и вовсе	1	1
121	так что каждая	1	1
122	с ортодоксальной христианской	1	1
123	но никак не	1	1
124	но в конце	1	1
125	для того чтобы	1	1
126	имеет никакого отношения	1	1
127	и ни в	2	1
128	не есть только	1	1
129	не что иное	1	1
130	а содержит в	1	1
131	и тем не	1	1
132	и каждый раз	1	1
133	нечего и говорить	1	1
134	все же ее	1	1
135	далеко не всегда	1	1
136	и даже в	1	1
137	не был ни	1	1
138	а не иначе	1	1
139	только то что	3	1
140	то мы найдем	1	1
141	что в нем	3	1
142	может быть и	3	1
143	что иное как	1	1
144	в самом деле	1	1
145	уже знаем что	1	1
146	в отношении которой	1	1
147	как мы теперь	1	1
148	сама по себе	8	1
149	и если они	1	1
150	в виду что	1	1
151	ни в какой	1	1
152	отчет в том	1	1
153	не просто к	1	1
154	и вовсе не	1	1
155	теории можно говорить	1	1
156	если мы будем	1	1
157	и с ней	1	1
158	сих пор не	1	1
159	в каком смысле	1	1
160	конечно это не	1	1
161	ко всему этому	1	1
162	так как здесь	1	1
163	то что он	1	1
164	если бы не	1	1
165	не имеет никакого	3	1
166	так как иначе	1	1
167	ровно ничего не	3	1
168	той или иной	3	1
169	потому что он	3	1
170	не был бы	1	1
171	если бы мы	1	1
172	это было бы	1	1
173	еще не есть	1	1
174	одно и то	4	1
175	до сих пор	2	1
176	то и другое	2	1
177	христианской мифологии и	1	1
