N	3gram	Medvedev_F_1	SlovoVZh
1	по отношению к	4	11
2	не может быть	5	7
3	в нашем примере	1	7
4	как если бы	2	4
5	в том что	1	4
6	и не может	2	3
7	тем не менее	1	3
8	бы то ни	3	3
9	может быть и	3	3
10	этой точки зрения	1	3
11	до сих пор	6	3
12	бы мы ни	1	3
13	и не в	2	3
14	то ни было	1	3
15	в художественном произведении	2	3
16	на самом деле	6	2
17	с другой стороны	1	2
18	одной стороны и	4	2
19	как в нашем	1	2
20	с точки зрения	13	2
21	художественного произведения и	2	2
22	в зависимости от	2	2
23	в ней как	1	2
24	конечно не может	1	2
25	но отнюдь не	1	2
26	с этой стороны	1	2
27	только в процессе	1	2
28	в отношении к	1	2
29	в данном случае	1	2
30	в настоящее время	10	2
31	в жизни и	1	2
32	с одной стороны	4	2
33	тех или иных	1	1
34	зависимости от того	1	1
35	продукты идеологического творчества	1	1
36	не перестает быть	3	1
37	самом деле это	1	1
38	но все же	1	1
39	и в этом	2	1
40	между тем художественное	1	1
41	вопросов связанных с	1	1
42	или хотя бы	1	1
43	и потому не	1	1
44	с ним на	1	1
45	произведения и его	2	1
46	все более и	2	1
47	общего с социологией	1	1
48	не должна быть	1	1
49	более или менее	6	1
50	для других идеологических	1	1
51	во всяком случае	4	1
52	художественном произведении как	2	1
53	марксистский метод в	1	1
54	в этом смысле	1	1
55	самом же деле	1	1
56	для историка литературы	1	1
57	самом деле в	1	1
58	между тем как	1	1
59	по себе не	1	1
60	же как и	1	1
61	в нем и	2	1
62	определяется прежде всего	1	1
63	убедиться в этом	2	1
64	что в литературе	1	1
65	если же он	1	1
66	литературы и ее	1	1
67	сами по себе	2	1
68	но для этого	1	1
69	в свою очередь	6	1
70	с социологией не	1	1
71	сказать что и	1	1
72	но и в	1	1
73	же время не	1	1
74	науке о литературе	1	1
75	на самом же	1	1
76	в истории литературы	2	1
77	ничего общего с	1	1
78	в этом отношении	1	1
79	по аналогии с	3	1
80	с самого начала	1	1
81	более и более	2	1
82	поэтического стиля как	1	1
83	то же время	8	1
84	быть более или	1	1
85	только на основе	2	1
86	социологическому методу и	1	1
87	и теоретическая поэтика	1	1
88	в противном случае	1	1
89	в лучшем случае	3	1
90	и в истории	1	1
91	хотя и здесь	1	1
92	значения и ценности	1	1
93	со всех сторон	1	1
94	при таком понимании	2	1
95	задача социологической поэтики	1	1
96	в то же	8	1
97	таким образом не	1	1
98	отнюдь не является	1	1
99	и в частности	2	1
100	в процессе социального	1	1
101	в том и	1	1
102	сама по себе	2	1
103	если бы оно	2	1
104	для всего современного	1	1
105	чтобы убедиться в	2	1
106	с другой все	1	1
107	во внутренней речи	1	1
108	таким образом лишь	1	1
109	так же как	1	1
110	в двух направлениях	1	1
111	за его пределы	1	1
112	в литературе и	1	1
113	но в то	2	1
114	каждый элемент ее	1	1
115	мы увидим что	1	1
116	в этом достаточно	1	1
117	структуру художественного произведения	1	1
118	может быть более	1	1
119	в высшей степени	1	1
120	таком понимании форма	1	1
