N	3gram	Bakhtin_Fr_8	Otkroven
1	у него в	1	5
2	для того чтобы	2	3
3	искать не в	1	2
4	и в этом	1	2
5	с разных сторон	1	2
6	не может быть	2	2
7	но и в	1	2
8	у него всегда	1	2
9	и не быть	1	1
10	в другом месте	3	1
11	по сравнению с	1	1
12	в эпоху возрождения	2	1
13	не в том	1	1
14	потому что в	1	1
15	прежде всего в	1	1
16	друг к другу	1	1
17	в самом деле	1	1
18	как бы в	1	1
19	он не только	1	1
20	о том как	1	1
21	между этими двумя	1	1
22	после того как	1	1
23	о том что	2	1
24	в этом отношении	1	1
25	и в самом	1	1
26	ни с какими	1	1
27	и прежде всего	1	1
28	в том что	6	1
29	и то что	1	1
30	нужно отметить что	1	1
31	друг с другом	1	1
32	что это за	1	1
33	в самом начале	1	1
34	вместо того чтобы	1	1
35	не потому ли	1	1
36	как и в	4	1
37	в них раскрывается	1	1
