N	3gram	Voloshinov_1	PoTuStor
1	с точки зрения	5	6
2	на самом деле	3	4
3	с самого начала	4	4
4	до сих пор	1	3
5	по крайней мере	1	3
6	по сравнению с	1	3
7	не может быть	2	3
8	можно сказать что	2	3
9	в большинстве случаев	1	3
10	на две группы	1	2
11	связанных с ними	1	2
12	в самом деле	1	2
13	все то что	2	2
14	о том что	2	2
15	в конечном счете	1	2
16	и в этом	1	2
17	и того же	1	1
18	прежде всего на	1	1
19	мы имеем в	1	1
20	художественного творчества и	1	1
21	но даже и	1	1
22	одного и того	1	1
23	мы должны перейти	1	1
24	то же самое	4	1
25	и та же	1	1
26	в этом отношении	2	1
27	нет ничего удивительного	1	1
28	несмотря на это	1	1
29	другими словами на	1	1
30	можно было бы	1	1
31	что же делает	1	1
32	вместе с тем	2	1
33	нужно отметить что	1	1
34	и т.п и	2	1
35	в своей первой	1	1
36	значения из одного	1	1
37	в связи с	2	1
38	человек не может	1	1
39	и как всякий	1	1
40	на это мы	1	1
41	но вместе с	1	1
42	же самое и	1	1
43	в том что	1	1
44	на вопрос о	1	1
45	из всего сказанного	1	1
46	мы говорили что	1	1
47	в разных местах	2	1
48	ее не только	1	1
49	мы не можем	1	1
50	только одна из	1	1
51	войти в историю	1	1
52	связи с этим	2	1
53	одна и та	1	1
54	я и в	1	1
55	что иное как	2	1
56	и как мы	1	1
57	в каком направлении	1	1
58	не что иное	2	1
59	нам в голову	1	1
60	мы уже знаем	1	1
61	для того чтобы	7	1
62	на первый взгляд	1	1
63	самым существенным моментом	1	1
64	в душе человека	1	1
65	мы увидим что	2	1
66	той или иной	3	1
