N	2gram	Nazirov_Vr_1	Problemy
1	и не	5	31
2	и в	8	29
3	в его	3	24
4	может быть	4	24
5	в этом	8	22
6	т е	3	21
7	в нем	6	19
8	точки зрения	2	19
9	как бы	4	19
10	для него	2	18
11	у достоевского	4	16
12	не только	9	15
13	то что	7	15
14	то же	5	14
15	и его	3	14
16	рядом с	2	14
17	но и	7	14
18	с точки	2	13
19	уже не	2	13
20	достоевского в	7	12
21	роман достоевского	2	12
22	достоевского не	4	12
23	таким образом	2	12
24	как и	6	12
25	не может	2	12
26	о себе	3	12
27	в самом	1	10
28	этом смысле	1	10
29	из подполья	3	10
30	в то	5	10
31	в одном	1	10
32	с его	3	9
33	все же	6	9
34	это не	4	9
35	же время	5	9
36	о нем	6	9
37	но не	1	9
38	в романе	6	9
39	что в	7	8
40	творчества достоевского	1	8
41	в том	3	8
42	что он	4	8
43	потому что	1	8
44	до конца	1	8
45	в своем	3	8
46	в своей	2	8
47	и как	3	7
48	но в	6	7
49	в себе	2	7
50	достоевского и	7	7
51	том что	3	7
52	так и	1	7
53	в форме	1	7
54	романе достоевского	1	7
55	прежде всего	1	7
56	о достоевском	2	7
57	а в	2	7
58	одним из	3	6
59	так же	4	6
60	произведений достоевского	1	6
61	как в	1	6
62	в целом	1	6
63	выражение в	1	6
64	в мире	2	6
65	его в	3	6
66	несмотря на	4	6
67	могут быть	1	6
68	к нему	1	6
69	достоевский в	8	6
70	в конце	3	6
71	как раз	2	6
72	все это	4	6
73	это и	1	5
74	той же	1	5
75	у него	5	5
76	он не	3	5
77	в плане	1	5
78	было бы	1	5
79	он и	1	5
80	и это	2	5
81	и о	3	5
82	еще не	2	5
83	с ним	4	5
84	ничего не	1	5
85	между тем	5	5
86	именно в	1	5
87	более того	1	5
88	конце концов	1	5
89	для достоевского	1	5
90	во всяком	1	5
91	идет о	1	4
92	и наконец	1	4
93	в этой	2	4
94	человека в	3	4
95	в авторском	1	4
96	их в	2	4
97	раз и	1	4
98	в процессе	1	4
99	от того	1	4
100	достоевского к	3	4
101	и с	6	4
102	но у	1	4
103	в свете	1	4
104	в литературе	1	4
105	тем что	3	4
106	как же	2	4
107	не было	5	4
108	что же	1	4
109	но это	2	4
110	героя в	1	4
111	они не	1	4
112	отношения к	2	3
113	отношении к	1	3
114	я не	3	3
115	он сам	2	3
116	уже в	4	3
117	далеко не	3	3
118	вячеслав иванов	1	3
119	в их	1	3
120	одна из	2	3
121	достоевский не	3	3
122	героев и	1	3
123	никогда не	2	3
124	этом отношении	1	3
125	в духе	1	3
126	отличается от	1	3
127	с другой	1	3
128	все в	1	3
129	в них	2	3
130	в другой	1	3
131	романа в	1	3
132	но с	1	3
133	романа и	1	3
134	но как	2	3
135	и у	3	3
136	всяком случае	1	3
137	друг друга	1	3
138	достоевского с	9	3
139	достоевский был	2	3
140	как к	1	3
141	мире а	1	3
142	бы в	1	3
143	о своем	1	3
144	другой стороны	1	3
145	материал и	1	3
146	автора в	1	3
147	в своих	4	3
148	как на	1	3
149	все что	1	3
150	себя как	1	2
151	и есть	1	2
152	по преимуществу	1	2
153	совпадает с	1	2
154	из которых	1	2
155	разобраться в	1	2
156	в ней	4	2
157	достоевского был	1	2
158	то он	1	2
159	отношение к	2	2
160	в истории	4	2
161	в той	2	2
162	его на	2	2
163	с этим	1	2
164	для создания	1	2
165	момент его	1	2
166	всех этих	1	2
167	в россии	5	2
168	же не	2	2
169	при этом	4	2
170	достоевского он	2	2
171	в жизни	1	2
172	и уже	3	2
173	достоевский говорит	1	2
174	искать в	1	2
175	в котором	6	2
176	но он	3	2
177	у тургенева	11	2
178	однако в	1	2
179	человека но	1	2
180	но они	1	2
181	нем в	1	2
182	следовательно и	1	2
183	правда в	1	2
184	связи с	3	2
185	к себе	2	2
186	во все	1	2
187	идет не	1	2
188	и что	8	2
189	художником и	1	2
190	и сам	1	2
191	он писал	2	2
192	с героем	1	2
