N	3gram	Berdyaev_N_1	VeschiIm
1	не может быть	4	18
2	это значит что	1	17
3	может быть только	1	6
4	в том что	1	6
5	не только в	1	4
6	подобно тому как	3	3
7	можно было бы	1	3
8	вместе с тем	2	3
9	жизни и бытия	1	3
10	мы говорим что	1	2
11	но это значит	1	2
12	в нем нет	2	2
13	это не есть	1	2
14	она не может	2	2
15	и того же	1	1
16	что она не	1	1
17	в ней нет	1	1
18	только потому что	1	1
19	а не в	1	1
20	в этом смысле	2	1
21	есть прежде всего	1	1
22	не имеют никакого	1	1
23	и оно же	1	1
24	как это было	1	1
25	до сих пор	1	1
26	и во всех	1	1
27	и не может	1	1
28	в зависимости от	1	1
29	сами по себе	1	1
30	и не в	1	1
31	то время как	1	1
32	так же как	2	1
33	в том чтобы	1	1
34	не может уже	2	1
35	с одной стороны	2	1
36	и потому оно	1	1
37	было то что	1	1
38	и потому что	1	1
39	по природе своей	1	1
40	не в том	1	1
41	это не значит	2	1
42	для себя и	1	1
43	с другой стороны	2	1
44	когда мы говорим	2	1
45	значит что в	2	1
46	тому как в	1	1
47	во всяком случае	1	1
48	в то время	1	1
49	и вместе с	1	1
50	это и есть	1	1
51	не только потому	1	1
52	о том что	1	1
53	не к чему	1	1
54	вопрос о том	2	1
55	к ней нужно	1	1
56	одного и того	1	1
57	в том смысле	1	1
58	не значит что	3	1
