N	2gram	Propp_Russ_2	Problema
1	и в	29	44
2	и не	1	35
3	может быть	13	28
4	потому что	5	25
5	не просто	1	23
6	то что	5	23
7	в том	22	21
8	только в	1	19
9	а не	4	18
10	в этом	11	17
11	для нас	6	16
12	сказать что	1	16
13	когда мы	2	15
14	и то	2	14
15	не только	10	14
16	и даже	1	14
17	и т	5	13
18	то же	4	13
19	т д	5	13
20	не в	4	13
21	но в	5	12
22	том что	22	12
23	так что	4	12
24	не является	1	11
25	то это	1	10
26	отнюдь не	1	10
27	так и	1	10
28	как и	11	10
29	тем не	2	10
30	не менее	2	10
31	у нас	4	10
32	в виду	2	10
33	но и	8	10
34	не имеет	3	9
35	в нем	1	9
36	и с	10	9
37	это не	5	9
38	в то	2	9
39	и это	1	9
40	в его	1	9
41	что и	2	9
42	что он	1	9
43	так как	13	9
44	в данном	6	9
45	как бы	18	9
46	таким образом	6	9
47	и от	3	9
48	во всяком	1	9
49	перед нами	1	8
50	было бы	3	8
51	но это	1	8
52	и вообще	1	8
53	как раз	1	8
54	связи с	2	8
55	как мы	3	8
56	здесь не	1	8
57	того что	3	8
58	при помощи	1	8
59	а именно	3	8
60	что в	22	8
61	это и	2	7
62	мы не	6	7
63	на самом	2	7
64	все эти	3	7
65	мы должны	1	7
66	ничего общего	1	7
67	данном случае	7	7
68	с ним	1	7
69	и что	5	7
70	с другой	2	7
71	уже не	4	7
72	не может	5	7
73	и потому	1	7
74	все же	2	6
75	о том	9	6
76	и если	1	6
77	того или	1	6
78	но если	3	6
79	никогда не	2	6
80	для этого	5	6
81	можно сказать	1	6
82	всяком случае	1	6
83	в виде	4	6
84	и есть	1	5
85	еще не	6	5
86	значение и	1	5
87	что они	1	5
88	в своем	1	5
89	хотя и	1	5
90	с тем	6	5
91	в своей	2	5
92	нас не	2	5
93	как о	1	5
94	и его	1	5
95	и о	3	5
96	в ней	1	5
97	и здесь	1	5
98	что здесь	3	5
99	с той	1	5
100	только на	1	5
101	то и	4	5
102	или даже	3	5
103	в конце	1	5
104	не было	2	5
105	этом случае	6	5
106	так же	4	5
107	как в	7	5
108	этого слова	1	5
109	все это	10	5
110	а в	9	5
111	с ней	5	5
112	другой стороны	1	5
113	в таком	4	5
114	не что	2	4
115	мы уже	1	4
116	время как	1	4
117	что иное	2	4
118	иное как	2	4
119	то время	2	4
120	при этом	6	4
121	образа и	1	4
122	на первый	3	4
123	дело в	1	4
124	и притом	1	4
125	и является	1	4
126	только с	1	4
127	в ее	3	4
128	можно было	2	4
129	же и	1	4
130	ни с	1	4
131	тем что	3	4
132	же деле	2	4
133	нас в	1	4
134	или по	1	4
135	самом же	2	4
136	или в	7	4
137	а также	4	4
138	под него	1	4
139	совершенно не	2	4
140	же как	4	3
141	здесь и	1	3
142	говорить о	1	3
143	и ее	2	3
144	из того	1	3
145	там и	2	3
146	но не	5	3
147	кроме того	2	3
148	и как	2	3
149	в самом	1	3
150	что это	3	3
151	в этой	3	3
152	на то	1	3
153	как оно	2	3
154	что у	1	3
155	но все	1	3
156	значение в	1	3
157	об этом	2	3
158	его в	8	3
159	первую очередь	1	3
160	с другими	3	3
161	и тогда	1	3
162	бы к	1	3
163	в которых	4	3
164	но эта	1	3
165	и очень	1	3
166	в таких	3	3
167	ничего не	1	3
168	на которую	1	3
169	как будто	1	3
170	и такие	1	3
171	как только	1	3
172	для его	1	3
173	она не	3	3
174	без всякого	1	3
175	идет речь	1	3
176	с собой	1	3
177	когда в	1	3
178	если бы	1	3
179	во всей	1	3
180	может иметь	1	3
181	не так	1	3
182	быть и	1	3
183	этот вопрос	2	3
184	вся эта	2	3
185	в качестве	3	3
186	есть в	2	3
187	уже в	1	3
188	а это	1	3
189	в мифе	1	3
190	для него	1	3
191	могло бы	1	3
192	случае не	1	3
193	отличие от	3	3
194	здесь в	2	3
195	очень много	1	3
196	что для	3	3
197	прежде всего	2	3
198	в первую	1	3
199	в тех	1	3
200	отдельно от	1	3
201	или другого	1	3
202	с этой	2	3
203	в заключение	1	3
204	и все	4	3
205	из себя	1	3
206	тем более	1	3
207	будто бы	5	3
208	петра i	1	3
209	же в	6	3
210	есть уже	1	3
