N	3gram	Berdyaev_M_1	Hudozhes
1	по отношению к	2	10
2	в отличие от	1	7
3	в том что	1	5
4	так и не	1	4
5	несет в себе	1	3
6	что в основе	1	2
7	как бы не	1	2
8	но он не	2	2
9	в значительной степени	1	2
10	для того чтобы	2	2
11	добро и зло	1	1
12	если он не	1	1
13	что иное как	1	1
14	не все человеческие	1	1
15	может быть назван	1	1
16	прежде всего в	2	1
17	имеем в виду	1	1
18	точки зрения у	1	1
19	ивана карамазова в	1	1
20	у достоевского в	1	1
21	он мог бы	1	1
22	он не принадлежит	1	1
23	и состоит чтобы	1	1
24	том случае если	1	1
25	в зависимости от	1	1
26	в иных случаях	1	1
27	что он не	2	1
28	жизни не в	1	1
29	он обращен к	1	1
30	в себе и	1	1
31	заключает в себе	3	1
32	для него не	1	1
33	он ни был	1	1
34	в том случае	1	1
35	может быть и	1	1
36	и не быть	1	1
37	отношению к нему	1	1
38	и по отношению	1	1
39	не могут быть	2	1
40	и в этой	4	1
41	как бы в	1	1
42	на этом пути	2	1
43	и в том	1	1
44	в то время	2	1
45	не несет в	1	1
46	это и есть	4	1
47	о том что	1	1
48	в себе самом	1	1
49	и в самом	3	1
50	того что составляет	1	1
51	но во всех	1	1
52	мы имеем в	1	1
53	не что иное	1	1
54	в отношении к	1	1
55	он не только	2	1
56	в себе в	1	1
57	не может быть	17	1
58	к нему как	1	1
