N	3gram	Losev_Vlad_2	VrazhdaK
1	и все же	2	5
2	то же время	3	4
3	в то же	3	4
4	в вестнике европы	2	4
5	в январе года	1	3
6	в связи с	8	3
7	имел в виду	1	3
8	он не только	1	2
9	с точки зрения	3	2
10	в ноябре года	1	2
11	в эти годы	4	2
12	в письме к	4	2
13	но в то	1	2
14	в году в	1	2
15	вестнике европы №	1	2
16	не может быть	1	2
17	в мае года	1	2
18	в том что	9	2
19	и в ней	1	1
20	м м стасюлевичу	2	1
21	вышла в году	2	1
22	да и в	1	1
23	года он пишет	1	1
24	то что я	1	1
25	года в париже	1	1
26	в году когда	1	1
27	в марте года	1	1
28	в июле года	2	1
29	между прочим и	2	1
30	далеко не все	1	1
31	равно как и	1	1
32	в этом смысле	1	1
33	вот в чем	1	1
34	что это за	1	1
35	в том же	2	1
36	на первый план	2	1
37	до сих пор	1	1
38	а также в	1	1
39	в той же	1	1
40	не было бы	1	1
41	в этом отношении	1	1
42	что в нем	1	1
43	никто из них	1	1
44	но это не	1	1
45	в этот период	1	1
46	точно так же	3	1
47	только при помощи	1	1
48	с н трубецкой	2	1
49	эти годы он	2	1
50	по крайней мере	4	1
51	кто верит в	1	1
52	и то что	5	1
53	может быть и	1	1
54	и в то	1	1
55	в это время	4	1
56	и и с	1	1
57	все равно не	1	1
58	в высшей степени	1	1
59	в конце концов	3	1
60	и никому не	1	1
61	или по крайней	2	1
62	не только как	1	1
63	того же года	4	1
64	влюбился в него	1	1
65	во всяком случае	6	1
66	и в котором	1	1
67	связи с этим	1	1
68	тем не менее	6	1
69	в письмах и	1	1
70	в бесах мы	1	1
71	у него в	3	1
72	что в этой	1	1
73	заключается в том	2	1
74	в то время	6	1
75	его отношение к	1	1
76	в свою очередь	2	1
77	о том что	3	1
78	не забудем что	1	1
79	на этот раз	3	1
80	к нему с	1	1
81	на то что	2	1
82	в петербурге и	1	1
