N	3gram	Bakhtin_Pr_1	UchenyiS
1	не может быть	4	4
2	с другой стороны	3	3
3	то же время	9	3
4	бы то ни	2	3
5	в то же	9	3
6	то ни было	1	3
7	не могут быть	1	2
8	в самом деле	2	2
9	в этом смысле	10	2
10	то же самое	1	2
11	до сих пор	2	2
12	хотя бы и	2	2
13	в этом отношении	3	2
14	в художественном произведении	1	2
15	в том что	6	2
16	в противном случае	1	2
17	по крайней мере	1	2
18	и в частности	1	2
19	тех или иных	1	2
20	в конце концов	5	2
21	для него не	2	1
22	мы полагаем что	1	1
23	заключенных в нем	1	1
24	конце концов не	1	1
25	в своей работе	1	1
26	в большей или	1	1
27	или меньшей степени	1	1
28	не в том	1	1
29	по себе еще	2	1
30	все же не	2	1
31	не только к	1	1
32	более или менее	1	1
33	имеем в виду	1	1
34	большей или меньшей	1	1
35	на одно из	1	1
36	он может быть	2	1
37	оно перестает быть	1	1
38	в этом случае	1	1
39	уже не как	2	1
40	у него уже	1	1
41	приходится признать что	1	1
42	и в то	2	1
43	в той же	2	1
44	не входит в	3	1
45	все же остается	1	1
46	бы это было	1	1
47	само по себе	3	1
48	же время не	3	1
49	и независимо от	1	1
50	не было бы	1	1
51	в своей совокупности	1	1
52	но это не	2	1
53	можно сказать что	1	1
54	мы имеем в	1	1
55	и быть не	1	1
56	то что было	3	1
57	конечно не в	1	1
58	все это в	1	1
59	это не только	1	1
60	друг с другом	1	1
61	быть не может	1	1
62	не все в	1	1
63	а не только	1	1
64	если бы это	1	1
65	в данном случае	2	1
66	но именно этот	1	1
67	художественной формы в	1	1
68	но в то	5	1
69	не только в	2	1
70	тем что он	1	1
71	на первый взгляд	1	1
