N	3gram	Propp_Isto_3	VrazhdaK
1	в связи с	3	3
2	с точки зрения	1	2
3	не может быть	1	2
4	целый ряд деталей	2	2
5	в том что	5	2
6	смерти отца героя	1	1
7	следить за тем	1	1
8	между прочим и	1	1
9	равно как и	1	1
10	в соответствии с	1	1
11	до сих пор	5	1
12	независимо от того	1	1
13	что в нем	1	1
14	за тем чтобы	1	1
15	точно так же	2	1
16	с тех пор	1	1
17	и то что	2	1
18	может быть и	1	1
19	же сообщается о	1	1
20	так же как	1	1
21	было одним из	1	1
22	и никому не	1	1
23	все же не	1	1
24	во всяком случае	2	1
25	с другой стороны	7	1
26	тем не менее	5	1
27	о чем говорилось	1	1
28	заключается в том	1	1
29	в то время	2	1
30	в свою очередь	1	1
31	это и есть	1	1
32	о том что	2	1
33	постепенно выясняется что	1	1
34	не только не	2	1
35	я не знаю	3	1
36	но в этом	1	1
37	на то что	1	1
38	во второй раз	1	1
39	и все что	1	1
