N	2gram	Vygotskiy__3	Retstnzi
1	не может	7	4
2	и в	38	3
3	один из	6	2
4	нет и	1	1
5	эту издавна	1	1
6	и можно	1	1
7	смысл и	4	1
8	почти с	1	1
9	и не	10	1
10	тому что	6	1
11	не только	12	1
12	ни один	1	1
13	художественного произведения	1	1
14	бы на	1	1
15	событий и	1	1
16	точки зрения	16	1
17	на примере	2	1
18	но и	5	1
19	и заставляет	3	1
20	с другими	1	1
21	не из	1	1
22	именно с	1	1
23	по своим	1	1
24	в ней	15	1
25	превращается у	1	1
26	с теми	3	1
27	в то	3	1
28	с точки	9	1
29	и форму	1	1
30	и на	6	1
31	для него	2	1
32	мы видим	12	1
33	может не	1	1
34	и больше	2	1
35	к тому	6	1
36	а не	7	1
37	может быть	19	1
38	в противоположную	1	1
39	несмотря на	5	1
40	в его	5	1
41	он в	2	1
42	то же	10	1
43	и все	10	1
44	из этих	3	1
45	можно назвать	2	1
46	если бы	14	1
47	бы в	3	1
