N	3gram	Tiupa_Anal_3	Istorich
1	до сих пор	1	6
2	в этом случае	1	5
3	в том что	7	5
4	что он не	1	4
5	со всех сторон	1	4
6	не только в	1	4
7	в связи с	1	4
8	по отношению к	7	3
9	подобно тому как	2	3
10	с одной стороны	2	3
11	и может быть	1	2
12	что иное как	1	2
13	на самом деле	1	2
14	но они не	1	2
15	не что иное	1	2
16	с другой стороны	5	2
17	не может быть	1	2
18	о том что	5	2
19	дело не в	1	2
20	к тому же	3	2
21	к тому времени	1	1
22	в этой роли	1	1
23	и той же	2	1
24	и так сказать	1	1
25	друг от друга	1	1
26	а в русской	1	1
27	в зависимости от	1	1
28	сам по себе	1	1
29	в отличие от	2	1
30	далеко не единичный	1	1
31	это далеко не	1	1
32	и здесь мы	1	1
33	есть на самом	1	1
34	достигает своей цели	1	1
35	в себя и	1	1
36	в отдельности и	1	1
37	тем не менее	2	1
38	так или иначе	1	1
39	при всей своей	1	1
40	в тех случаях	1	1
41	есть не что	1	1
42	по себе а	1	1
43	не только не	3	1
44	что мы знаем	1	1
45	и прежде всего	2	1
46	с этой стороны	1	1
47	мы обратимся к	1	1
48	тех случаях когда	1	1
49	одной и той	2	1
50	том что он	2	1
