N	2gram	Trubetskoy_1	VelikijI
1	во имя	5	32
2	и не	19	20
3	и в	14	16
4	так как	4	9
5	то что	13	9
6	еще не	3	8
7	к богу	7	8
8	в истории	1	8
9	что они	3	7
10	на земле	4	7
11	а не	2	7
12	и потому	3	7
13	не есть	3	6
14	на себя	2	5
15	но и	10	5
16	по пути	1	5
17	того что	3	5
18	в мире	4	5
19	все это	6	5
20	как бы	4	5
21	и есть	2	4
22	говорить о	3	4
23	мира сего	1	4
24	в его	4	4
25	мы хотим	1	4
26	в этом	17	4
27	что он	6	4
28	потому что	5	4
29	в нем	5	4
30	так и	1	4
31	что все	3	4
32	что не	1	4
33	с богом	1	4
34	как и	4	4
35	в котором	2	4
36	всех существ	1	4
37	в ней	2	4
38	мира от	3	4
39	и все	1	4
40	они будут	2	4
41	все что	4	4
42	от этого	1	3
43	и что	2	3
44	должна быть	2	3
45	за то	2	3
46	нас и	1	3
47	хотя бы	5	3
48	то это	3	3
49	как не	1	3
50	лишь в	3	3
51	во всех	5	3
52	не захотел	1	3
53	что и	3	3
54	и будет	1	3
55	в том	17	3
56	но в	2	3
57	по этому	2	3
58	все эти	2	3
59	за ним	1	3
60	от которого	1	3
61	они в	1	3
62	в конце	3	3
63	их в	2	3
64	в своей	5	3
65	и мы	1	3
66	в жизни	1	3
67	не нужна	2	3
68	ни в	2	3
69	не было	3	3
70	не верит	1	3
71	должно быть	3	3
72	если не	2	3
73	в этих	2	3
74	что во	1	3
75	всех людей	2	3
76	не в	4	3
77	к чему	2	3
78	любовь к	2	3
79	тому что	2	3
80	но это	2	3
81	никогда не	5	3
82	личности и	1	3
83	превращается в	1	3
84	и для	6	3
85	к тому	7	3
86	жизни и	4	3
87	что в	4	3
88	людей в	1	3
89	а между	5	2
90	и это	1	2
91	того чтобы	8	2
92	и то	4	2
93	от своей	2	2
94	но мы	3	2
95	во главе	2	2
96	верит в	1	2
97	и т	3	2
98	можно было	4	2
99	и за	1	2
100	мы не	1	2
101	с ним	2	2
102	ее и	1	2
103	и во	3	2
104	и будут	3	2
105	между тем	5	2
106	нет и	1	2
107	от этих	1	2
108	которые не	1	2
109	только в	5	2
110	в себя	1	2
111	конечно не	5	2
112	уже не	2	2
113	авторитетом и	1	2
114	не только	9	2
115	раз навсегда	2	2
116	его и	2	2
117	не так	2	2
118	для него	6	2
119	не к	2	2
120	в прошлом	1	2
121	тем что	3	2
122	на том	3	2
123	не будет	7	2
124	совести и	1	2
125	это не	1	2
126	а с	2	2
127	прежде всего	8	2
128	для них	3	2
129	все равно	1	2
130	с тем	6	2
131	один из	1	2
132	для человека	1	2
133	богу и	1	2
134	и тогда	2	2
135	этому пути	1	2
136	не могут	4	2
137	которой они	1	2
138	самого себя	7	2
139	да и	3	2
140	в смысл	1	2
141	одна из	3	2
142	основанную на	1	2
143	соединения и	1	2
144	том что	9	2
145	тот кто	1	2
146	для нас	2	2
147	полного и	1	2
148	от него	2	2
149	и теперь	1	2
150	ее в	2	2
151	людей и	2	2
152	а в	5	2
153	но не	4	2
154	в духе	1	2
155	могут быть	1	2
156	чтобы сделать	1	2
157	всего в	1	2
158	во всяком	9	2
159	чудо и	1	1
160	не поднимается	1	1
161	от этой	2	1
162	эта идея	1	1
163	речь идет	2	1
164	как мы	1	1
165	быть может	1	1
166	для себя	2	1
167	в ее	1	1
168	ни стало	3	1
169	упорно и	1	1
170	роль в	1	1
171	свое место	1	1
172	он всегда	1	1
173	если они	2	1
174	то же	11	1
175	их и	1	1
176	от всякой	1	1
177	из всего	1	1
178	в результате	2	1
179	это только	2	1
180	по сравнению	1	1
181	вопрос о	5	1
182	не была	1	1
183	смысл бытия	1	1
184	и начало	1	1
185	возможна лишь	1	1
186	не был	1	1
187	в их	4	1
188	и на	5	1
189	он был	1	1
190	бы то	4	1
191	отказ от	1	1
192	любви к	2	1
193	природы и	1	1
194	что оно	3	1
195	к нему	2	1
196	ее к	1	1
197	по духу	3	1
198	но как	1	1
199	от них	1	1
200	для христианства	1	1
201	если в	6	1
202	а потому	5	1
203	тогда как	2	1
204	себе и	4	1
205	бы в	1	1
206	не просто	2	1
207	крайней мере	1	1
208	что бы	3	1
209	во что	3	1
210	в своем	6	1
211	самого факта	1	1
212	все же	4	1
213	сделать это	2	1
214	с ними	1	1
215	же за	1	1
216	в разные	1	1
217	со своей	1	1
218	в самом	3	1
219	в которой	1	1
220	что это	3	1
221	бы ни	2	1
222	их не	2	1
223	сущности и	1	1
224	в этой	4	1
225	же и	1	1
226	им в	1	1
227	вот в	1	1
228	то и	1	1
229	тем чтобы	3	1
230	в виде	3	1
231	и если	7	1
232	в праве	1	1
233	или даже	1	1
234	о которой	1	1
235	забыв о	1	1
236	абсолютное значение	1	1
237	государства как	1	1
