N	3gram	Vinokur_Ku_2	Formalny
1	с точки зрения	8	14
2	не может быть	4	14
3	на самом деле	2	12
4	в то же	3	7
5	то же время	3	7
6	во всяком случае	5	6
7	и т д	14	6
8	и т п	24	5
9	в зависимости от	4	5
10	с другой стороны	7	5
11	в самом деле	7	4
12	в данном случае	1	4
13	в связи с	3	4
14	бы то ни	1	4
15	то ни было	1	4
16	в большинстве случаев	1	4
17	для того чтобы	8	4
18	как мы знаем	1	4
19	потому что он	2	3
20	в этом отношении	3	3
21	вместе с тем	2	3
22	в том что	10	3
23	не следует что	1	2
24	в этом смысле	5	2
25	следовательно и в	1	2
26	то или иное	2	2
27	сами по себе	1	2
28	в отличие от	2	2
29	может быть только	2	2
30	только то что	1	2
31	дело в том	1	2
32	т п в	2	2
33	к тому что	1	2
34	тем не менее	5	2
35	то же что	1	2
36	дело не в	2	2
37	ведь на самом	1	2
38	смысле этого слова	1	2
39	в конце концов	3	2
40	как мы видели	1	2
41	и следовательно на	1	1
42	не выходит за	1	1
43	хотя и не	1	1
44	что же такое	1	1
45	лишь в той	1	1
46	нужно иметь в	1	1
47	огромном большинстве случаев	1	1
48	иметь в виду	1	1
49	какой бы то	1	1
50	это положение нуждается	1	1
51	в виду что	1	1
52	так как и	1	1
53	но оно не	1	1
54	в каждый данный	2	1
55	в настоящее время	1	1
56	т е не	1	1
57	и до конца	1	1
58	еще и иное	1	1
59	свое выражение в	1	1
60	в этом случае	2	1
61	можно утверждать что	1	1
62	каждый данный момент	2	1
63	в том или	1	1
64	а следовательно и	2	1
65	тот или иной	1	1
66	в лучшем случае	3	1
67	хотя бы и	2	1
68	сам по себе	1	1
69	отнюдь не следует	1	1
70	потому что и	1	1
71	т п т	1	1
72	к тому чтобы	1	1
73	но и здесь	1	1
74	в той мере	1	1
75	между тем наша	1	1
76	том или ином	1	1
77	в противном случае	1	1
78	с этой точки	2	1
79	до сих пор	1	1
80	и тем не	4	1
81	и в других	1	1
82	так или иначе	2	1
83	в такой степени	1	1
84	того чтобы не	1	1
85	в значительной степени	1	1
86	т е в	1	1
87	так же как	2	1
88	не потому что	1	1
89	не только в	4	1
90	в самом процессе	1	1
91	с одной стороны	1	1
92	можно говорить о	1	1
93	пр и пр	1	1
94	и в этой	1	1
95	т е на	2	1
96	вовсе не потому	1	1
97	не в том	1	1
98	в первый период	2	1
99	все более и	1	1
100	в огромном большинстве	1	1
101	как впрочем и	1	1
102	в последнее время	1	1
103	о которых идет	1	1
104	если бы например	2	1
105	мере в какой	1	1
106	не может и	1	1
107	и той же	1	1
108	и иное значение	1	1
109	потому что они	1	1
110	положение нуждается в	1	1
111	и пр и	1	1
112	этой точки зрения	2	1
113	о том что	1	1
114	того или иного	2	1
115	т е к	1	1
116	убедиться в этом	1	1
117	ни в каком	1	1
118	языка и его	1	1
119	может и не	1	1
120	можно было бы	9	1
121	он был бы	1	1
122	нельзя ставить рядом	1	1
123	и никогда не	1	1
124	с самого начала	1	1
125	и в самом	2	1
126	зависимости от того	1	1
127	более и более	1	1
128	но все же	2	1
129	можно сказать что	2	1
130	у нас в	1	1
131	на то что	2	1
132	указаний на то	1	1
133	этого слова и	1	1
134	одной и той	1	1
135	вовсе не следует	1	1
136	тех или иных	1	1
137	сама по себе	1	1
138	и в том	2	1
139	языка с помощью	1	1
140	п т е	1	1
141	нет никаких оснований	1	1
142	той мере в	1	1
143	как и в	1	1
144	которых идет речь	1	1
145	не нуждается в	1	1
