N	2gram	Savitsky_P_1	VerxiiNi
1	и в	14	26
2	с тем	3	18
3	в этом	10	15
4	русской культуры	1	15
5	вместе с	1	15
6	точки зрения	3	13
7	как бы	4	12
8	в том	9	11
9	из этих	1	10
10	не только	17	10
11	и с	2	10
12	может быть	5	10
13	в области	11	9
14	но и	6	9
15	что в	4	9
16	но не	3	8
17	в общем	2	8
18	главным образом	2	8
19	с другой	5	8
20	и не	12	8
21	как на	2	8
22	но в	9	7
23	связанные с	1	7
24	из них	2	7
25	том что	4	7
26	потому что	3	7
27	в эпоху	1	7
28	с одной	3	7
29	то что	4	7
30	а с	1	7
31	одной стороны	3	7
32	все же	1	6
33	в себе	3	6
34	всяком случае	1	6
35	с точки	3	6
36	в отношении	10	6
37	народной стихии	1	6
38	что и	1	6
39	и потому	4	6
40	все это	2	6
41	мы должны	4	6
42	во всяком	1	6
43	и к	4	5
44	тем чтобы	1	5
45	в силу	2	5
46	русской стихии	1	5
47	в мире	2	5
48	или менее	1	5
49	национального целого	1	5
50	не имеет	1	5
51	того чтобы	1	5
52	никогда не	1	5
53	с другом	1	5
54	для того	3	5
55	в его	2	5
56	богов и	1	5
57	а не	2	5
58	к жизни	1	5
59	друг с	1	5
60	так же	1	5
61	более или	1	5
62	том числе	2	5
63	в котором	4	4
64	то же	9	4
65	к востоку	1	4
66	в самом	1	4
67	в этой	1	4
68	и по	1	4
69	что все	1	4
70	далеко не	1	4
71	в которых	5	4
72	в то	7	4
73	в нем	3	4
74	а в	4	4
75	числе и	1	4
76	что оно	1	4
77	и что	1	4
78	и только	1	4
79	только в	7	4
80	не может	4	4
81	в смысле	6	4
82	в этих	1	4
83	в виде	2	4
84	же как	1	3
85	из всех	1	3
86	не вполне	1	3
87	так называемые	2	3
88	если в	2	3
89	к сожалению	1	3
90	в своем	4	3
91	и как	3	3
92	в которой	1	3
93	что это	1	3
94	и если	4	3
95	европейской культуры	4	3
96	и при	1	3
97	если бы	4	3
98	не менее	2	3
99	русский народ	2	3
100	представляет собой	1	3
101	в других	1	3
102	и о	5	3
103	культуры и	1	3
104	на нее	1	3
105	ясно что	1	3
106	в значительной	2	3
107	того что	2	3
108	хотя бы	8	3
109	в качестве	9	3
110	связывается с	1	3
111	к ним	1	3
112	в рамках	1	3
113	в результате	1	3
114	и другие	1	3
115	в русских	1	2
116	связана с	1	2
117	и это	2	2
118	грань между	1	2
119	еще не	1	2
120	и на	1	2
121	с его	1	2
122	во всех	2	2
123	различия между	1	2
124	что именно	1	2
125	на то	1	2
126	не могла	1	2
127	значительная часть	1	2
128	из этой	1	2
129	не к	2	2
130	не как	1	2
