N	3gram	Savitsky_E_1	FransuaR
1	то же время	14	6
2	в то же	15	6
3	но в то	2	4
4	в связи с	1	4
5	большей или меньшей	1	3
6	в том числе	1	3
7	в отличие от	1	3
8	а также и	1	3
9	и прежде всего	3	3
10	для того чтобы	5	3
11	в той или	3	2
12	но и в	1	2
13	в этом отношении	3	2
14	том числе и	1	2
15	можно было бы	3	2
16	в значительной степени	1	2
17	или меньшей степени	1	2
18	и не было	1	2
19	по сравнению с	2	2
20	в большей или	1	2
21	не может быть	2	2
22	в данном случае	2	2
23	той или иной	4	2
24	можно сказать что	3	2
25	в том же	1	2
26	как мы видели	2	2
27	следует прежде всего	1	1
28	смысле этого слова	1	1
29	что даже при	1	1
30	как и его	1	1
31	только в пределах	1	1
32	прежде всего в	2	1
33	дело в том	1	1
34	также и в	1	1
35	имеют дело с	1	1
36	в нем и	1	1
37	с точки зрения	16	1
38	в эту эпоху	1	1
39	хотя бы и	3	1
40	бы то ни	4	1
41	вместо того чтобы	1	1
42	или иной степени	1	1
43	в значительной мере	1	1
44	может быть и	1	1
45	и в частности	2	1
46	это может быть	1	1
47	точки зрения этих	1	1
48	в применении к	3	1
49	то ни было	4	1
50	мыслится как нечто	1	1
51	как одной из	1	1
52	и в этом	4	1
53	народа который не	1	1
54	во всяком случае	3	1
55	же время не	1	1
56	бы еще более	1	1
57	с другой стороны	2	1
58	само по себе	4	1
59	мы видели что	1	1
60	во всех этих	1	1
61	то что может	1	1
62	было бы совершенно	1	1
63	заключается в том	2	1
64	ни для каких	1	1
65	в свою очередь	2	1
66	связи с этим	1	1
67	в одном из	2	1
68	но и для	1	1
69	вовсе не в	1	1
70	неправильно думать что	1	1
71	кроме того что	1	1
72	культуры между тем	1	1
73	для каждого товара	1	1
74	например в том	1	1
75	бы совершенно неправильно	1	1
76	тех или иных	1	1
77	их можно было	1	1
78	так и по	1	1
79	но также и	1	1
80	в том что	6	1
81	при известных условиях	1	1
