N	4gram	Voloshinov_1	KulturaY
1	и тем не менее	1	3
2	в зависимости от того	1	3
3	один и тот же	2	2
4	и не может быть	1	1
5	одной и той же	1	1
6	и тот же объект	1	1
7	одна на другую и	1	1
8	который как мы видели	1	1
9	во что бы то	1	1
10	в самом деле ведь	1	1
11	я не сомневаюсь что	1	1
12	в то время когда	1	1
13	бы то ни стало	1	1
14	в самое последнее время	1	1
15	а может быть и	1	1
16	что бы то ни	1	1
17	в самом деле откуда	1	1
18	и в вопросе о	1	1
19	может повлечь за собой	1	1
20	в то же время	5	1
