N	4gram	Tiupa_Anal_1	Vvedenie
1	в то же время	6	6
2	той мере в какой	2	5
3	в той мере в	2	5
4	не что иное как	4	4
5	но в то же	2	3
6	есть не что иное	3	2
7	одной и той же	1	2
8	состоит в том что	3	2
9	одно и то же	1	1
10	для того чтобы быть	1	1
11	в той или иной	3	1
12	он в то же	1	1
13	так как если бы	1	1
14	лишь в том что	1	1
15	в собственном смысле слова	1	1
16	в том виде в	1	1
17	с этой точки зрения	1	1
18	мы имеем в виду	1	1
19	собой не что иное	1	1
20	большей или меньшей степени	1	1
21	принципе не может быть	1	1
22	в том или ином	2	1
23	не сам по себе	1	1
24	том виде в каком	1	1
25	не говоря уже о	1	1
26	не остается ничего иного	2	1
27	в широком смысле этого	1	1
28	в большей или меньшей	1	1
29	мы имеем дело с	3	1
30	дело не только в	1	1
31	бы то ни было	3	1
32	не может быть определено	1	1
33	одного и того же	2	1
34	не только в том	1	1
35	в самом деле как	1	1
36	внешнего по отношению к	1	1
37	в принципе не может	1	1
38	остается ничего иного как	2	1
39	какой бы то ни	2	1
40	до тех пор пока	1	1
