N	2gram	Vinokur_Ku_2	Narrotol
1	не только	20	31
2	но и	7	27
3	и не	16	23
4	при этом	2	19
5	может быть	15	15
6	в качестве	8	14
7	в частности	2	14
8	как и	2	13
9	а не	10	13
10	а в	3	13
11	в этом	18	12
12	только в	5	12
13	и в	23	11
14	в данном	4	11
15	состоит в	2	10
16	своего рода	4	10
17	и его	3	10
18	такого рода	1	10
19	то что	9	9
20	то же	6	8
21	не может	9	8
22	данном случае	2	8
23	в том	19	8
24	уже не	8	8
25	со стороны	4	8
26	но в	11	7
27	том что	11	7
28	если бы	12	7
29	на протяжении	1	7
30	у него	3	7
31	и он	1	6
32	в самом	12	6
33	не в	8	6
34	в этой	6	6
35	в себе	1	6
36	тому же	1	6
37	об этом	5	6
38	не мог	1	6
39	к тому	4	6
40	одного из	2	6
41	в его	5	6
42	как бы	4	6
43	один из	5	6
44	как раз	3	6
45	или в	4	6
46	а также	3	6
47	и на	6	5
48	как правило	1	5
49	перед нами	4	5
50	так и	4	5
51	точки зрения	14	5
52	в своей	2	5
53	тем самым	2	5
54	потому что	25	5
55	можно сказать	4	5
56	в соответствии	3	5
57	столь же	1	5
58	то в	1	4
59	еще не	5	4
60	с его	1	4
61	но не	6	4
62	как в	3	4
63	все же	7	4
64	хотя и	4	4
65	из этих	1	4
66	в нем	4	4
67	в принципе	1	4
68	по себе	10	4
69	и тем	5	4
70	соответствии с	2	4
71	в одном	1	4
72	в то	4	4
73	одна из	1	4
74	того чтобы	11	4
75	никогда не	2	4
76	что на	4	4
77	в ней	3	4
78	так в	3	4
79	что у	2	4
80	о том	1	4
81	внимание на	1	4
82	же время	3	4
83	к нему	2	4
84	того что	3	4
85	для него	1	4
86	слова в	6	4
87	у нее	1	4
88	или иной	1	4
89	прежде всего	8	4
90	в речи	6	4
91	однако и	2	4
92	или не	1	4
93	имеет место	1	4
94	речь идет	2	3
95	также и	5	3
96	и то	5	3
97	самом деле	9	3
98	идет о	1	3
99	едва ли	1	3
100	всего лишь	3	3
101	мы имеем	5	3
102	мы не	1	3
103	но как	1	3
104	в своем	2	3
105	и как	1	3
106	к чему	1	3
107	в целом	1	3
108	в нашем	7	3
109	он не	3	3
110	для того	9	3
111	и с	7	3
112	в глазах	2	3
113	это не	6	3
114	в слове	1	3
115	не всегда	2	3
116	в современной	2	3
117	еще раз	1	3
118	теперь как	1	3
119	тем не	6	3
120	их в	1	3
121	однако в	1	3
122	не менее	7	3
123	как будто	2	3
124	этом отношении	3	3
125	за ними	2	3
126	у нас	12	3
127	и о	4	3
128	когда в	2	3
129	различного рода	1	3
130	сводится к	3	3
131	обращается к	1	3
132	лишь в	5	3
133	в конечном	2	3
134	между тем	6	3
135	что он	5	3
136	по отношению	1	3
137	могло бы	1	3
138	может служить	2	3
139	не говорит	2	3
140	именно в	3	3
141	не было	4	3
142	как это	5	3
143	быть не	2	3
144	но для	3	3
145	и все	2	3
146	что в	10	3
147	в сфере	3	2
148	тем же	2	2
149	в зависимости	4	2
150	и для	2	2
151	в сущности	9	2
152	зависимости от	5	2
153	меньшей степени	3	2
154	в чем	1	2
155	для обозначения	2	2
156	отличие от	2	2
157	отнюдь не	4	2
158	в той	2	2
159	из уст	1	2
160	что касается	2	2
161	в известном	1	2
162	роль в	2	2
163	на то	4	2
164	не могла	1	2
165	в случае	1	2
166	слово это	6	2
167	и еще	2	2
168	и вот	5	2
169	не будет	1	2
170	а по	1	2
171	я в	1	2
172	все равно	2	2
173	этого не	3	2
174	он и	2	2
175	в этих	1	2
176	в отличие	2	2
177	сих пор	1	2
178	того кто	1	2
179	она не	2	2
180	не имеет	4	2
181	дело в	1	2
182	дело не	2	2
183	казалось бы	3	2
184	ничего не	4	2
185	связи с	3	2
186	ли не	2	2
187	оно не	2	2
188	как мы	3	2
189	в театре	1	2
190	с ее	1	2
191	свою очередь	2	2
192	здесь не	3	2
193	другой стороны	7	2
194	в пределах	4	2
