N	2gram	Propp_Morf_1	Myshleni
1	и в	13	28
2	в том	6	28
3	то что	8	28
4	в этом	14	27
5	того что	3	24
6	потому что	3	22
7	том что	4	19
8	не может	14	19
9	таким образом	21	18
10	что он	4	18
11	только в	2	18
12	в силу	1	17
13	что в	8	17
14	не только	4	16
15	так же	3	15
16	точки зрения	2	13
17	может быть	52	13
18	с помощью	1	13
19	сказать что	2	13
20	тому что	4	11
21	и не	12	11
22	что мы	2	11
23	как бы	3	11
24	но не	4	10
25	по отношению	4	10
26	с точки	2	10
27	того чтобы	3	10
28	к тому	4	10
29	как мы	6	10
30	так как	16	10
31	от того	3	10
32	но и	4	10
33	отношению к	4	10
34	понятия и	1	10
35	могли бы	1	9
36	было бы	3	9
37	мы можем	2	9
38	между собой	4	9
39	тем что	4	8
40	для того	2	8
41	еще не	3	8
42	то же	7	7
43	в сущности	3	7
44	отношение к	1	7
45	в которой	3	7
46	с самого	1	7
47	он не	3	7
48	самого начала	1	7
49	можно было	2	7
50	если бы	2	7
51	мы видим	13	7
52	там где	5	7
53	между ними	1	7
54	мы не	8	6
55	в чем	1	6
56	и как	5	6
57	и к	4	6
58	как и	3	6
59	для него	1	6
60	не имеет	2	6
61	обобщения и	1	6
62	когда мы	1	6
63	же самое	1	6
64	то время	3	6
65	приводит к	2	6
66	так и	6	6
67	и что	2	6
68	можно сказать	2	6
69	его в	2	6
70	так что	1	6
71	как раз	1	6
72	в области	1	6
73	и развития	1	6
74	вообще не	1	6
75	к другой	1	6
76	в то	3	6
77	показать что	4	5
78	вопрос о	7	5
79	а другой	1	5
80	время как	3	5
81	и на	1	5
82	но в	2	5
83	то в	3	5
84	в этой	2	5
85	и тем	2	5
86	с тем	2	5
87	того как	2	5
88	с другом	1	5
89	один раз	1	5
90	не могут	4	5
91	могут быть	16	5
92	в пределах	3	5
93	это не	6	5
94	содержится в	1	5
95	думается что	1	5
96	друг с	1	5
97	и все	1	5
98	например в	2	4
99	и то	1	4
100	в первом	3	4
101	мы имеем	9	4
102	во всех	4	4
103	в одной	1	4
104	в той	1	4
105	с этим	11	4
106	целый ряд	3	4
107	в себе	1	4
108	в нашем	3	4
109	на то	2	4
110	на этом	3	4
111	к другу	2	4
112	но если	7	4
113	он должен	2	4
114	установить что	1	4
115	не в	3	4
116	оно не	2	4
117	что при	2	4
118	как по	1	4
119	ясно что	5	4
120	данного понятия	1	4
121	что и	7	4
122	в качестве	5	4
123	которые в	1	4
124	в состоянии	1	4
125	друг друга	3	4
126	понятия не	1	4
127	на этот	1	4
128	в частности	2	4
129	они не	1	4
130	ту же	2	3
131	начинается с	3	3
132	это и	2	3
133	с его	2	3
134	друг к	2	3
135	из этих	1	3
136	мы нашли	1	3
137	значение для	1	3
138	независимо от	3	3
139	как в	3	3
140	хотя и	3	3
141	представляет собой	17	3
142	отношение между	1	3
143	на его	4	3
144	связанные с	1	3
145	при этом	1	3
146	и по	2	3
147	в каждом	1	3
148	а по	3	3
149	с того	3	3
150	в ином	2	3
151	в них	1	3
152	что такое	3	3
153	для данного	1	3
154	до известной	1	3
155	что с	1	3
156	в основе	1	3
157	это мы	1	3
158	больше чем	1	3
159	связи с	10	3
160	не по	2	3
161	этом отношении	1	3
162	представляют собой	11	3
163	совершается в	2	3
164	действия и	1	3
165	но мы	3	3
166	те же	1	3
167	мог бы	1	3
168	и здесь	5	3
169	быть выражено	1	3
170	до сих	1	3
171	во втором	3	3
172	в его	1	3
173	один из	5	3
174	функций которые	1	3
175	этот вопрос	2	3
176	и его	1	3
177	в нашей	1	3
178	а не	11	3
179	совершенно очевидно	1	3
180	но как	2	3
181	как это	3	3
182	по вертикали	1	3
183	сих пор	1	3
184	в целом	3	3
185	по горизонтали	1	3
186	тем и	2	3
187	в другой	1	3
188	мы должны	3	3
189	в ходе	4	3
190	не знает	1	3
191	первом случае	3	3
192	как на	1	3
193	эти функции	2	2
194	одним из	1	2
195	и вызывает	3	2
196	увидим ниже	5	2
197	самом деле	4	2
198	он может	2	2
199	мы уже	1	2
200	вместо того	1	2
201	которые он	1	2
202	он сам	1	2
203	так если	2	2
204	что они	2	2
205	что именно	1	2
206	прежде всего	9	2
207	не хватает	3	2
208	все же	7	2
209	и наконец	1	2
210	нами в	2	2
211	между двумя	1	2
212	как таковое	2	2
213	животных и	3	2
214	все эти	2	2
215	если он	1	2
216	но на	1	2
217	состоит в	2	2
218	раньше чем	3	2
219	с этой	1	2
220	как они	1	2
221	в другом	2	2
222	с другими	1	2
223	раз он	1	2
224	чем в	1	2
225	в высшей	1	2
226	во внимание	1	2
227	он имеет	1	2
228	несмотря на	4	2
229	в этих	13	2
230	в своей	1	2
231	лежат в	1	2
232	в которых	2	2
233	втором случае	1	2
234	точку зрения	1	2
235	но это	6	2
236	но он	1	2
237	не играют	1	2
238	и более	1	2
239	что эта	2	2
240	к развитию	1	2
241	не менее	5	2
242	и функции	1	2
243	она не	2	2
244	на котором	3	2
245	может существовать	3	2
246	эти связи	1	2
247	этот закон	1	2
248	у нас	2	2
249	к таким	1	2
250	перейти к	2	2
251	приходит к	1	2
252	нами выше	1	2
253	в совершенно	1	2
254	как с	1	2
255	не с	2	2
256	еще в	1	2
257	том как	1	2
258	означает что	2	2
259	на вопрос	2	2
260	образом мы	5	2
261	в настоящей	1	2
262	но с	1	2
263	в новой	1	2
264	идет по	2	2
265	с ними	1	2
266	дело с	1	2
267	исследование не	1	2
268	для всех	1	2
269	само собой	1	2
270	если мы	5	2
271	только на	1	2
272	каким образом	1	2
273	за ним	1	2
274	а и	3	2
275	на одном	1	2
276	из них	3	2
277	в одном	1	2
278	у него	1	2
279	в других	3	2
280	были бы	1	2
281	с другой	8	2
282	и др	10	2
283	и своего	1	2
