N	2gram	Potebnia_M_4	FransuaR
1	и в	23	65
2	то есть	34	45
3	и др	2	24
4	как бы	5	22
5	и не	18	22
6	вовсе не	7	18
7	в сущности	2	16
8	в том	23	16
9	в этом	23	15
10	но в	8	14
11	в нем	7	13
12	мы уже	3	12
13	и на	3	11
14	прежде всего	1	11
15	все эти	3	10
16	не только	10	10
17	и его	2	10
18	так и	6	10
19	но и	11	10
20	и потому	10	10
21	том числе	1	10
22	во всех	1	9
23	в его	5	9
24	все это	5	9
25	за пределы	1	8
26	в своем	8	8
27	и даже	2	8
28	здесь в	1	8
29	по своему	2	8
30	его в	4	7
31	точки зрения	4	7
32	в области	2	7
33	только в	15	7
34	влияние на	2	7
35	числе и	1	7
36	жизни и	1	7
37	на самом	3	6
38	в ней	2	6
39	еще не	3	6
40	все же	1	6
41	и у	2	6
42	главным образом	1	6
43	при этом	15	6
44	том что	12	6
45	в отношении	1	6
46	никогда не	3	6
47	тела и	2	6
48	как мы	2	6
49	времени и	1	6
50	одно из	1	6
51	так как	14	6
52	может быть	26	6
53	века и	1	6
54	не знает	1	6
55	сказать что	8	6
56	связана с	1	5
57	меньшей степени	1	5
58	отличие от	1	5
59	как в	7	5
60	в них	3	5
61	рядом с	1	5
62	как и	14	5
63	есть в	5	5
64	в своей	1	5
65	потому что	33	5
66	той или	1	5
67	между тем	9	5
68	для него	5	5
69	в одном	4	5
70	превращается в	2	5
71	связь с	1	5
72	в частности	1	5
73	xix века	1	5
74	в той	4	5
75	и все	4	5
76	еще более	2	5
77	в своих	2	5
78	и до	3	4
79	и к	6	4
80	в самом	3	4
81	в этой	1	4
82	так сказать	5	4
83	и еще	1	4
84	на всю	1	4
85	входит в	1	4
86	во время	2	4
87	в их	1	4
88	мысли и	7	4
89	не в	11	4
90	до сих	4	4
91	латинском языке	1	4
92	можно только	2	4
93	связи с	3	4
94	из них	1	4
95	отношение к	2	4
96	нужно сказать	1	4
97	сих пор	4	4
98	мира и	1	4
99	для нас	14	4
100	между ними	4	4
101	это в	1	4
102	можно говорить	1	3
103	в применении	1	3
104	самом деле	3	3
105	мы и	2	3
106	почти на	1	3
107	в себя	1	3
108	уже не	3	3
109	но все	1	3
110	то что	29	3
111	в себе	14	3
112	но на	1	3
113	перестает быть	1	3
114	и с	4	3
115	и других	3	3
116	это не	7	3
117	далеко не	1	3
118	в ее	2	3
119	с точки	3	3
120	но это	3	3
121	даже в	2	3
122	на котором	4	3
123	ничего не	1	3
124	этом отношении	1	3
125	и здесь	2	3
126	не могут	2	3
127	и прежде	2	3
128	всегда в	1	3
129	в виду	3	3
130	и вообще	2	3
131	с ним	5	3
132	о нем	1	3
133	в самой	2	3
134	с другой	2	3
135	второй половины	1	3
136	и во	1	3
137	к нему	5	3
138	в форме	1	3
139	что он	4	3
140	но как	1	3
141	в известной	1	3
142	друг друга	2	3
143	в других	2	3
144	даже и	3	3
145	не были	2	3
146	и эта	1	3
147	в ряду	6	3
148	нет ничего	3	3
149	из мира	1	3
150	и их	3	3
151	в состоянии	2	3
152	но для	1	3
153	в более	2	3
154	выражения народной	1	3
155	от всех	1	3
156	не может	11	3
157	что в	17	3
158	в искусстве	3	3
159	одним из	1	2
160	например в	3	2
161	нам кажется	2	2
162	вопрос мы	1	2
163	всего того	1	2
164	для своего	1	2
165	не была	1	2
166	не вполне	2	2
167	бы ни	2	2
168	которое в	3	2
169	это время	1	2
170	на них	1	2
171	в чем	1	2
172	различия между	1	2
173	но не	1	2
174	значение и	2	2
175	нет и	1	2
176	образов в	1	2
177	его к	2	2
178	таковы например	1	2
179	из этих	2	2
180	во многих	2	2
181	он не	2	2
182	они в	1	2
183	человеческого тела	1	2
184	на его	3	2
185	свое время	1	2
186	и по	3	2
187	значительной степени	2	2
188	а его	1	2
189	на все	1	2
190	большинстве случаев	2	2
191	это было	2	2
192	истории и	1	2
193	в этих	3	2
194	от своего	1	2
195	и без	2	2
196	но эта	2	2
197	их в	3	2
198	бы быть	1	2
199	в таких	2	2
200	дело в	1	2
201	в процессе	3	2
