N	2gram	Tiupa_Vved_1	PoTuStor
1	может быть	18	17
2	и в	13	16
3	в этом	21	9
4	таким образом	4	9
5	и только	1	9
6	мы можем	2	9
7	прежде всего	7	9
8	и с	2	8
9	точки зрения	1	8
10	и его	5	8
11	не может	7	8
12	не только	20	7
13	сказать что	1	7
14	самом деле	3	6
15	при этом	26	6
16	для него	3	6
17	и к	2	6
18	еще не	7	5
19	отношение к	2	5
20	все эти	1	5
21	что такое	18	5
22	в него	1	5
23	как бы	4	5
24	на самом	4	4
25	и ее	1	4
26	и на	3	4
27	отнюдь не	7	4
28	и наконец	2	4
29	но в	6	4
30	в этой	1	4
31	в нем	5	4
32	все это	1	4
33	как мы	3	4
34	с ее	1	4
35	так и	8	4
36	можно сказать	4	4
37	в его	4	4
38	только в	6	4
39	и их	1	4
40	и даже	1	4
41	но и	19	4
42	и не	12	4
43	и все	4	4
44	хотя бы	1	4
45	все что	3	4
46	тех же	1	3
47	едва ли	3	3
48	во всех	2	3
49	с их	1	3
50	и теперь	1	3
51	и вот	1	3
52	их в	2	3
53	на этом	1	3
54	этом смысле	1	3
55	том что	7	3
56	во время	1	3
57	в одном	1	3
58	по крайней	1	3
59	и притом	1	3
60	в основе	3	3
61	и оно	2	3
62	к себе	1	3
63	те же	2	3
64	мира и	2	3
65	в конечном	1	3
66	с другими	1	3
67	крайней мере	1	3
68	и она	1	3
69	в том	10	3
70	только на	1	3
71	всяком случае	1	3
72	в области	3	3
73	и др	1	3
74	но оно	1	3
75	вместе с	1	3
76	и потому	1	3
77	как это	1	3
78	могут быть	4	3
79	что в	3	3
80	в этих	3	3
81	а в	6	3
82	то что	6	3
83	между ними	1	3
84	жизни и	7	3
85	во всяком	1	3
86	в самом	2	2
87	мы не	4	2
88	и о	1	2
89	говорить о	2	2
90	того же	1	2
91	между собой	2	2
92	из этих	3	2
93	но как	1	2
94	друг на	1	2
95	конечном счете	1	2
96	в этот	2	2
97	что это	1	2
98	и через	1	2
99	вообще не	1	2
100	он не	3	2
101	нашего времени	2	2
102	и по	3	2
103	то же	5	2
104	по своему	2	2
105	на ранних	1	2
106	на протяжении	1	2
107	и мы	1	2
108	было бы	4	2
109	в жизни	4	2
110	кажется что	1	2
111	по всему	1	2
112	в них	2	2
113	как и	11	2
114	на первый	1	2
115	в своей	5	2
116	рождение и	1	2
117	в детской	1	2
118	возникает в	1	2
119	не менее	4	2
120	в науке	1	2
121	никогда не	4	2
122	сводится к	4	2
123	так называемый	1	2
124	что на	2	2
125	все то	1	2
126	на границе	1	2
127	т.е в	1	2
128	он ищет	1	2
129	на основе	1	2
130	в пределах	2	2
131	как с	1	2
132	по аналогии	1	2
133	с ним	3	2
134	похожим на	1	2
135	о том	5	2
136	аналогии с	1	2
137	для нас	2	2
138	путь к	1	2
139	что и	2	2
140	во всей	1	2
141	один из	3	2
142	оно и	1	2
143	мы видим	1	2
144	что он	1	2
145	и так	1	2
146	поэтому и	1	2
147	всех его	1	2
148	есть в	2	2
149	не можем	2	2
150	если мы	1	2
151	в итоге	3	2
152	в начале	3	2
153	для меня	1	2
154	к ним	2	2
155	при всей	2	2
156	у него	1	2
157	и т.п	9	2
158	оно не	1	2
159	что не	1	2
160	а на	2	2
161	на друга	1	2
162	не на	1	2
163	что мы	2	2
164	с помощью	1	2
165	в частности	13	2
166	так же	1	2
167	в историю	2	2
168	в мир	1	2
169	но это	3	2
170	к другим	1	2
171	и для	3	2
172	не существует	2	2
173	но зато	1	2
174	это делает	1	2
175	не знает	1	2
176	к этому	2	2
177	можно назвать	1	2
178	они не	1	2
179	в движение	1	1
180	личной жизни	1	1
181	он может	1	1
182	дело обстоит	1	1
183	смерть в	1	1
184	высшей степени	2	1
185	посвящена настоящая	1	1
186	полагает что	1	1
187	до времени	1	1
188	мы имеем	5	1
189	мир не	1	1
190	нам в	1	1
191	не слишком	1	1
192	это достигается	1	1
193	из того	1	1
194	не совсем	1	1
195	зависимости от	1	1
196	первого и	2	1
197	в ней	4	1
198	и самого	1	1
199	иное как	1	1
200	столь же	1	1
201	серьезные основания	1	1
202	чем это	1	1
203	но не	5	1
204	не входит	1	1
205	с привлечением	1	1
206	что они	1	1
207	к сожалению	1	1
208	в течение	1	1
209	в центре	2	1
210	первый взгляд	1	1
211	в рамках	4	1
212	сам же	1	1
213	все же	6	1
214	однако не	1	1
215	хотя и	7	1
216	к чему	1	1
217	уже не	5	1
218	та же	1	1
219	в нашем	6	1
220	всего к	1	1
221	сознания с	1	1
222	как он	2	1
223	всей его	2	1
224	добраться до	1	1
225	на его	1	1
226	что она	1	1
227	не следует	3	1
228	но именно	1	1
229	именно то	1	1
230	они служат	1	1
231	в корне	1	1
232	наших глазах	1	1
233	человеческое сознание	1	1
234	из него	1	1
235	подобно тому	2	1
236	без исключения	2	1
237	человека в	1	1
238	а то	2	1
239	различие между	1	1
240	в мире	8	1
241	той же	1	1
242	вклад в	1	1
243	лишь в	2	1
244	в единую	1	1
245	как видим	1	1
246	входит в	1	1
247	для них	3	1
248	он является	2	1
249	с тем	1	1
250	даже чисто	1	1
251	одна и	1	1
252	несмотря на	1	1
253	жизни но	1	1
254	мир в	1	1
255	и того	2	1
256	одного и	1	1
257	и еще	1	1
258	но если	1	1
259	от своего	1	1
260	что есть	1	1
261	в следующем	1	1
262	и благодаря	1	1
263	вторая часть	1	1
264	что до	1	1
265	что я	1	1
266	который всегда	1	1
267	жизни является	1	1
268	к искажению	1	1
269	однако в	4	1
270	можно ли	1	1
271	одна из	4	1
272	в сущности	1	1
273	до поры	1	1
274	всех без	1	1
275	что иное	1	1
276	того чтобы	1	1
277	вытекает из	1	1
278	не имеет	2	1
279	это мы	1	1
280	и вместо	1	1
281	обратим внимание	1	1
282	всего на	1	1
283	пути и	1	1
284	что жизнь	1	1
285	во всем	1	1
286	мире и	1	1
287	связи с	1	1
288	в сознании	4	1
289	в виду	1	1
290	мы и	2	1
291	т.п и	1	1
292	в духе	1	1
293	мы узнаем	1	1
294	основаниям и	1	1
295	следует заметить	1	1
296	же самое	1	1
297	к тому	6	1
298	бы он	1	1
299	той или	3	1
300	для его	1	1
301	поры до	1	1
302	как известно	1	1
303	году в	1	1
304	данном случае	6	1
305	характер и	1	1
306	приводит к	2	1
307	роль в	1	1
308	и что	1	1
309	превратить в	1	1
310	и сам	1	1
311	что может	1	1
312	с первым	1	1
313	можно было	2	1
314	времени и	7	1
315	его жизни	1	1
316	мог бы	1	1
317	еще в	2	1
318	это только	2	1
319	если бы	7	1
320	из одного	1	1
321	в разных	1	1
322	о ней	4	1
323	местах и	2	1
324	действия но	2	1
325	и т.д	5	1
326	имеем дело	3	1
327	внимание на	3	1
328	и та	1	1
329	с нами	1	1
330	в другой	1	1
331	наконец в	1	1
332	герой нашего	1	1
333	на наших	1	1
334	человека как	1	1
335	вся жизнь	1	1
336	к нему	1	1
337	но так	1	1
338	себя с	1	1
339	тот же	1	1
340	дело с	2	1
341	мы увидим	1	1
342	к их	1	1
343	может оказаться	1	1
344	при некоторых	1	1
345	смерти как	1	1
346	сознания ни	2	1
347	об их	1	1
348	и матери	1	1
349	и жизни	1	1
350	с одной	5	1
351	в качестве	8	1
352	себя в	1	1
353	оказывается в	1	1
354	уже в	1	1
355	то и	2	1
356	в нашей	1	1
357	оно в	1	1
358	его и	1	1
359	и культурно	1	1
360	наше ощущение	1	1
361	в конце	1	1
362	вовсе не	1	1
363	ее не	2	1
364	как его	2	1
365	вечер на	1	1
366	случае не	1	1
367	заметить что	1	1
368	как раз	2	1
369	этом отношении	4	1
370	со стороны	5	1
371	или иной	3	1
372	индивида и	1	1
373	в высшей	2	1
374	с другой	5	1
375	этом пути	1	1
376	и прежде	1	1
377	в свою	4	1
378	а с	2	1
379	что для	1	1
380	связано с	3	1
381	у нас	1	1
382	одной стороны	5	1
383	на этот	1	1
384	зависит от	2	1
385	а не	15	1
386	власти и	1	1
387	жизнь в	1	1
388	в комнате	1	1
389	но никогда	1	1
390	потока на	1	1
391	точно из	1	1
392	не всегда	2	1
393	разных местах	1	1
394	в связи	1	1
395	не психический	1	1
396	связь с	1	1
397	и особенно	1	1
398	не сразу	1	1
399	его остается	1	1
400	предположить что	1	1
401	в данном	13	1
402	тому как	2	1
403	что же	3	1
404	быть только	2	1
405	матери а	1	1
406	быть не	4	1
407	и действия	2	1
408	в культуре	1	1
409	этом и	2	1
410	и борьба	1	1
411	это уже	1	1
412	только одна	1	1
413	известной степени	1	1
414	делает ее	1	1
415	при таком	1	1
416	она может	1	1
417	не подлежит	1	1
418	которой можно	1	1
419	которая в	3	1
420	интерес к	1	1
421	еще более	1	1
422	мы должны	1	1
423	только что	1	1
424	же в	1	1
425	хотя в	1	1
426	к ее	3	1
427	по поводу	2	1
428	жизни в	4	1
429	нет ничего	1	1
430	в период	1	1
431	некоторых условиях	1	1
432	а во	1	1
433	мир но	1	1
434	является и	1	1
435	сознания на	1	1
436	все люди	1	1
437	не что	1	1
438	на свет	1	1
439	в своих	2	1
440	ли признать	1	1
