N	2gram	Tiupa_Anal_3	Sotsiolo
1	все это	3	7
2	в том	9	5
3	в этом	14	5
4	и только	1	3
5	более чем	2	3
6	не только	22	3
7	и в	18	3
8	не в	6	3
9	в его	7	3
10	за пределы	1	2
11	но и	13	2
12	было бы	3	2
13	к которому	1	2
14	только в	2	2
15	дело не	3	2
16	по природе	1	2
17	далеко не	4	2
18	в результате	5	2
19	тем более	1	2
20	ввести в	1	2
21	том что	12	2
22	в частности	12	2
23	как будто	1	2
24	то что	2	2
25	или даже	1	2
26	еще не	6	2
27	только как	1	2
28	ведь это	1	2
29	таким образом	4	2
30	это и	2	2
31	отношению к	7	2
32	в конце	5	2
33	что в	9	2
34	может быть	9	2
35	как бы	10	2
36	по отношению	7	2
37	очевидно что	2	2
38	то же	3	2
39	друг от	1	1
40	крайней мере	4	1
41	могло и	1	1
42	я и	3	1
43	право на	1	1
44	наконец в	1	1
45	по себе	4	1
46	даже в	2	1
47	сама по	2	1
48	а вот	2	1
49	в мире	5	1
50	границы и	1	1
51	в этой	6	1
52	отнюдь не	4	1
53	будто в	1	1
54	с другой	7	1
55	его в	3	1
56	с ним	1	1
57	это не	2	1
58	на этот	1	1
59	именно в	3	1
60	все же	4	1
61	один из	2	1
62	и есть	1	1
63	перед нами	4	1
64	в то	3	1
65	тем же	1	1
66	еще и	3	1
67	а с	1	1
68	тем что	2	1
69	и как	4	1
70	и затем	1	1
71	что он	4	1
72	прежде всего	5	1
73	бы он	1	1
74	объекта и	1	1
75	в них	2	1
76	так и	14	1
77	не было	3	1
78	к субъекту	1	1
79	одной стороны	2	1
80	те же	2	1
81	и не	12	1
82	никогда не	5	1
83	зависит от	1	1
84	именно такого	1	1
85	мы не	3	1
86	же время	3	1
87	ничего не	3	1
88	как то	1	1
89	и о	1	1
90	связь между	1	1
91	все эти	2	1
92	как и	14	1
93	между собой	1	1
94	себе чтобы	1	1
95	бы в	1	1
96	с помощью	1	1
97	для этого	1	1
98	иначе говоря	2	1
99	вне пределов	1	1
100	мы должны	1	1
101	из круга	1	1
102	остается в	1	1
103	в сущности	5	1
104	образом в	1	1
105	в связи	1	1
106	и его	13	1
107	место в	1	1
108	связи с	1	1
109	от друга	1	1
110	хотя бы	1	1
111	вступает в	3	1
112	в целом	3	1
113	не может	2	1
114	в своей	1	1
115	и должно	1	1
116	не от	2	1
117	а в	10	1
118	не способен	1	1
119	что она	2	1
120	о том	6	1
121	к изучению	1	1
122	и потому	2	1
123	никак не	1	1
124	между ними	1	1
125	жанр как	1	1
126	литературе и	1	1
127	представляется нам	2	1
128	столь же	4	1
129	время в	1	1
130	всяком случае	2	1
131	когда мы	2	1
132	в силу	1	1
133	мы понимаем	1	1
134	в область	1	1
135	должно было	1	1
136	в конечном	2	1
137	ними в	2	1
138	вовсе не	1	1
139	ни были	1	1
140	ли не	4	1
141	но сам	2	1
142	с одной	2	1
143	а между	1	1
144	далеки от	1	1
145	но не	7	1
146	у него	1	1
147	в данном	4	1
148	между тем	5	1
149	но как	3	1
150	и по	2	1
151	что на	1	1
152	конечном счете	2	1
153	по крайней	4	1
154	это по	2	1
155	во всяком	2	1
156	в каждом	3	1
157	они не	1	1
