N	4gram	Tiupa_Anal_1	Problemy
1	в то же время	6	12
2	бы то ни было	3	4
3	но в то же	2	3
4	в той или иной	3	2
5	чего бы то ни	1	2
6	и к тому же	2	2
7	той или иной форме	1	1
8	какой бы то ни	2	1
9	одного и того же	2	1
10	на самом же деле	1	1
11	один и тот же	1	1
12	но не может быть	1	1
13	и вместе с тем	1	1
14	или во всяком случае	1	1
15	он в то же	1	1
16	в большей или меньшей	1	1
17	одно и то же	1	1
18	во всей своей полноте	1	1
19	то же время он	1	1
20	большей или меньшей степени	1	1
21	а в то же	2	1
