N	2gram	Medvedev_B_1	FransuaR
1	и в	1	41
2	таким образом	1	19
3	прежде всего	1	11
4	так и	1	10
5	все это	2	10
6	что в	1	9
7	в эпоху	1	7
8	и не	2	7
9	не только	1	5
10	всего в	1	5
11	в ней	2	5
12	и на	1	4
13	было бы	1	4
14	кроме того	1	3
15	в своей	1	3
16	можно было	2	3
17	не было	1	3
18	и потому	1	3
19	на самом	1	2
20	еще не	1	2
21	значительной степени	1	2
22	что все	1	2
23	далеко не	1	2
24	в области	1	2
25	в значительной	1	2
26	и во	1	2
27	на которой	1	2
28	одной из	1	2
29	и ее	1	2
30	до конца	1	2
31	а не	1	2
32	в данном	1	2
33	во всяком	1	2
34	должна быть	1	1
35	его не	1	1
36	меньше чем	1	1
37	за пределы	1	1
38	и нет	1	1
39	все же	1	1
40	говорить не	1	1
41	всяком случае	1	1
42	более что	1	1
43	у нас	3	1
44	и о	1	1
45	выходит за	1	1
46	об этом	1	1
47	чем на	1	1
48	в речи	1	1
49	тем более	1	1
50	между ними	1	1
51	нет но	1	1
52	также не	1	1
