N	3gram	Losev_Prob_4	StatiiOP
1	в том что	8	11
2	и т п	1	6
3	в этом смысле	3	4
4	по крайней мере	6	4
5	с точки зрения	11	4
6	то время как	2	4
7	во всяком случае	4	4
8	с другой стороны	6	4
9	о том что	3	4
10	в то время	2	4
11	прежде всего в	1	3
12	в мировой литературе	1	3
13	в конце концов	1	3
14	не в том	1	3
15	в связи с	3	3
16	не только в	4	3
17	на то что	1	3
18	в то же	2	3
19	только в виде	2	2
20	потому что он	2	2
21	и тем не	3	2
22	до сих пор	1	2
23	говорит что он	1	2
24	и не в	1	2
25	в том чтобы	2	2
26	в этой области	1	2
27	себе отчет в	2	2
28	с одной стороны	1	2
29	заключается в том	2	2
30	с самого начала	1	2
31	по этому поводу	1	2
32	но все же	1	2
33	мы имеем в	1	2
34	под пером пушкина	1	2
35	в каком смысле	2	2
36	к тому что	1	2
37	в том смысле	2	2
38	в предисловии к	1	2
39	тем не менее	10	2
40	и т д	3	2
41	то он и	1	1
42	а иной раз	1	1
43	всех этих примерах	1	1
44	и может быть	1	1
45	в них все	1	1
46	сказать что он	1	1
47	иметь в виду	1	1
48	но так как	1	1
49	то только в	2	1
50	между прочим и	1	1
51	в том виде	2	1
52	более или менее	2	1
53	которая не была	1	1
54	на самом деле	3	1
55	каждой из них	2	1
56	нет ни одного	1	1
57	что же касается	1	1
58	то же самое	6	1
59	принять во внимание	1	1
60	том что он	1	1
61	тот или иной	2	1
62	говоря уже о	1	1
63	и в других	2	1
64	сам по себе	6	1
65	вместе с тем	3	1
66	и во всяком	3	1
67	начала до конца	1	1
68	можно было бы	4	1
69	ни в какой	4	1
70	исторического процесса в	1	1
71	то что в	1	1
72	в значительной мере	2	1
73	с этой точки	1	1
74	и в частности	2	1
75	к ней и	1	1
76	сих пор мы	1	1
77	если принять во	1	1
78	несет на себе	1	1
79	в чем же	1	1
80	в известном смысле	1	1
81	находит для себя	1	1
82	смысле что он	1	1
83	которая была бы	1	1
84	с начала до	1	1
85	хотя бы на	1	1
86	в той или	7	1
87	в этом же	1	1
88	все это было	1	1
89	иной раз даже	1	1
90	независимо от их	1	1
91	этой точки зрения	1	1
92	и тем что	1	1
93	что не имеет	1	1
94	во главе с	1	1
95	а то что	2	1
96	и ни в	3	1
97	том смысле что	1	1
98	в свою очередь	1	1
99	это произведение с	1	1
100	только в редких	1	1
101	отчет в том	3	1
102	том что этот	1	1
103	в редких случаях	1	1
104	не только не	4	1
105	в каждой из	1	1
106	той или иной	11	1
107	не менее в	1	1
108	вопрос о том	1	1
109	или иной мере	3	1
110	в другом случае	2	1
111	и больше ничего	2	1
112	об этом мы	1	1
113	вовсе не является	2	1
114	сказать что это	1	1
115	для того чтобы	2	1
116	дело не в	2	1
117	и на этой	1	1
118	не говоря уже	2	1
119	в этих стихах	1	1
