N	2gram	Vinokur_Ku_3	Tragedij
1	и в	23	18
2	в этом	16	9
3	не только	17	8
4	он сам	1	7
5	и с	3	7
6	и на	1	7
7	может быть	14	7
8	как бы	5	7
9	и не	10	7
10	но в	2	6
11	и его	1	6
12	же время	1	6
13	что он	6	6
14	то же	6	5
15	все же	5	5
16	что это	3	5
17	это не	3	5
18	как и	5	5
19	несмотря на	1	5
20	в то	3	5
21	в дальнейшем	2	5
22	так и	6	5
23	не может	6	5
24	к жизни	1	5
25	я не	5	4
26	еще не	9	4
27	в себе	1	4
28	в целом	4	4
29	том что	11	4
30	что я	1	4
31	и что	7	4
32	но и	3	4
33	прежде всего	9	4
34	так же	2	4
35	но это	5	4
36	все это	2	4
37	что в	13	4
38	то что	4	4
39	своего рода	2	3
40	отнюдь не	3	3
41	как в	4	3
42	в своем	4	3
43	и как	2	3
44	все эти	7	3
45	при этом	6	3
46	должно быть	7	3
47	тем самым	4	3
48	что с	1	3
49	о чем	2	3
50	мог бы	2	3
51	к нему	1	3
52	в его	11	3
53	один из	4	3
54	уже в	3	3
55	для него	1	3
56	никто не	1	3
57	как будто	1	3
58	как это	7	3
59	если б	1	2
60	вряд ли	1	2
61	в первом	5	2
62	из самых	1	2
63	что эти	2	2
64	отказывается от	1	2
65	никогда не	1	2
66	и то	1	2
67	столь же	4	2
68	отношение к	3	2
69	отличие от	2	2
70	тут же	1	2
71	не просто	2	2
72	и я	2	2
73	это был	1	2
74	перед нами	1	2
75	говорит что	1	2
76	имеет в	2	2
77	впечатление что	1	2
78	в самом	13	2
79	бы и	3	2
80	то и	2	2
81	и лучше	1	2
82	он не	3	2
83	что она	5	2
84	но все	2	2
85	что все	2	2
86	его в	2	2
87	отца и	1	2
88	я все	2	2
89	ни в	3	2
90	с тем	6	2
91	не мог	1	2
92	в отличие	2	2
93	вопрос о	11	2
94	одном из	1	2
95	не в	5	2
96	раз и	2	2
97	не имеет	3	2
98	в русском	2	2
99	не могут	5	2
100	к тому	3	2
101	в ее	4	2
102	данном случае	4	2
103	а что	2	2
104	ничего не	6	2
105	создается впечатление	1	2
106	и здесь	2	2
107	о том	6	2
108	что и	6	2
109	в том	22	2
110	гораздо важнее	1	2
111	который в	1	2
112	и ее	1	2
113	уже не	8	2
114	в виде	1	2
115	не так	3	2
116	в известной	1	2
117	в одном	2	2
118	не случайно	4	2
119	тем что	5	2
120	писателя и	1	2
121	как же	3	2
122	в данном	7	2
123	о его	1	2
124	она должна	1	2
125	еще раз	2	2
126	это уже	3	2
127	потому что	12	2
128	со мной	1	2
129	состоит из	1	2
130	в частности	2	2
131	только о	2	2
132	по поводу	3	2
133	русской литературы	1	2
134	в таком	4	2
135	я и	3	1
136	скажет что	1	1
137	ту же	1	1
138	также что	2	1
139	и т	54	1
140	например в	1	1
141	в сфере	1	1
142	сам по	3	1
143	и др	1	1
144	самом деле	14	1
145	эта речь	1	1
146	это и	3	1
147	на деле	1	1
148	и есть	5	1
149	на две	1	1
150	должна быть	3	1
151	той же	3	1
152	для достижения	1	1
153	которую я	2	1
154	и новые	1	1
155	на себя	2	1
156	в разговоре	1	1
157	в виду	8	1
158	подчеркнуть что	2	1
159	откуда же	1	1
160	в ней	3	1
161	было до	1	1
162	литературы и	1	1
163	между собой	1	1
164	быть в	2	1
165	это же	1	1
166	в чем	5	1
167	но не	3	1
168	отказ от	1	1
169	но как	3	1
170	значение и	1	1
171	с совершенно	1	1
172	тогда как	1	1
173	за пределы	2	1
174	далее следует	2	1
175	всю эту	2	1
176	это самое	2	1
177	чем же	2	1
178	что именно	3	1
179	он перестает	1	1
180	у в	1	1
181	именно эта	1	1
182	чего же	1	1
183	роль играет	1	1
184	то в	3	1
185	со своей	1	1
186	оттого что	1	1
187	в которой	1	1
188	он в	2	1
189	бы не	3	1
190	это тот	1	1
191	лишний раз	1	1
192	как он	2	1
193	если он	1	1
194	не могла	1	1
195	и если	2	1
196	что без	1	1
197	по какому	1	1
198	на западе	2	1
199	так сказать	2	1
200	пушкина и	1	1
201	не значит	5	1
202	чем у	1	1
203	не к	1	1
204	не как	2	1
205	в россии	2	1
206	на этом	2	1
207	что сам	3	1
208	таким образом	9	1
209	здесь мы	1	1
210	в другом	1	1
211	конечно в	1	1
212	и чтобы	2	1
213	лишь в	8	1
214	заключается в	4	1
215	известно что	1	1
216	быть не	2	1
217	этого не	1	1
218	когда я	1	1
219	для чего	1	1
220	ведет к	1	1
221	года и	1	1
222	с принципиальной	1	1
223	обратимся к	1	1
224	же я	1	1
225	но если	3	1
226	и при	2	1
227	в своей	4	1
228	в такой	1	1
229	наших дней	1	1
230	в котором	2	1
231	а чтобы	1	1
232	в обиход	1	1
233	если можно	1	1
234	свое понимание	1	1
235	не столько	4	1
236	представление о	1	1
237	понятно что	1	1
238	значение для	1	1
239	есть смысл	1	1
240	его поведения	1	1
241	сам же	2	1
242	и вот	3	1
243	не понимает	3	1
244	начнем с	1	1
245	но он	1	1
246	и один	1	1
247	тем не	9	1
248	речи в	7	1
249	того кто	1	1
250	по себе	6	1
251	тому что	4	1
252	так он	1	1
253	перед собою	3	1
254	не менее	12	1
255	она не	3	1
256	того как	7	1
257	виду не	1	1
258	без конца	1	1
259	тогда и	1	1
260	но только	1	1
261	значение этого	1	1
262	только не	1	1
263	в самой	1	1
264	иными словами	8	1
265	показал что	1	1
266	по своей	1	1
267	для нас	4	1
268	связи с	6	1
269	что на	3	1
270	в области	14	1
271	такая точка	1	1
272	могут быть	6	1
273	всего что	1	1
274	не есть	3	1
275	свое значение	1	1
276	утверждать что	1	1
277	отдаленном прошлом	1	1
278	как мы	5	1
279	и о	4	1
280	у себя	1	1
281	того чтобы	11	1
282	всего этого	3	1
283	природе своей	1	1
284	можно было	11	1
285	по природе	1	1
286	французские слова	1	1
287	когда в	2	1
288	известной мере	1	1
289	а по	1	1
290	и должно	5	1
291	вот почему	1	1
292	на вопрос	3	1
293	на русский	2	1
294	но мы	2	1
295	после того	6	1
296	с того	1	1
297	это должно	1	1
298	а также	4	1
299	чтобы не	2	1
300	роман и	1	1
301	от него	1	1
302	связь между	3	1
303	доходит до	2	1
304	между тем	4	1
305	но особо	1	1
306	нуждается в	1	1
307	так обстоит	1	1
308	отметить что	3	1
309	говорит он	1	1
310	есть с	1	1
311	если за	1	1
312	все время	1	1
313	общем смысле	1	1
314	того что	11	1
315	он есть	1	1
316	оказалось что	1	1
317	и дело	1	1
318	мы видим	1	1
319	с ними	1	1
320	ответа на	2	1
321	что даже	1	1
322	только в	6	1
323	во всем	1	1
324	бы может	1	1
325	в самое	1	1
326	приходит в	2	1
327	что ж	1	1
328	от самых	1	1
329	с одной	4	1
330	именно на	2	1
331	и хочу	1	1
332	не знать	3	1
333	свидетельствует о	1	1
334	которых можно	1	1
335	но самое	1	1
336	в общем	6	1
337	характерно что	1	1
338	и их	1	1
339	всяком случае	1	1
340	могло бы	3	1
341	внушить читателю	1	1
342	слова в	4	1
343	т п	41	1
344	чтобы она	1	1
345	не для	1	1
346	с этими	1	1
347	русский язык	4	1
348	и вместе	1	1
349	в особую	1	1
350	не понял	2	1
351	рядом с	1	1
352	в особенности	2	1
353	факт в	1	1
354	со схемой	1	1
355	вопрос об	2	1
356	именно в	3	1
357	совершенно ином	1	1
358	в каких	1	1
359	что не	4	1
360	обратиться к	1	1
361	естественно что	3	1
362	не было	4	1
363	а на	1	1
364	на этот	2	1
365	а не	11	1
366	именно так	2	1
367	школы с	2	1
368	этом случае	4	1
369	в связи	5	1
370	с помощью	6	1
371	я хочу	3	1
372	более чем	2	1
373	эти слова	2	1
374	вместе с	2	1
375	он упоминает	1	1
376	до этого	1	1
377	и потому	1	1
378	намек на	1	1
379	не знал	1	1
380	xix века	3	1
381	мы опять	1	1
382	наряду с	1	1
383	несколько раз	1	1
384	в той	4	1
385	смысле этого	2	1
386	оно начинает	1	1
387	и такую	1	1
388	понял что	2	1
389	этого слова	4	1
390	с этой	3	1
391	и от	1	1
392	в условиях	2	1
393	всегда будут	1	1
394	не любил	1	1
395	о совершенно	1	1
396	тем и	1	1
397	только теперь	1	1
398	об отношении	1	1
399	в результате	3	1
400	в двух	2	1
401	о нем	1	1
402	не понимая	1	1
403	у которого	1	1
404	хотя бы	9	1
405	что ты	1	1
406	только что	2	1
407	я в	3	1
408	сказал что	1	1
409	за этим	1	1
410	еще ничего	1	1
411	к числу	1	1
412	в период	1	1
413	совершенно не	5	1
414	напоминает о	1	1
415	сколько угодно	1	1
416	т е	32	1
417	в кругу	2	1
418	что под	1	1
419	есть и	1	1
420	несколько времени	1	1
421	может ли	1	1
422	к этой	1	1
423	и эта	1	1
424	это в	2	1
425	это понятие	1	1
426	во всяком	2	1
