N	4gram	Tiupa_Hudo_1	Dialekti
1	в то же время	8	6
2	не в том что	1	4
3	одних и тех же	1	2
4	и в этом смысле	1	2
5	не имеет ничего общего	1	2
6	и в то же	1	2
7	но в то же	3	2
8	с этой точки зрения	1	2
9	имеет ничего общего с	1	2
10	нет ничего удивительного в	1	1
11	то же время нельзя	1	1
12	ни то ни другое	1	1
13	мы еще ничего не	1	1
14	отличаются друг от друга	1	1
15	удивительного в том что	1	1
16	и то и другое	1	1
17	на самом же деле	1	1
18	уходит своими корнями в	1	1
19	одна и та же	1	1
20	в том случае если	1	1
21	ни в чем не	1	1
22	на то что я	1	1
23	ничего удивительного в том	1	1
24	в связи с этим	2	1
