N	4gram	Potebnia_M_4	Vvedenie
1	в то же время	3	6
2	о том что такое	1	5
3	не что иное как	2	4
4	вопрос о том что	1	3
5	дело в том что	1	2
6	есть не что иное	1	2
7	одной и той же	1	2
8	заключается в том что	1	2
9	мы имеем дело с	1	1
10	на этот вопрос мы	1	1
11	не в том только	1	1
12	само по себе должно	1	1
13	одного и того же	1	1
14	в том виде в	1	1
15	до тех пор пока	2	1
16	тем не менее не	1	1
17	по отношению к нему	1	1
18	ответа на этот вопрос	1	1
19	можно сказать что в	1	1
20	только после того как	1	1
21	то же самое что	1	1
22	о том что можно	1	1
23	том виде в каком	1	1
24	том смысле в каком	1	1
25	для того чтобы определить	1	1
