N	3gram	Medvedev_U_1	Vladivir
1	в том что	2	7
2	в этом смысле	2	4
3	то же время	3	4
4	и то что	2	4
5	на то что	1	4
6	в то же	3	4
7	более или менее	1	3
8	в конце концов	2	3
9	с другой стороны	3	3
10	не может быть	4	3
11	но даже и	2	2
12	на первый план	1	2
13	и в то	1	2
14	и в частности	2	2
15	не только в	1	2
16	можно сказать что	1	2
17	и в конце	1	1
18	в самом деле	2	1
19	в этой области	3	1
20	что мы и	1	1
21	для тех кто	1	1
22	бы то ни	3	1
23	в которой все	1	1
24	в значительной мере	1	1
25	но что такое	1	1
26	но в то	1	1
27	то ни было	3	1
28	с одной стороны	1	1
29	нам представляется что	1	1
30	так или иначе	1	1
31	по существу то	1	1
32	у него уже	1	1
33	с тем что	1	1
34	в последние годы	1	1
35	в этой же	1	1
36	но это не	1	1
37	выдвигает на первый	1	1
38	в этом отношении	2	1
