N	4gram	Tiupa_Anal_2	SlovoVZh
1	по отношению к предмету	1	2
2	одно и то же	1	2
3	мы имеем дело с	1	1
4	интонации соприкасается говорящий со	1	1
5	соприкасается говорящий со слушателями	1	1
6	в противном случае она	1	1
7	как бы выводит слово	1	1
8	и в этом смысле	1	1
9	в то же время	2	1
10	именно в интонации соприкасается	1	1
11	слово за его словесные	1	1
12	в интонации соприкасается говорящий	1	1
13	за его словесные пределы	1	1
14	говорящий со слушателями интонация	1	1
15	выводит слово за его	1	1
16	бы выводит слово за	1	1
17	одним и тем же	1	1
18	интонация как бы выводит	1	1
