N	2gram	Trubetskoy_1	EvropaiC
1	таким образом	11	32
2	в том	17	31
3	и в	14	24
4	культурных ценностей	1	20
5	том что	9	20
6	все эти	2	19
7	не может	22	18
8	народа а	2	18
9	то что	13	17
10	все же	4	15
11	может быть	9	15
12	к культуре	2	14
13	точки зрения	11	13
14	в этом	17	12
15	сих пор	5	12
16	самом деле	7	12
17	до сих	5	12
18	в своем	6	12
19	между тем	5	11
20	с этим	2	11
21	все это	6	11
22	отношению к	1	10
23	так и	1	10
24	во всех	5	10
25	культуры и	2	10
26	по отношению	2	10
27	культуры в	3	10
28	мы знаем	1	10
29	все что	4	10
30	как бы	4	10
31	как и	4	9
32	на то	5	9
33	того же	1	9
34	друг с	14	9
35	европейской цивилизации	2	9
36	что в	4	9
37	с другом	14	9
38	при этом	5	9
39	в результате	2	9
40	так же	2	8
41	и все	1	8
42	земного шара	1	8
43	не в	4	8
44	знаем что	3	8
45	идет речь	4	8
46	если бы	6	8
47	ясно что	2	8
48	в самом	3	8
49	с точки	9	8
50	у народа	1	8
51	мы говорили	3	8
52	а т.к	1	8
53	касается до	2	8
54	о которых	3	7
55	о том	7	7
56	о котором	3	7
57	для этого	3	7
58	не менее	1	7
59	по существу	5	7
60	того чтобы	8	7
61	а между	5	7
62	национальной культуры	13	7
63	по своей	1	7
64	европейской культуры	2	7
65	на самом	6	7
66	к тому	7	7
67	и не	19	7
68	из этих	3	7
69	из этого	3	7
70	в психике	1	7
71	в силу	2	7
72	для того	6	7
73	но и	10	7
74	или менее	4	7
75	более или	4	7
76	и что	2	7
77	что он	6	7
78	еще не	3	6
79	тогда как	2	6
80	данного народа	5	6
81	в европе	1	6
82	в каждый	1	6
83	отличается от	2	6
84	как на	8	6
85	должна быть	2	6
86	в сознании	3	6
87	с ним	2	6
88	так что	2	6
89	от друга	2	6
90	вместе с	4	6
91	что касается	1	6
92	того что	3	6
93	говорили выше	1	6
94	друг от	2	6
95	и при	6	6
96	только в	5	6
97	в этой	4	6
98	что и	3	6
99	и на	5	6
100	в мире	4	6
101	народов и	2	6
102	несмотря на	3	6
103	с другой	1	6
104	в общем	1	6
105	все они	3	6
106	мы можем	2	6
107	так как	4	6
108	в которой	1	5
109	случае если	3	5
110	в себе	9	5
111	по сравнению	1	5
112	и с	7	5
113	ничем не	1	5
114	не будет	7	5
115	и для	6	5
116	и их	1	5
117	свою культуру	1	5
118	народа к	1	5
119	что это	3	5
120	у него	2	5
121	его в	4	5
122	но все	1	5
123	к этому	1	5
124	котором идет	2	5
125	потому что	5	5
126	и от	2	5
127	тому же	1	5
128	от культуры	1	5
129	на все	1	5
130	и к	6	5
131	что при	1	5
132	лишь в	3	5
133	в то	10	5
134	что все	3	5
135	по своему	1	5
136	в его	4	5
137	именно в	3	5
138	и если	7	5
139	из всех	2	5
140	романогерманцев и	1	5
141	быть и	2	5
142	но в	2	5
143	столь же	1	5
144	и без	1	5
145	что с	2	5
146	как будто	2	5
147	не только	9	5
148	с культурой	1	5
149	ибо в	3	4
150	у романогерманцев	1	4
151	к европейской	1	4
152	самого себя	7	4
153	в состоянии	1	4
154	это есть	2	4
155	связи с	3	4
156	что его	1	4
157	том случае	4	4
158	иначе говоря	1	4
159	в виде	3	4
160	поэтому что	1	4
161	хотя бы	5	4
162	что эта	1	4
163	не так	2	4
164	в конце	3	4
165	в области	2	4
166	в их	4	4
167	тот факт	2	4
168	и культура	1	4
169	значительная часть	1	4
170	все-таки не	1	4
171	факт что	2	4
172	между собой	5	4
173	совершенно не	2	4
174	эта культура	1	4
175	в таком	2	4
176	каждый данный	1	4
177	и культур	1	4
178	конце концов	3	4
179	никогда не	5	4
180	культуре и	2	4
181	то же	11	4
182	мало того	1	4
183	из которых	5	4
184	общая сумма	1	4
185	этом случае	3	4
186	которых мы	1	4
187	мы должны	7	4
188	и сейчас	3	4
189	оказывается что	1	4
190	в течение	2	4
191	должно быть	3	4
192	а с	2	4
193	данный момент	1	4
194	тем не	1	4
195	ни один	1	4
196	и т.д	4	4
197	мы уже	2	4
198	всех этих	3	4
199	том же	2	4
200	в одну	1	4
201	как сказано	1	4
202	первое время	1	4
203	не могут	4	4
204	и культуры	1	4
205	он не	5	4
206	а потому	5	4
207	в такой	1	4
208	многие из	1	4
209	и проч	1	4
210	без того	1	4
211	и то	4	4
212	признать что	6	4
213	чем больше	1	4
214	лишь при	5	4
215	и у	1	4
216	если мы	1	4
217	что та	1	4
218	сильнее чем	1	4
219	из них	3	4
220	не есть	3	4
221	что по	1	3
222	может не	3	3
223	во имя	5	3
224	положение по	1	3
225	бы в	1	3
226	для нас	2	3
227	и наконец	2	3
228	данном случае	3	3
229	вопрос о	5	3
230	в связи	1	3
231	должны быть	1	3
232	европейскую культуру	2	3
233	в разных	1	3
234	прежде всего	8	3
235	естественно поэтому	1	3
236	коренным образом	1	3
237	которых идет	1	3
238	народов которые	1	3
239	и германцев	1	3
240	европейской культуре	1	3
241	своего народа	6	3
242	в жизни	1	3
243	настоящее время	2	3
244	та культура	1	3
245	в нем	5	3
246	даже в	1	3
247	эти элементы	1	3
248	сказано выше	1	3
249	и того	1	3
250	а в	5	3
251	культуру в	2	3
252	сомнению что	1	3
253	а лишь	4	3
254	всему этому	1	3
255	от тех	1	3
256	в культурном	2	3
257	на этой	2	3
258	в начале	2	3
259	национальной и	1	3
260	это не	1	3
261	в этих	2	3
262	в совершенно	4	3
263	этой культуры	2	3
264	всегда будет	1	3
265	от него	2	3
266	одного и	1	3
267	на почве	2	3
268	того народа	1	3
269	культуре в	1	3
270	то ни	4	3
271	даже если	2	3
272	можно назвать	1	3
273	во всем	4	3
274	и потому	3	3
275	в истории	1	3
276	очевидно что	1	3
277	к которой	6	3
278	чтобы все	1	3
279	но даже	2	3
280	и других	1	3
281	же как	1	3
282	от того	4	3
283	в настоящее	2	3
284	а наоборот	1	3
285	подлежит сомнению	1	3
286	своей национальной	2	3
287	на эгоцентризме	1	3
288	ее и	1	3
289	то они	1	3
290	на земле	4	3
291	освободиться от	1	3
292	представление о	1	3
293	тем более	1	3
294	эту культуру	1	3
295	эгоцентрической психологией	1	3
296	венцом создания	1	3
297	культурном отношении	1	3
298	за ними	1	3
299	но по	1	3
300	сейчас же	1	3
301	не подлежит	2	3
302	целый ряд	2	3
303	которые не	1	3
304	таким же	3	3
305	что только	2	3
306	с тем	6	3
307	заключается в	1	3
308	что оно	3	3
309	и это	1	3
310	конечно не	5	3
311	ко всем	3	3
312	национальной психологии	1	3
313	образом в	1	3
314	и по	3	3
315	самих себя	3	3
316	в данном	7	3
317	и культуру	1	2
318	себе отпечаток	1	2
319	то которое	2	2
320	пути мирового	1	2
321	сводится к	3	2
322	себя и	5	2
323	но не	4	2
324	он считает	1	2
325	другой вид	1	2
326	на себе	1	2
327	к той	2	2
328	и космополитизм	1	2
329	невозможно но	1	2
330	же время	10	2
331	во всяком	9	2
332	в другом	3	2
333	в одно	1	2
334	говорить о	3	2
335	тех же	1	2
336	только не	1	2
337	основанную на	1	2
338	на том	3	2
339	что они	3	2
340	ко всему	1	2
341	удел лишь	1	2
342	в один	1	2
343	а это	1	2
344	что народ	1	2
345	культурными ценностями	2	2
346	самой совершенной	1	2
347	этого слова	1	2
348	не было	3	2
349	понять что	2	2
350	его племя	1	2
351	вовсе не	1	2
352	из таких	1	2
353	так чтобы	3	2
354	только при	1	2
355	нельзя ибо	1	2
356	при отсутствии	2	2
357	образом как	1	2
358	из предыдущего	1	2
359	цивилизованных народов	1	2
360	к нему	2	2
361	отнюдь не	7	2
362	это обстоятельство	1	2
363	можно лишь	1	2
364	тем самым	2	2
365	совершенно ясно	1	2
366	что европейская	1	2
367	то есть	1	2
368	всех остальных	1	2
369	при условии	3	2
370	только то	1	2
371	это конечно	1	2
372	что на	1	2
373	культура не	1	2
374	между прочим	1	2
375	что такой	4	2
376	если он	1	2
377	своем целом	1	2
378	стремящийся к	1	2
379	в ней	2	2
380	знаем и	1	2
381	то в	3	2
382	более на	1	2
383	те же	1	2
384	заключает в	1	2
385	следует чтобы	1	2
386	вся его	1	2
387	том и	2	2
388	не играет	2	2
389	и только	5	2
390	что же	4	2
391	том виде	1	2
392	только один	1	2
393	приемлемыми для	1	2
394	виде как	1	2
395	к такому	2	2
396	с этой	1	2
397	с общим	1	2
398	для него	6	2
399	национального характера	5	2
400	как не	1	2
401	цивилизации в	1	2
402	в себя	1	2
403	о которой	1	2
404	но если	3	2
405	но как	1	2
406	и некоторые	1	2
407	общероманогерманский шовинизм	1	2
408	что для	3	2
409	и весь	1	2
410	выше что	1	2
411	интеллигенция европеизированных	1	2
412	на него	1	2
413	и более	2	2
414	они не	1	2
415	культура для	1	2
416	для культуры	1	2
417	как мы	1	2
418	то и	1	2
419	тогда когда	4	2
420	в свою	1	2
421	и говорить	1	2
422	весьма часто	2	2
423	что у	1	2
424	каждого человека	1	2
425	жизни и	4	2
426	свою очередь	1	2
427	в сущности	1	2
428	их народа	1	2
429	бы то	4	2
430	в культурной	1	2
431	культуры с	2	2
432	но на	1	2
433	в отдельных	1	2
434	говорить что	1	2
435	вследствие этого	1	2
436	и те	2	2
437	к другу	1	2
438	нечего и	1	2
439	цивилизация и	1	2
440	можно ли	3	2
441	при таком	1	2
442	всяком случае	6	2
443	со своей	1	2
444	к ним	1	2
445	в противоречие	2	2
446	начале этой	1	2
447	друг к	1	2
448	представить себе	2	2
449	к полной	1	2
450	однако при	1	2
451	в основе	1	2
452	ту же	1	2
453	сил и	3	2
454	что эти	1	2
455	с ними	1	2
456	из одного	1	2
457	на первый	1	2
458	одна из	3	2
459	считает себя	2	2
460	в котором	2	2
461	точку зрения	4	2
462	из нее	1	2
463	ни было	1	2
464	они могут	1	2
465	которые будут	1	2
466	культурной ценности	1	2
467	тому что	2	2
468	культуры ибо	1	2
469	в сторону	1	2
470	что оба	1	2
471	такой же	1	2
472	элементов национальной	1	2
473	и будет	1	2
474	этих черт	1	2
475	или нескольких	2	2
476	общечеловеческой цивилизации	1	2
477	цивилизации и	1	2
478	человек принадлежит	1	2
479	доказать что	1	2
480	она не	2	2
481	также и	1	2
482	только тогда	1	2
483	ближе к	1	2
484	возможно лишь	4	2
485	должен быть	1	2
486	от своей	2	2
487	этот вопрос	2	2
488	и состоит	2	2
489	в частности	2	2
490	если же	2	2
491	при том	4	2
492	национального единства	1	2
493	на такой	2	2
494	галлов и	1	2
495	смотреть на	4	2
496	не следует	1	2
497	самого факта	1	2
498	один общий	1	2
499	борьбы с	1	2
500	а будет	1	2
501	к своим	1	2
502	он должен	5	2
503	в которых	1	2
504	в глазах	2	2
505	было бы	5	2
506	в самой	1	2
507	же образом	2	2
508	с ее	1	2
509	со своими	1	2
510	однако это	1	2
511	тем сильнее	1	2
512	постепенно в	1	2
513	в общей	1	2
514	существование в	2	2
515	том чтобы	3	2
516	и начало	1	2
517	но для	2	2
518	делу и	1	1
519	центром вселенной	1	1
520	не могла	1	1
521	надо признать	3	1
522	и постоянно	1	1
523	люди что	1	1
524	может только	3	1
525	принадлежит признается	1	1
526	в борьбе	2	1
527	лучшим наиболее	1	1
528	культура которая	1	1
529	та или	1	1
530	приводит к	4	1
531	народов это	1	1
532	в значительной	3	1
533	на его	1	1
534	разных народов	1	1
535	ними вместе	1	1
536	народа на	1	1
537	ведь в	2	1
538	может ли	1	1
539	пропаганду за	1	1
540	друг друга	3	1
541	называли себя	1	1
542	и вот	2	1
543	на другую	1	1
544	европейцев и	1	1
545	на точку	1	1
546	когда же	1	1
547	если они	2	1
548	на деле	1	1
549	входит в	1	1
550	наличности в	1	1
551	жизни в	5	1
552	от своих	1	1
553	с нею	3	1
554	освобождению от	1	1
555	исходит из	1	1
556	идет в	1	1
557	бы к	1	1
558	ее он	2	1
559	бы на	1	1
560	т.е к	2	1
561	всем этим	2	1
562	ни одна	3	1
563	душевной жизни	1	1
564	бы это	1	1
565	сословие его	1	1
566	этого стремления	1	1
567	или народов	1	1
568	или не	1	1
569	общечеловеческая цивилизация	1	1
570	людей и	2	1
571	совершенной его	1	1
572	этого не	2	1
573	борьбе за	1	1
574	мире является	1	1
575	дело совершенно	1	1
576	видеть что	1	1
577	приходится ответить	1	1
578	культура всякого	1	1
579	раса лучше	1	1
580	если в	6	1
581	на эту	2	1
582	случае не	1	1
583	которой этот	1	1
584	что когда	1	1
585	можно но	1	1
586	нас не	1	1
587	что ее	1	1
588	например тот	1	1
589	себя от	3	1
590	есть общая	1	1
591	существ то	1	1
592	уже знаем	1	1
593	по пути	1	1
594	других существ	1	1
595	не к	2	1
596	необходимо чтобы	1	1
597	свою оценку	1	1
598	всеми силами	1	1
599	всех народов	2	1
600	но при	1	1
601	крайней мере	1	1
602	что такая	1	1
603	согласно принципу	1	1
604	люди которые	1	1
605	а то	1	1
606	поколение в	1	1
607	собой а	3	1
608	культуры или	1	1
609	оградить себя	1	1
610	этот человек	2	1
611	и просто	1	1
612	навсегда отказаться	1	1
613	данный человек	1	1
614	друг другу	2	1
615	зависит от	2	1
616	его сословие	1	1
617	же остается	1	1
618	наивно уверены	1	1
619	этому и	1	1
620	когда оно	1	1
621	числе и	1	1
622	с понятием	1	1
623	никакой роли	1	1
624	всякий национализм	1	1
625	не по	1	1
626	может признать	1	1
627	была бы	1	1
628	на тех	1	1
629	с ней	1	1
630	каждого отдельного	2	1
631	представителей данного	1	1
632	него похоже	1	1
633	к удовлетворению	1	1
634	из двух	1	1
635	в заблуждение	2	1
636	то придется	1	1
637	руководствоваться не	1	1
638	древних галлов	1	1
639	такое положение	1	1
640	его можно	1	1
641	бы ни	2	1
642	бессознательно считает	1	1
643	же будет	1	1
644	эту мысль	1	1
645	культура того	1	1
646	но мы	3	1
647	другом случае	2	1
648	его семья	1	1
649	лишь постепенно	1	1
650	национальная культура	5	1
651	у таких	1	1
652	к которому	1	1
653	иное как	1	1
654	эти последние	1	1
655	мы не	1	1
656	уверены в	1	1
657	бы не	1	1
658	на место	1	1
659	встречается у	1	1
660	имеет свою	1	1
661	столь наивно	1	1
662	создания и	1	1
663	народа состоит	1	1
664	борьбе с	3	1
665	с другими	1	1
666	в совместной	1	1
667	эволюции они	1	1
668	в своей	5	1
669	таким путем	1	1
670	русский интеллигент	1	1
671	мировой цивилизации	1	1
672	в руках	1	1
673	а только	1	1
674	другом месте	1	1
675	а на	1	1
676	культурой и	1	1
677	на нем	1	1
678	на ноги	1	1
679	области техники	1	1
680	национального целого	1	1
681	не знаем	1	1
682	чаще всего	1	1
683	подходить к	1	1
684	его духовная	1	1
685	трудно видеть	1	1
686	всех европеизированных	1	1
687	точке зрения	3	1
688	существ к	1	1
689	может встать	1	1
690	которой он	4	1
691	имеют между	1	1
692	всех других	1	1
693	ли это	4	1
694	преклонения перед	1	1
695	для россии	2	1
696	смотрят на	2	1
697	все члены	2	1
698	причем эти	1	1
699	невозможно все	1	1
700	иметь в	1	1
701	в принципе	1	1
702	такую точку	2	1
703	были бы	2	1
704	он сам	3	1
705	обстоятельстве и	1	1
706	приходится наблюдать	1	1
707	выход из	1	1
708	себя на	2	1
709	но когда	1	1
710	если признать	1	1
711	будет ли	2	1
712	естественная группа	1	1
713	их приспешников	1	1
714	культура есть	1	1
715	а чем	1	1
716	всегда столь	1	1
717	с чертами	1	1
718	смысле этого	1	1
719	к чисто	1	1
720	культуры мы	1	1
721	из всего	1	1
722	время в	2	1
