N	3gram	Voloshinov_1	DiskursI
1	в том что	1	6
2	в данном случае	1	6
3	с одной стороны	1	4
4	в этом отношении	1	4
5	о том что	2	3
6	так и в	1	3
7	той или иной	1	3
8	не может быть	3	3
9	подобно тому как	1	2
10	и прежде всего	1	2
11	и того же	1	2
12	на первый взгляд	1	2
13	а потом и	1	2
14	и может быть	2	2
15	одного и того	1	2
16	в свое время	1	2
17	дело в том	1	2
18	с точки зрения	6	2
19	что на этом	1	1
20	с самого начала	4	1
21	и столь же	1	1
22	при всей ее	1	1
23	при всей их	1	1
24	в большинстве случаев	3	1
25	бы то ни	1	1
26	что в них	1	1
27	а с другой	1	1
28	можно сказать что	3	1
29	в себя и	1	1
30	друг на друга	2	1
31	то ни было	1	1
32	и тех же	1	1
33	обратим внимание на	1	1
34	так и с	1	1
35	в чем не	3	1
36	а часто и	1	1
37	ни в чем	3	1
38	в применении к	1	1
39	в конечном счете	2	1
40	не могут быть	2	1
41	в самом деле	2	1
42	все то что	2	1
43	прежде всего на	1	1
44	по аналогии с	2	1
45	во внешнем мире	1	1
46	одних и тех	1	1
47	во всяком случае	3	1
48	по крайней мере	3	1
