N	3gram	Vygotskiy__4	Formalny
1	с точки зрения	11	13
2	в настоящее время	2	10
3	на самом деле	1	6
4	до сих пор	1	6
5	в свою очередь	2	6
6	не может быть	1	5
7	по отношению к	1	4
8	одной стороны и	2	4
9	с одной стороны	9	4
10	во всяком случае	3	4
11	прежде всего в	1	3
12	бы то ни	1	3
13	смысле этого слова	7	3
14	в зависимости от	1	2
15	убедиться в этом	1	2
16	только на основе	1	2
17	как если бы	1	2
18	и в частности	1	2
19	мы полагаем что	1	2
20	в том чтобы	2	2
21	в связи с	3	2
22	все более и	2	2
23	более и более	2	2
24	в целом ряде	2	2
25	не только не	5	2
26	друг от друга	1	2
27	может войти в	1	2
28	как мы видели	2	2
29	внутренних и внешних	1	1
30	перечисленные нами основные	1	1
31	прав когда он	1	1
32	это то что	1	1
33	во всей полноте	1	1
34	состоит в том	3	1
35	в процессе усвоения	1	1
36	ничего общего с	1	1
37	как один из	1	1
38	и в нашем	1	1
39	не говоря уже	1	1
40	как и во	1	1
41	в этом смысле	8	1
42	же как и	4	1
43	не может не	2	1
44	и во всех	1	1
45	говоря уже о	1	1
46	при этом не	1	1
47	почти совершенно не	1	1
48	в том что	31	1
49	сказать что и	1	1
50	но и в	2	1
51	как это свойственно	1	1
52	в своем дальнейшем	1	1
53	в этом отношении	7	1
54	этого слова а	1	1
55	вместо того чтобы	1	1
56	том числе и	2	1
57	до последнего времени	1	1
58	и в истории	1	1
59	с этой точки	4	1
60	в своем исследовании	1	1
61	в самой природе	1	1
62	вместе с тем	3	1
63	в целом и	2	1
64	мы видим что	2	1
65	в данном случае	2	1
66	то ни было	1	1
67	должно быть отнесено	1	1
68	в высшей степени	2	1
69	распространяются и на	1	1
70	а также и	1	1
71	в отличие от	2	1
72	по сравнению с	3	1
73	все эти вопросы	1	1
74	и как бы	1	1
75	центр внимания и	1	1
76	мы нисколько не	1	1
77	свое естественное место	1	1
78	но вместе с	2	1
79	со всеми другими	1	1
80	но и с	1	1
81	естественное место в	1	1
82	с другой стороны	8	1
83	так же как	5	1
84	между тем как	3	1
85	иначе как в	1	1
86	по себе не	1	1
87	этой точки зрения	4	1
88	есть еще одна	1	1
89	в той же	1	1
90	и должен быть	1	1
91	в центр внимания	1	1
92	своем дальнейшем развитии	1	1
93	между этими двумя	2	1
94	в процессе развития	1	1
95	так и на	1	1
96	все это в	1	1
97	и тем самым	4	1
98	с самого начала	1	1
99	это значит что	2	1
100	в том отношении	1	1
101	но все же	1	1
102	том отношении что	1	1
103	но даже и	1	1
104	заключается в том	14	1
105	не только на	1	1
106	в его основе	1	1
107	в том числе	2	1
108	к тому что	1	1
109	тех или иных	1	1
110	тем не менее	1	1
111	то же что	1	1
112	что и в	1	1
113	мы увидим что	1	1
114	по своей природе	1	1
