N	2gram	Tiupa_Hudo_2	Otkroven
1	он не	4	4
2	в самой	1	3
3	для него	5	2
4	достоевского и	1	2
5	в этом	13	2
6	а не	14	2
7	отношение к	2	1
8	него и	1	1
9	в другом	2	1
10	в самую	1	1
11	этом он	1	1
12	он сам	2	1
13	и пережил	1	1
14	у него	5	1
15	как и	11	1
16	также и	1	1
17	мысли и	2	1
18	но он	1	1
19	в душе	8	1
20	в уста	1	1
21	что она	7	1
22	бытия она	1	1
23	человека и	3	1
24	любви к	2	1
25	о которой	2	1
26	него в	1	1
27	говорит о	4	1
28	во внешней	3	1
29	если бы	6	1
30	его и	2	1
31	и эта	2	1
32	и дело	1	1
33	и он	3	1
34	в человеческой	1	1
35	и в	28	1
36	это не	6	1
37	он был	1	1
38	но и	9	1
39	о боге	2	1
40	не только	11	1
41	на поверхности	1	1
42	то он	1	1
43	одна из	2	1
44	никогда не	5	1
45	его в	2	1
