N	2gram	Vygotskiy__1	StatiiOP
1	и в	23	25
2	в этом	17	24
3	в том	24	20
4	что он	7	19
5	может быть	14	19
6	тем что	6	19
7	что в	14	19
8	что это	3	16
9	том что	21	15
10	в этой	7	14
11	и пр	2	13
12	не только	16	12
13	в его	14	12
14	то что	17	12
15	в этих	2	11
16	так что	1	11
17	таким образом	26	10
18	прежде всего	10	10
19	и не	9	10
20	у него	1	9
21	но и	14	9
22	и т	1	8
23	все это	6	8
24	о том	6	8
25	как например	1	8
26	в своих	5	8
27	с этим	6	7
28	это не	1	7
29	было бы	4	7
30	в то	7	7
31	не может	12	7
32	что касается	1	7
33	точки зрения	26	7
34	и на	8	6
35	как в	4	6
36	из этих	3	6
37	не в	4	6
38	между тем	9	6
39	только в	6	6
40	в конце	2	6
41	в области	3	6
42	как бы	11	6
43	а в	2	6
44	как на	4	6
45	то же	8	5
46	ответ на	3	5
47	то обстоятельство	1	5
48	независимо от	6	5
49	говорит что	4	5
50	но в	5	5
51	на то	5	5
52	он не	5	5
53	об этом	3	5
54	ни в	4	5
55	в котором	4	5
56	потому что	6	5
57	обстоятельство что	1	5
58	и это	3	5
59	так и	5	5
60	в них	2	5
61	с другой	10	5
62	связано с	2	5
63	а не	3	5
64	такого рода	1	5
65	того что	15	5
66	другой стороны	9	5
67	например в	1	4
68	что эти	2	4
69	в которой	3	4
70	время как	4	4
71	из которых	3	4
72	в чем	4	4
73	в общем	3	4
74	все же	3	4
75	не было	1	4
76	и к	4	4
77	то в	1	4
78	в целом	20	4
79	на его	1	4
80	состоит в	1	4
81	лишь в	6	4
82	на протяжении	1	4
83	этом смысле	1	4
84	и тем	6	4
85	в жизни	1	4
86	с тем	7	4
87	как и	14	4
88	в эту	1	4
89	по крайней	1	4
90	с точки	18	4
91	ничего не	3	4
92	этом отношении	4	4
93	в каком	3	4
94	связана с	2	4
95	отличается от	1	4
96	в ней	1	4
97	и с	9	4
98	если бы	5	4
99	можно сказать	5	4
100	а также	1	4
101	мы видим	4	4
102	всего в	2	4
103	в качестве	9	4
104	и др	1	4
105	всяком случае	3	4
106	то время	5	4
107	крайней мере	1	4
108	должна была	1	4
109	в речи	2	4
110	связь с	1	4
111	в течение	2	4
112	в смысле	2	4
113	и для	1	4
114	в отдельных	1	4
115	сказать что	11	4
116	в своей	4	4
117	из этого	5	4
118	это в	1	4
119	можно назвать	2	4
120	во всяком	3	4
121	по мнению	1	3
122	говорить о	2	3
123	с его	4	3
124	кроме того	1	3
125	и наконец	2	3
126	гораздо раньше	1	3
127	все эти	4	3
128	и если	3	3
129	всех этих	2	3
130	на этом	2	3
131	что этот	2	3
132	в другом	7	3
133	о которых	1	3
134	показывает что	3	3
135	несмотря на	2	3
136	в их	3	3
137	что я	1	3
138	и более	5	3
139	на эти	3	3
140	тому что	5	3
141	во время	1	3
142	же время	2	3
143	связи с	3	3
144	и здесь	1	3
145	что все	4	3
146	в словах	2	3
147	со стороны	1	3
148	на вопрос	2	3
149	и что	5	3
150	по этому	1	3
151	раньше чем	1	3
152	нельзя сказать	1	3
153	и его	6	3
154	вот что	1	3
155	уже не	2	3
156	уже в	3	3
157	для него	2	3
158	так как	7	3
159	как раз	4	3
160	не является	9	3
161	связан с	5	3
162	что для	5	3
163	одной стороны	9	3
164	до конца	1	3
165	что мы	5	3
166	бы совершенно	1	3
167	с этой	6	3
168	между прочим	1	3
169	этого рода	2	3
170	тем более	5	3
171	находит свое	1	3
172	конце концов	1	3
173	к этому	4	3
174	в виде	2	3
175	в какой	5	3
176	речь идет	2	2
177	самом деле	3	2
178	он может	2	2
179	мы имели	1	2
180	той же	2	2
181	в сущности	6	2
182	разумеется не	1	2
183	во всех	3	2
184	то он	1	2
185	только тогда	2	2
186	к слову	6	2
187	с которыми	1	2
188	не просто	1	2
189	что они	3	2
190	что именно	3	2
191	более и	2	2
192	им в	1	2
193	его к	1	2
194	в самом	7	2
195	сюда относятся	1	2
196	т д	1	2
197	о которой	1	2
198	том чтобы	3	2
199	в плане	1	2
200	но все	2	2
201	заключается в	8	2
202	ее в	2	2
203	а с	4	2
204	с не	1	2
205	мы не	7	2
206	в развитии	12	2
207	такой же	3	2
208	не мог	1	2
209	которую он	1	2
210	в такой	3	2
211	не столько	4	2
212	в которых	3	2
213	точку зрения	2	2
214	которые в	1	2
215	тем не	1	2
216	для этого	5	2
217	этой области	1	2
218	в отношении	10	2
219	не менее	1	2
220	что эта	2	2
221	самого начала	8	2
222	как о	1	2
223	считает что	1	2
224	на котором	1	2
225	тогда когда	3	2
226	к этим	2	2
227	не имеет	2	2
228	никогда не	2	2
229	и всегда	1	2
230	слова как	2	2
231	этих двух	3	2
232	более что	1	2
233	он хочет	1	2
234	от того	6	2
235	начиная с	2	2
236	близостью к	1	2
237	могут быть	3	2
238	ставит в	1	2
239	к тому	4	2
240	для того	15	2
241	на это	1	2
242	должен быть	4	2
243	нет такого	1	2
244	как мы	5	2
245	с ее	1	2
246	в виду	1	2
247	на основе	1	2
248	с самого	8	2
249	что у	2	2
250	на нее	2	2
251	или в	1	2
252	здесь нет	1	2
253	что отдельные	2	2
254	нас к	8	2
255	внимание на	1	2
256	одного из	3	2
257	с одной	8	2
258	что его	2	2
259	в драме	1	2
260	от них	2	2
261	в форме	1	2
262	и других	3	2
263	все время	6	2
264	еще не	1	2
265	и ее	7	2
266	и у	1	2
267	то и	3	2
268	что если	2	2
269	одно из	2	2
270	а то	1	2
271	в новом	3	2
272	мы находим	3	2
273	вовсе не	3	2
274	должен был	1	2
275	заметить что	2	2
276	или иной	1	2
277	до сих	4	2
278	слово в	1	2
279	в предисловии	1	2
280	что не	1	2
281	не на	1	2
282	что из	1	2
283	вместе с	9	2
284	в одной	3	2
285	но не	4	2
286	к такому	1	2
287	в это	1	2
288	этого слова	4	2
289	сих пор	4	2
290	является как	2	2
291	один из	2	2
292	с по	1	2
293	в результате	4	2
294	др но	1	2
295	его не	3	2
296	пр в	1	2
297	только что	4	2
298	все более	3	2
299	одной из	1	2
300	в свою	4	2
301	в общих	1	2
302	к сожалению	2	2
303	к этой	1	2
304	гораздо более	1	2
305	как известно	3	1
306	ту же	1	1
307	за пределы	2	1
308	одним из	1	1
309	также и	1	1
310	его основной	1	1
311	они представляют	1	1
312	сам по	3	1
313	и то	3	1
314	смысле слова	3	1
315	на самом	1	1
316	переход от	1	1
317	показаться что	1	1
318	идет о	2	1
319	в первом	2	1
320	не хочет	1	1
321	и до	2	1
322	собственном смысле	5	1
323	для этих	1	1
324	из всех	2	1
325	отношения к	3	1
326	есть не	2	1
327	им самим	1	1
328	как целому	1	1
329	которой была	1	1
330	вопрос о	7	1
331	совпадает с	1	1
332	видели уже	1	1
333	в некотором	1	1
334	мы и	3	1
335	самый термин	1	1
336	что можно	1	1
337	первого взгляда	1	1
338	с большим	1	1
339	мн др	1	1
340	что судьба	1	1
341	которую можно	1	1
342	по линии	2	1
343	между собой	5	1
344	и мн	1	1
345	быть в	1	1
346	но этого	1	1
347	как правильно	1	1
348	мышления как	5	1
349	значении этого	1	1
350	мы будем	1	1
351	и другие	1	1
352	к жизни	1	1
353	с самой	1	1
354	в сторону	1	1
355	со всеми	2	1
356	тех же	2	1
357	очевидно что	1	1
358	до наших	1	1
359	которые не	3	1
360	анализ этого	2	1
361	и я	2	1
362	чем же	1	1
363	в истории	1	1
364	этот центральный	1	1
365	всего от	1	1
366	только ее	1	1
367	показать что	2	1
368	что как	2	1
369	в своем	3	1
370	что ее	1	1
371	что нет	1	1
372	когда он	2	1
373	целый ряд	4	1
374	вопросом о	1	1
375	и как	5	1
376	оказывается в	1	1
377	но эта	1	1
378	от этого	2	1
379	еще на	3	1
380	представляет собой	11	1
381	в известном	2	1
382	в дальнейшем	1	1
383	как он	3	1
384	но на	1	1
385	всей его	3	1
386	что она	4	1
387	в нем	1	1
388	в свет	1	1
389	связанные с	1	1
390	от которого	1	1
391	и больше	1	1
392	свою собственную	2	1
393	он должен	2	1
394	не к	2	1
395	что еще	1	1
396	изучению этих	1	1
397	какой бы	1	1
398	одной и	2	1
399	измерения и	1	1
400	как оно	1	1
401	мышления с	6	1
402	а затем	5	1
403	к другу	2	1
404	самим собой	1	1
405	на этой	1	1
406	быть столь	1	1
407	касается второго	1	1
408	тому пути	1	1
409	моменты в	1	1
410	и определение	1	1
411	делает его	1	1
412	между отдельными	3	1
413	остановиться на	1	1
414	еще одно	1	1
415	который сам	1	1
416	этом мы	1	1
417	он является	1	1
418	на которую	1	1
419	то как	1	1
420	соответствии с	1	1
421	к которым	1	1
422	отражается в	1	1
423	мы видели	2	1
424	мы знаем	1	1
425	мере не	1	1
426	нисколько не	1	1
427	и при	2	1
428	сказать так	1	1
429	наших дней	1	1
430	почти не	1	1
431	этому пути	1	1
432	если можно	1	1
433	могло бы	1	1
434	одном из	2	1
435	и той	2	1
436	поэтому в	2	1
437	друг другу	3	1
438	и эти	2	1
439	не могли	2	1
440	не изменяет	1	1
441	эту пору	1	1
442	том же	2	1
443	того кто	2	1
444	т.е на	1	1
445	по себе	5	1
446	даже в	2	1
447	этого мало	1	1
448	свою силу	1	1
449	определенная система	1	1
450	вплоть до	1	1
451	о значении	1	1
452	может служить	1	1
453	дело в	2	1
