N	3gram	Tiupa_Anal_3	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	2	6
3	во всяком случае	2	6
4	до сих пор	1	5
5	по крайней мере	4	5
6	а с другой	1	5
7	для того чтобы	1	5
8	о том что	5	4
9	к тому же	3	4
10	так или иначе	1	3
11	всяком случае не	1	3
12	в связи с	1	3
13	тем не менее	2	3
14	в том что	7	3
15	в этом отношении	3	2
16	с тех пор	1	2
17	таким образом в	1	2
18	то же время	3	2
19	той или иной	3	2
20	можно сказать что	2	2
21	в то же	3	2
22	и в сущности	1	1
23	и того же	3	1
24	в слове о	2	1
25	и все же	1	1
26	а между тем	1	1
27	по отношению к	7	1
28	одной из этих	1	1
29	в самом деле	1	1
30	одного и того	3	1
31	крайней мере в	2	1
32	в таком случае	1	1
33	до известной степени	3	1
34	к этому что	1	1
35	тех пор как	1	1
36	не исключая и	1	1
37	и далее в	1	1
38	но они не	1	1
39	одной стороны с	1	1
40	что мы знаем	1	1
41	с этого момента	1	1
42	с ними в	1	1
43	но и как	1	1
44	случае мы имеем	1	1
45	которые могли бы	1	1
46	слове о полку	2	1
47	в общем контексте	1	1
48	в данном случае	3	1
49	в первом случае	1	1
50	и т.д в	1	1
51	тот факт что	1	1
52	в отличие от	2	1
53	и в этой	1	1
54	не только как	1	1
55	в ритмическом отношении	1	1
56	не в том	1	1
57	о полку игореве	3	1
58	а не как	1	1
59	все что мы	1	1
60	к лицу с	1	1
61	тем или иным	2	1
62	мы знаем о	1	1
63	все это было	1	1
64	с другой стороны	5	1
65	как бы в	1	1
66	речь идет о	1	1
67	лицом к лицу	1	1
68	один и тот	1	1
69	из этих трех	1	1
70	а в том	2	1
71	не может быть	1	1
72	но с другой	1	1
73	может и не	1	1
74	так и в	1	1
75	с другой с	1	1
76	в свою очередь	4	1
77	в одном из	1	1
78	не только не	3	1
79	в связь с	1	1
80	в этой роли	1	1
81	своей ролью в	1	1
82	в себе не	1	1
83	что и в	1	1
84	именно потому что	1	1
85	и тот же	1	1
