N	3gram	Ircho_Kome_3	Problemy
1	с точки зрения	3	13
2	то же время	4	9
3	в то же	4	9
4	по отношению к	3	8
5	в том что	9	6
6	и в этом	1	5
7	в зависимости от	1	5
8	в конце концов	2	5
9	подобно тому как	1	3
10	и т п	3	3
11	в этом отношении	2	3
12	во всяком случае	3	3
13	с другой стороны	2	3
14	но все же	2	2
15	друг против друга	1	2
16	в самом деле	6	2
17	до сих пор	9	2
18	и не может	1	2
19	и в то	1	2
20	бы то ни	2	2
21	т е в	2	2
22	как бы в	1	2
23	именно потому что	2	2
24	от альфы до	1	1
25	потому что он	1	1
26	он должен быть	1	1
27	хотя и не	2	1
28	в свою очередь	6	1
29	т е о	1	1
30	то же самое	3	1
31	в этом случае	2	1
32	хотя он и	1	1
33	он и не	2	1
34	приходится признать что	1	1
35	в частности на	1	1
36	может быть только	1	1
37	по крайней мере	1	1
38	так и в	1	1
39	дело таким образом	1	1
40	и в частности	1	1
41	то время как	2	1
42	же что и	1	1
43	в первом случае	1	1
44	то ни было	2	1
45	таким образом и	1	1
46	зависимости от того	1	1
47	и в пределах	1	1
48	не давая ему	1	1
49	в пределах того	1	1
50	мы подходим к	1	1
51	этой точки зрения	1	1
52	о том что	4	1
53	ставит нас перед	1	1
54	более или менее	1	1
55	независимо от того	1	1
56	по сравнению с	2	1
57	имеем в виду	1	1
58	в то время	2	1
59	именно к этой	1	1
60	и никогда не	1	1
61	с самого начала	4	1
62	ни одной из	1	1
63	можно сказать что	1	1
64	в настоящее время	1	1
65	мы имеем в	1	1
66	к тому что	1	1
67	друг за другом	1	1
68	друг с другом	1	1
69	в отношении к	1	1
70	для того чтобы	6	1
71	в построении образов	1	1
72	что и в	2	1
73	это не так	1	1
74	и т д	1	1
