1	то что мы	2	3
2	то что я	1	2
3	в нем нет	1	2
4	и т д	15	2
5	в том что	9	2
6	не в силах	1	2
7	как бы и	1	2
8	вслед за ним	1	1
9	и есть то	1	1
10	хотя бы и	2	1
11	я думаю что	2	1
12	он так хорошо	1	1
13	после того как	1	1
14	личности и ее	2	1
15	с ними как	1	1
16	другой стороны в	1	1
17	и в этом	3	1
18	по сравнению с	2	1
19	нем нет никакого	1	1
20	тогда нет и	1	1
21	в ней и	1	1
22	личность о которой	1	1
23	вот почему в	1	1
24	что все в	1	1
25	того что он	4	1
26	мы видим что	2	1
27	все что было	1	1
28	как бы в	1	1
29	нет ничего и	1	1
30	не есть метафизическое	1	1
31	но прежде всего	1	1
32	есть прежде всего	3	1
33	д и т	2	1
34	не имеет никакой	1	1
35	но все же	1	1
36	и то и	1	1
37	т д и	3	1
38	с другой стороны	1	1
39	по крайней мере	7	1
40	и вместе с	1	1
41	вечности вот почему	1	1
42	в конце концов	1	1
43	вот почему мы	1	1
44	в жизни и	1	1
45	есть то что	5	1
46	то и другое	2	1
