N	3gram	Propp_Isto_2	Marksizm
1	не может быть	2	13
2	до сих пор	6	8
3	в связи с	4	7
4	в отличие от	1	5
5	с другой стороны	2	5
6	с самого начала	2	4
7	является не только	1	3
8	в этом случае	5	3
9	мы не будем	2	3
10	и здесь мы	1	3
11	и пр в	1	3
12	в высшей степени	1	3
13	связи с этим	1	3
14	но все же	4	3
15	в том что	5	3
16	и той же	1	2
17	можно было бы	3	2
18	со всех сторон	4	2
19	так же как	4	2
20	смысле этого слова	1	2
21	одной из важнейших	1	2
22	одной и той	1	2
23	по отношению к	3	2
24	это и есть	1	2
25	и прежде всего	1	2
26	тем не менее	1	2
27	как только мы	1	1
28	и так сказать	1	1
29	подобно тому как	3	1
30	том что он	1	1
31	в одной из	1	1
32	мира прежде всего	1	1
33	пока не будет	1	1
34	но и в	2	1
35	само нуждается в	1	1
36	будем останавливаться на	1	1
37	но если мы	1	1
38	но уже в	1	1
39	так или иначе	1	1
40	не будем здесь	1	1
41	они еще не	1	1
42	сих пор мы	2	1
43	нуждается в объяснении	1	1
44	с одной стороны	3	1
45	и следовательно не	1	1
46	и на нее	1	1
47	в следующей главе	1	1
48	тесно связаны с	1	1
49	как мы увидим	1	1
50	уже с самого	2	1
51	тем что в	1	1
52	вместо того чтобы	2	1
53	был связан с	1	1
54	до наших дней	1	1
55	мы уже знаем	3	1
56	с переходом на	1	1
57	вовсе не в	1	1
58	и не хочет	1	1
59	с тем что	3	1
60	только после этого	1	1
61	это значит что	1	1
62	не только не	1	1
63	того как он	1	1
64	не только в	4	1
65	друг от друга	1	1
66	в другом случае	1	1
67	не будем останавливаться	1	1
68	на самом деле	2	1
69	друг с другом	1	1
70	и в нем	1	1
71	и в другом	1	1
