N	3gram	Losev_Prob_4	Poddanst
1	в то же	2	7
2	не только в	4	4
3	в том что	8	4
4	с точки зрения	11	3
5	сами по себе	2	3
6	в сравнении с	2	3
7	с одной стороны	1	3
8	в том числе	1	2
9	и в то	1	2
10	и потому в	1	2
11	в значительной мере	2	2
12	в ней не	1	2
13	заключается в том	2	2
14	в том виде	2	1
15	далеко не все	1	1
16	более или менее	2	1
17	в настоящее время	1	1
18	в этом смысле	3	1
19	и не может	1	1
20	тот или иной	2	1
21	мы не будем	2	1
22	хотя бы и	2	1
23	связана с другой	1	1
24	совершенно ясно что	1	1
25	за то что	1	1
26	в этих двух	1	1
27	вместе с тем	3	1
28	и то что	1	1
29	и в частности	2	1
30	так же как	1	1
31	если бы мы	1	1
32	только в виде	2	1
33	история и жизнь	1	1
34	по сравнению с	1	1
35	не в том	1	1
36	во всяком случае	4	1
37	с другой стороны	6	1
38	в каком смысле	2	1
39	сливаются в одно	1	1
40	что то же	1	1
41	или что то	1	1
42	само по себе	1	1
43	и тем самым	1	1
44	и тем более	2	1
45	именно потому что	1	1
46	то что его	1	1
47	ни на какие	1	1
48	в известном смысле	1	1
49	для того чтобы	2	1
50	в ней только	1	1
51	том числе и	1	1
52	и т д	3	1
53	в отдельности и	1	1
