N	2gram	Trubetskoy_1	Problemy
1	и в	14	34
2	и не	19	29
3	как бы	4	27
4	что он	6	23
5	в его	4	22
6	не может	22	19
7	и все	1	19
8	в нем	5	19
9	может быть	9	19
10	как и	4	18
11	о себе	1	18
12	к себе	2	17
13	в этом	17	16
14	но в	2	16
15	все это	6	16
16	и с	7	15
17	прежде всего	8	15
18	он не	5	15
19	к нему	2	14
20	с самим	2	14
21	то же	11	14
22	для него	6	13
23	самом деле	7	13
24	же время	10	12
25	потому что	5	12
26	но и	10	12
27	и к	6	12
28	в то	10	12
29	вовсе не	1	11
30	на самом	6	11
31	то что	13	11
32	в сущности	1	11
33	не только	9	10
34	не в	4	9
35	а не	2	9
36	в другом	3	8
37	точки зрения	11	8
38	так же	2	8
39	с ним	2	8
40	что же	4	8
41	и т	3	8
42	никогда не	5	8
43	и для	6	8
44	себя и	5	8
45	самого начала	1	8
46	с самого	1	8
47	в самом	3	8
48	как мы	1	7
49	все же	4	7
50	отношении к	2	7
51	что в	4	7
52	на него	1	7
53	с которым	1	7
54	что не	1	7
55	этого слова	1	7
56	как будто	2	7
57	и даже	2	7
58	в себе	9	6
59	что они	3	6
60	отношению к	1	6
61	самим собой	12	6
62	от него	2	6
63	что у	1	6
64	только в	5	6
65	с ними	1	6
66	мы уже	2	6
67	для себя	2	6
68	и на	5	6
69	так и	1	6
70	и вот	2	5
71	и наконец	2	5
72	во всяком	9	5
73	таким образом	11	5
74	и у	1	5
75	что это	3	5
76	даже в	1	5
77	хотя бы	5	5
78	в конце	3	5
79	так что	2	5
80	с тем	6	5
81	а в	5	5
82	мы должны	7	5
83	он сам	3	5
84	но все	1	5
85	себе самом	1	5
86	того что	3	5
87	к тому	7	5
88	по отношению	2	5
89	это не	1	5
90	и от	2	5
91	всяком случае	6	5
92	на них	1	5
93	что и	3	5
94	и что	2	5
95	лишь в	3	5
96	себе и	4	5
97	из них	3	5
98	все эти	2	4
99	на его	1	4
100	еще не	3	4
101	бы то	4	4
102	друг другу	2	4
103	при этом	5	4
104	в виде	3	4
105	с другими	1	4
106	то ни	4	4
107	его в	4	4
108	но не	4	4
109	что все	3	4
110	в начале	2	4
111	но как	1	4
112	вместе с	4	4
113	с точки	9	4
114	и прежде	1	4
115	да и	3	4
116	но на	1	4
117	ни в	2	4
118	тем что	3	4
119	даже и	2	4
120	не о	2	4
121	если бы	6	4
122	ни было	1	4
123	с таким	1	4
124	у него	2	4
125	в мире	4	4
