N	2gram	Bakhtin_Fr_4	ViktorSh
1	в книге	1	3
2	конце концов	4	2
3	и в	29	2
4	том что	3	2
5	в том	7	2
6	в конце	9	2
7	и почти	1	1
8	под влиянием	1	1
9	и не	16	1
10	все время	3	1
11	и его	8	1
12	потому что	1	1
13	и то	2	1
14	самом деле	1	1
15	все это	4	1
16	именно в	2	1
17	главным образом	1	1
18	этом и	1	1
19	в их	2	1
20	их как	2	1
21	дело в	2	1
22	в частности	3	1
23	так в	1	1
24	речи и	1	1
25	одно и	1	1
26	ведь это	3	1
27	в самом	1	1
28	только в	2	1
29	то же	10	1
30	так как	7	1
31	далеко не	5	1
32	что слово	1	1
33	но это	4	1
34	в этом	11	1
35	да и	2	1
36	имеется в	3	1
37	к этому	2	1
38	том же	2	1
