N	4gram	Vinokur_St_1	Psycholo
1	заключается в том что	2	4
2	одним и тем же	2	3
3	ответ на этот вопрос	1	2
4	мы имеем дело с	1	1
5	до сих пор не	1	1
6	он должен был бы	1	1
7	я имею в виду	1	1
8	в каждом отдельном случае	1	1
9	в то время как	1	1
10	в том что он	1	1
11	и в самом деле	2	1
12	что в то время	1	1
13	что с точки зрения	1	1
14	в том что в	2	1
15	дело в том что	4	1
16	пир во время чумы	1	1
17	в данном случае в	2	1
18	исключительно для того чтобы	1	1
19	на то что в	2	1
20	так же как и	1	1
