N	2gram	Berdyaev_O_1	OGranits
1	и в	19	13
2	и его	4	12
3	прежде всего	9	9
4	может быть	11	8
5	не может	4	8
6	и не	13	8
7	в его	7	7
8	и пр	1	7
9	как бы	3	6
10	не только	11	6
11	то что	5	6
12	все же	2	5
13	в процессе	1	5
14	хотя бы	3	5
15	и эта	1	5
16	мы не	1	4
17	но в	2	4
18	лишь в	7	4
19	в сознании	1	4
20	в своей	2	4
21	было бы	3	4
22	все это	6	4
23	только и	4	4
24	в каждом	1	4
25	связана с	1	3
26	и то	2	3
27	в ее	2	3
28	самом деле	1	3
29	так и	2	3
30	для целей	1	3
31	в которой	2	3
32	в себе	3	3
33	к одному	1	3
34	в одном	1	3
35	так как	2	3
36	но и	13	3
37	как и	6	3
38	со всей	1	3
39	я хочу	1	3
40	что же	2	3
41	не в	11	3
42	да и	1	3
43	и для	2	3
44	никогда не	9	3
45	и все	10	3
46	что в	4	3
47	смысле слова	1	2
48	есть не	1	2
49	подойти к	2	2
50	если бы	1	2
51	и делают	1	2
52	себе что	1	2
53	в ней	1	2
54	ее в	2	2
55	лишь путем	1	2
56	нуждается в	1	2
57	что они	2	2
58	как в	1	2
59	в которую	1	2
60	в этом	12	2
61	в том	5	2
62	с ними	1	2
63	от этого	1	2
64	в этот	2	2
65	все эти	4	2
66	учение о	2	2
67	думать что	1	2
68	уже в	2	2
69	кажется что	1	2
70	в нем	10	2
71	для него	5	2
72	в другом	2	2
73	вовсе не	1	2
74	тем что	2	2
75	в них	1	2
76	в самом	5	2
77	а не	11	2
78	и случайное	1	2
79	том что	2	2
80	и ее	3	2
81	в отношении	1	2
82	не имеет	2	2
83	от всех	1	2
84	бы в	1	2
85	во всем	1	2
86	нужно отметить	1	2
87	а в	5	2
88	нет ничего	7	2
89	и к	2	2
90	могут быть	3	2
91	в своих	3	2
92	и это	1	1
93	также и	1	1
94	человека и	10	1
95	и через	1	1
96	в виду	1	1
97	на нем	1	1
98	науки о	1	1
99	но тем	1	1
100	и есть	3	1
101	вовлекаются в	1	1
102	ту же	1	1
103	и до	1	1
104	он всегда	7	1
105	не имеют	1	1
106	можно было	1	1
107	что ведь	2	1
108	особенно в	1	1
109	в борьбе	1	1
110	свободы которую	1	1
111	и о	2	1
112	но у	1	1
113	вопрос о	10	1
114	быть может	3	1
115	по себе	2	1
116	но может	1	1
117	другом месте	1	1
118	в мире	1	1
119	и он	8	1
120	и что	1	1
121	почему же	1	1
122	еще не	3	1
123	к счастью	1	1
124	не могу	1	1
125	художественном творчестве	2	1
126	к нему	3	1
127	на самом	1	1
128	совсем не	2	1
129	но не	1	1
130	то он	1	1
131	и остаются	1	1
132	цели которая	1	1
133	с духом	1	1
134	природы и	2	1
135	отношение к	5	1
136	отметить что	1	1
137	и достоевский	1	1
138	на то	1	1
139	в истории	2	1
140	в одной	1	1
141	в своем	2	1
142	по своей	1	1
143	один из	1	1
144	князь мышкин	1	1
145	и как	1	1
146	что он	3	1
147	может привести	1	1
148	который в	1	1
149	каковы границы	1	1
150	существует лишь	1	1
151	со всеми	1	1
152	в этой	5	1
153	с их	1	1
154	что она	1	1
155	и других	1	1
156	раз навсегда	1	1
157	его и	1	1
158	одно из	2	1
159	а вовсе	1	1
160	никто не	3	1
161	он весь	2	1
162	в конце	1	1
163	все устойчивые	1	1
164	это ложное	1	1
165	из него	1	1
166	еще одну	1	1
167	и никогда	2	1
168	людей и	1	1
169	лишь с	1	1
170	это конечно	1	1
171	даже и	2	1
172	для того	3	1
173	же не	1	1
174	и характер	1	1
175	в совершенно	1	1
176	к другому	1	1
177	и здесь	1	1
178	его в	2	1
179	как к	2	1
180	главное и	1	1
181	заключается в	1	1
182	системы и	1	1
183	только одно	3	1
184	не было	9	1
185	она и	1	1
186	и самый	1	1
187	он и	1	1
188	все время	1	1
189	ставится в	2	1
190	для человека	2	1
191	должно быть	2	1
192	него не	2	1
193	и тогда	1	1
194	есть одно	1	1
195	которую он	2	1
196	движение в	2	1
197	связь с	1	1
198	этом нужно	1	1
199	художественного творчества	1	1
200	нигде и	1	1
201	ко всем	2	1
202	но там	1	1
203	как это	1	1
204	о границах	1	1
205	мысли и	3	1
206	он говорит	1	1
207	к этому	2	1
208	и вот	3	1
209	и там	2	1
210	формы все	1	1
211	ведь этот	1	1
212	в эпоху	1	1
213	и более	1	1
214	в человеческом	2	1
215	уже сам	1	1
216	быть не	1	1
217	этого слова	1	1
218	нет никакого	1	1
219	до конца	7	1
220	но это	1	1
221	всего его	1	1
222	истории и	1	1
223	одну особенность	1	1
224	мысли в	1	1
225	в какую-то	1	1
226	одна из	1	1
227	в науке	1	1
228	связанная с	1	1
229	того чтобы	4	1
230	само по	1	1
231	и чем	1	1
232	не существует	1	1
233	в разных	1	1
234	его творческого	1	1
235	влечет к	3	1
236	того как	1	1
237	в самой	9	1
238	ее и	1	1
239	от него	7	1
240	сложнее и	2	1
241	творчества но	1	1
242	потому что	9	1
243	которым можно	1	1
244	этом отношении	1	1
245	не вполне	1	1
246	да она	1	1
247	это все	1	1
248	сказать что	2	1
249	среди них	1	1
250	речи и	1	1
251	с его	4	1
252	указать на	1	1
253	всего в	2	1
254	всегда нуждается	1	1
255	например в	1	1
