N	4gram	Vinokur_Ku_3	VeschiIm
1	т д и т	1	7
2	д и т д	1	7
3	и т д и	1	7
4	в то же время	1	4
5	и в то же	1	3
6	но если это так	1	2
7	с этой точки зрения	1	2
8	заключается в том что	1	2
9	если это так то	1	2
10	и тем не менее	3	1
11	одного и того же	2	1
12	что бы то ни	1	1
13	в первом случае мы	1	1
14	в самом деле не	2	1
15	общем смысле этого слова	1	1
16	что есть еще и	1	1
17	и вместе с тем	1	1
18	когда имеется в виду	1	1
19	до самого последнего времени	1	1
20	в том смысле что	1	1
21	когда мы говорим что	1	1
