N	4gram	Bakhtin_fo_2	Marksizm
1	одного и того же	1	5
2	в то же время	4	3
3	в связи с этим	2	3
4	может быть и речи	1	2
5	в том числе и	2	2
6	не может быть и	1	2
7	но в то же	1	2
8	и пр и пр	1	2
9	друг с другом и	1	1
10	связи с тем что	1	1
11	и в большинстве случаев	1	1
12	одна и та же	2	1
13	не выходит за пределы	1	1
14	сводится к тому что	1	1
15	именно в том что	1	1
16	в том что он	1	1
17	не значит конечно что	1	1
18	с этой точки зрения	1	1
19	это не значит конечно	1	1
20	о каждом из них	1	1
21	в связи с тем	1	1
22	в своем чистом виде	1	1
23	как мы увидим дальше	1	1
24	все более и более	1	1
