N	2gram	Berdyaev_N_1	Russkaja
1	не может	16	22
2	и не	11	19
3	в том	8	17
4	в этом	7	17
5	и в	16	14
6	то что	4	13
7	в то	2	10
8	но и	3	10
9	в себе	2	9
10	не только	5	9
11	том что	2	9
12	может быть	7	9
13	во всяком	1	9
14	того чтобы	2	8
15	прежде всего	4	8
16	как на	1	8
17	к богу	2	7
18	и с	2	7
19	к тому	3	7
20	не будет	7	7
21	россии в	1	7
22	стремление к	2	7
23	о том	4	7
24	мы должны	1	7
25	ни к	2	7
26	в своем	1	6
27	и к	5	6
28	в россии	3	6
29	с тем	3	6
30	все это	5	6
31	и для	4	6
32	для того	1	6
33	что он	1	6
34	всяком случае	1	6
35	для всех	1	6
36	вопрос о	3	5
37	и на	2	5
38	во имя	15	5
39	во всех	3	5
40	в нем	5	5
41	он не	8	5
42	было бы	1	5
43	в своей	3	5
44	никогда не	6	5
45	потому что	4	5
46	церкви не	2	5
47	и только	1	5
48	только в	1	5
49	хотя бы	2	5
50	конечно не	3	5
51	в последние	1	5
52	до сих	1	5
53	себя и	1	5
54	по существу	2	5
55	сих пор	1	5
56	а в	2	5
57	жизни в	3	5
58	но не	2	4
59	себе и	1	4
60	себя в	2	4
61	не в	6	4
62	в этой	1	4
63	том случае	1	4
64	как и	7	4
65	во всем	1	4
66	ли это	2	4
67	от того	1	4
68	не могут	1	4
69	приводит к	1	4
70	в мире	3	4
71	можно было	2	4
72	в его	1	4
73	так как	1	4
74	лишь к	1	4
75	вместе с	2	4
76	к вопросу	1	4
77	возможно лишь	1	4
78	отказаться от	1	4
79	жизни и	8	4
80	что в	9	4
81	к этой	1	4
82	все что	1	4
83	и этот	1	3
84	советской россии	1	3
85	говорить о	1	3
86	в будущем	2	3
87	еще не	3	3
88	из этих	1	3
89	россии и	1	3
90	в самом	1	3
91	ни одна	2	3
92	был и	1	3
93	россии будет	1	3
94	лишь в	6	3
95	для них	1	3
96	должно быть	4	3
97	но если	1	3
98	и сейчас	1	3
99	том чтобы	2	3
100	быть признан	1	3
101	одна из	2	3
102	то это	1	3
103	что все	2	3
104	для этого	2	3
105	в значительной	1	3
106	вопросу о	1	3
107	и во	1	3
108	в большинстве	1	3
109	из них	1	3
110	в конце	1	3
111	друг друга	1	3
112	тем что	1	3
113	не было	4	3
114	и потому	4	3
115	культуры в	5	3
116	все они	2	3
117	не есть	3	3
118	случае если	1	3
119	от этой	1	2
120	к отрицанию	1	2
121	зависимость от	1	2
122	и есть	10	2
123	должна быть	3	2
124	к чему	1	2
125	из всех	1	2
126	но она	2	2
127	на себя	1	2
128	в ней	5	2
129	они будут	1	2
130	с этим	2	2
131	будут не	3	2
132	помнить что	2	2
133	но в	2	2
134	от европы	1	2
135	это есть	7	2
136	а во-вторых	1	2
137	все эти	2	2
138	что ничего	1	2
139	сами эти	1	2
140	стремиться к	2	2
141	культуре и	1	2
142	не к	2	2
143	мы уже	1	2
144	всех народов	1	2
145	по себе	1	2
146	одному из	1	2
147	этого не	1	2
148	в этих	1	2
149	во время	1	2
150	будет в	1	2
151	что такое	3	2
152	в котором	1	2
153	место в	2	2
154	ее он	1	2
155	в силу	1	2
156	и более	1	2
157	их в	1	2
158	том и	2	2
159	она не	3	2
160	только для	1	2
161	у него	2	2
162	весь смысл	1	2
163	совершенно также	1	2
164	людей и	1	2
165	как будто	2	2
166	в области	1	2
167	к себе	1	2
168	т.е к	1	2
169	понять что	1	2
170	для себя	1	2
171	россию и	1	2
172	культуры и	7	2
173	и должно	2	2
174	и что	2	2
175	к нему	1	2
176	народов и	1	2
177	время когда	1	2
178	мировую войну	1	2
179	их не	1	2
180	уже не	2	2
181	центр тяжести	2	2
182	ни в	6	2
183	к той	1	2
184	и вместе	1	2
185	и даже	2	2
186	зависит от	2	2
187	а не	17	2
188	большинстве случаев	1	2
189	себя на	1	2
190	так же	2	2
191	политической жизни	1	2
192	есть и	1	2
193	но это	6	2
194	общественной жизни	6	2
195	но для	2	2
196	и от	2	2
197	чтобы понять	1	2
198	в зависимость	1	2
199	самом себе	1	2
200	с ним	1	2
201	на это	1	2
202	что хотим	1	1
203	должен быть	5	1
204	того же	1	1
205	он может	1	1
206	для политики	1	1
207	силы и	2	1
208	часто совершенно	1	1
209	это и	2	1
210	не хочет	1	1
211	права и	2	1
212	можно лишь	1	1
213	к созданию	2	1
214	в зависимости	1	1
215	и искать	1	1
216	мы не	2	1
217	же как	2	1
218	не во	4	1
