N	2gram	Losev_Vesc_1	Problemy
1	и в	21	35
2	как бы	12	31
3	и не	29	27
4	что он	1	24
5	в его	2	21
6	но в	5	19
7	как и	8	18
8	к себе	4	18
9	не может	17	18
10	к другому	1	16
11	в нем	2	16
12	то же	6	15
13	с самим	4	15
14	и все	5	15
15	в сущности	4	14
16	в этом	4	14
17	и его	2	14
18	для него	4	14
19	может быть	16	14
20	но и	18	14
21	все это	5	14
22	что я	24	13
23	к нему	1	13
24	и с	8	12
25	в другом	2	12
26	прежде всего	9	12
27	и к	1	12
28	в пределах	1	11
29	в то	3	11
30	слова и	5	11
31	самом деле	4	10
32	не только	36	10
33	не в	5	10
34	то что	27	10
35	а я	1	10
36	на самом	1	9
37	самим собою	2	9
38	в отношении	4	9
39	мы уже	3	8
40	я не	4	8
41	все же	4	8
42	как мы	4	8
43	так и	3	8
44	себя и	4	8
45	и для	9	8
46	потому что	16	8
47	еще не	8	7
48	с его	1	7
49	себе и	1	7
50	и наконец	1	7
51	таким образом	8	7
52	я сам	3	7
53	для себя	5	7
54	в виде	1	7
55	вовсе не	10	7
56	так же	1	7
57	что же	8	7
58	себя самого	2	7
59	точки зрения	5	7
60	с ним	8	7
61	а в	4	7
62	но не	5	6
63	отношение к	1	6
64	что они	6	6
65	в самом	9	6
66	что у	5	6
67	в слове	2	6
68	у меня	3	6
69	к тому	3	6
70	он с	1	6
71	в одном	2	6
72	и что	15	6
73	только в	14	6
74	слова в	2	6
75	на меня	3	6
76	но это	10	6
77	что в	9	6
78	и то	10	5
79	с собою	6	5
80	в себе	14	5
81	он и	1	5
82	знает и	2	5
83	от себя	1	5
84	в конце	2	5
85	да и	3	5
86	его с	1	5
87	и это	14	5
88	в том	8	5
89	с ними	3	5
90	так что	5	5
91	к самому	1	5
92	и даже	6	5
93	когда я	5	5
94	как к	4	5
95	ведь и	5	4
96	бы уже	1	4
97	так чтобы	2	4
98	в чем	6	4
99	нет и	1	4
100	же и	1	4
101	та же	1	4
102	что это	13	4
103	но на	2	4
104	и вот	2	4
105	друг с	1	4
106	я бы	1	4
107	же не	1	4
108	из своего	1	4
109	его в	2	4
110	и утверждения	1	4
111	переходим к	1	4
112	я ведь	1	4
113	в своей	5	4
114	но он	2	4
115	по себе	13	4
116	я для	1	4
117	меня не	2	4
118	никогда не	2	4
119	и без	3	4
120	во всем	1	4
121	как раз	9	4
122	как будто	1	4
123	и делает	2	4
124	той или	2	4
125	не хочу	1	4
126	говорили что	1	4
127	сознания и	1	4
128	все время	1	4
129	и так	1	4
130	теперь в	1	4
131	и у	3	4
132	только на	3	4
133	всяком случае	2	4
134	так как	7	4
135	не о	1	4
136	у него	2	4
137	тем что	2	4
138	или иной	1	4
139	с другой	6	4
140	и прежде	1	4
141	с другом	1	4
142	что не	5	4
143	а не	19	4
144	с которым	1	4
145	в той	3	4
146	бы в	5	4
147	я в	2	4
148	тот же	3	4
149	во всяком	3	4
150	себя как	2	3
151	это и	6	3
152	обойтись без	2	3
153	говорить о	6	3
154	в виду	2	3
155	это действительно	1	3
156	бы то	4	3
157	во всех	2	3
158	в общем	1	3
159	с этим	3	3
160	когда он	1	3
161	стиль его	1	3
162	все эти	3	3
163	ее как	2	3
164	и кто	2	3
165	тому же	1	3
166	него и	1	3
167	одно и	5	3
168	то ни	4	3
169	знает что	2	3
170	было бы	14	3
171	с тем	5	3
172	вот я	1	3
173	в котором	3	3
174	к одному	3	3
175	раз и	1	3
176	но только	3	3
177	а так	2	3
178	ничего не	3	3
179	или как	2	3
180	только с	3	3
181	с ее	6	3
182	всего этого	1	3
183	в ее	7	3
184	с человеком	1	3
185	сводится к	2	3
186	это я	4	3
187	и во	3	3
188	что и	3	3
189	это не	5	3
190	в него	1	3
191	того что	8	3
192	но так	1	3
193	нуждается в	1	3
194	со всеми	1	3
195	уже не	9	3
196	уже в	1	3
197	из них	4	3
198	его и	2	3
199	даже и	4	3
200	другого и	1	3
201	а с	3	3
202	своего собственного	1	3
203	должно быть	6	3
204	не мог	1	3
205	и от	3	3
206	конце концов	2	3
207	мы должны	2	3
208	ибо в	1	3
209	только что	2	3
210	ни было	4	3
211	том что	8	3
212	сказать что	17	3
213	другой стороны	2	3
214	бы его	1	3
215	я и	6	2
216	чтобы не	1	2
217	сам по	3	2
218	живое и	1	2
219	в первом	2	2
220	из его	2	2
221	и этот	2	2
222	и тут	3	2
223	мы говорили	2	2
224	еще до	1	2
225	время как	1	2
226	своему смыслу	1	2
227	одного слова	1	2
228	кто же	1	2
229	в ней	12	2
230	быть в	1	2
231	отличие от	1	2
232	не просто	19	2
233	однако в	1	2
234	в своем	6	2
235	мы можем	4	2
236	хотя и	4	2
237	и как	8	2
238	скажете что	1	2
239	не кажется	1	2
240	в которой	1	2
241	бы и	5	2
242	момент его	1	2
243	еще один	1	2
244	раз в	1	2
245	но ведь	2	2
246	вообще не	2	2
247	при этом	1	2
248	но именно	2	2
249	всех этих	1	2
250	внутреннего и	4	2
251	оно должно	1	2
252	с таким	1	2
253	их в	3	2
254	что тут	6	2
255	и по	1	2
256	на этом	2	2
257	такого же	1	2
258	а затем	2	2
259	что все	2	2
260	той же	2	2
261	это было	1	2
262	было в	1	2
263	с другими	8	2
264	ни в	1	2
265	но уже	3	2
266	если я	6	2
267	все равно	2	2
268	и того	2	2
269	же я	1	2
270	в этих	1	2
271	с точки	3	2
272	в отличие	1	2
273	же но	1	2
274	как можно	3	2
275	между двумя	1	2
276	тому что	2	2
277	вопрос о	1	2
278	если и	1	2
279	не менее	3	2
280	но что	2	2
281	ничего что	1	2
282	о них	1	2
283	слово и	4	2
284	подобно тому	4	2
285	этих двух	2	2
286	и внешнего	2	2
287	к ней	2	2
288	по своей	2	2
289	голоса в	1	2
290	ли это	7	2
291	теперь когда	1	2
292	есть только	7	2
293	лежит в	1	2
294	а что	1	2
295	для его	1	2
296	и он	1	2
297	что вы	3	2
298	из их	1	2
299	и самое	2	2
300	без всякого	4	2
301	уже с	1	2
302	так в	1	2
303	приводит к	1	2
304	в дальнейшем	1	2
305	с собой	2	2
306	можно было	2	2
307	конечно в	1	2
308	времени и	1	2
309	мог бы	5	2
310	жизнь и	1	2
311	для этого	4	2
312	о нем	1	2
313	только так	1	2
314	о том	6	2
315	на вопрос	1	2
316	почему же	1	2
317	не дурно	1	2
318	у другого	1	2
319	себя но	1	2
320	и пусть	1	2
321	быть и	1	2
322	вне себя	2	2
323	но ни	1	2
324	весь стиль	1	2
325	то в	4	2
326	в эти	1	2
327	себя в	10	2
328	теперь же	2	2
329	со своим	7	2
330	конечно не	1	2
331	в жизни	3	2
332	мы знаем	1	2
333	него нет	1	2
334	совсем другое	1	2
335	не случайно	2	2
336	уже и	1	2
337	что на	2	2
338	говорит о	1	2
339	от другого	1	2
340	на этот	1	2
341	мы видели	1	2
342	слово слово	1	2
343	в темноте	1	2
344	вместе с	1	2
345	тому как	4	2
346	себя то	1	2
347	когда она	4	2
348	из этого	1	2
349	с этой	4	2
350	но для	2	2
351	это уже	1	2
352	самое главное	2	2
353	или в	2	2
354	что оно	8	2
355	с уже	1	2
356	и ни	1	2
357	я хочу	5	2
358	хотя бы	6	2
359	будто бы	1	2
360	на одно	1	2
361	еще очень	1	2
362	слово в	2	2
