N	2gram	Bakhtin_fo_2	DiskursI
1	в качестве	3	34
2	не только	11	28
3	в том	10	23
4	литературных жанров	1	22
5	а не	4	22
6	то есть	10	20
7	том что	4	19
8	может быть	7	17
9	как и	8	16
10	и в	46	16
11	в этом	22	15
12	еще не	6	14
13	но и	9	14
14	при этом	6	13
15	и т.п	2	12
16	по своей	1	11
17	но не	5	11
18	прежде всего	14	11
19	и не	9	11
20	как в	4	10
21	далеко не	2	10
22	с другой	2	10
23	в нем	5	9
24	не может	2	9
25	с одной	2	9
26	одной стороны	1	9
27	в частности	5	9
28	отнюдь не	4	8
29	но в	10	8
30	о том	4	8
31	так и	7	8
32	а также	3	8
33	не было	3	7
34	в себе	4	7
35	то же	8	7
36	не в	9	7
37	в основе	6	7
38	роль в	3	7
39	в его	8	7
40	только в	11	7
41	в своем	5	6
42	и как	3	6
43	и на	7	5
44	во всех	11	5
45	отличие от	1	5
46	в котором	4	5
47	в их	3	5
48	в отличие	1	5
49	в себя	2	5
50	сводится к	1	5
51	в эпоху	4	5
52	или иной	2	5
53	можно сказать	2	5
54	в данном	2	5
55	как бы	10	5
56	личного авторства	1	5
57	к тому	3	5
58	а в	3	5
59	то что	7	5
60	в своей	1	5
61	и о	2	4
62	в которых	3	4
63	с его	1	4
64	отношение к	3	4
65	в истории	4	4
66	и к	2	4
67	уже не	3	4
68	на его	1	4
69	не как	1	4
70	лишь в	2	4
71	в них	7	4
72	потому что	8	4
73	могут быть	2	4
74	для себя	1	4
75	и т.д	1	4
76	внимание на	1	4
77	же время	4	4
78	между тем	1	4
79	что он	3	4
80	для него	3	4
81	в особенности	6	4
82	что не	1	4
83	связи с	8	4
84	не является	3	4
85	что в	5	4
86	также и	4	3
87	того же	3	3
88	и потому	2	3
89	значении этого	1	3
90	в каждой	1	3
91	той или	1	3
92	в одной	2	3
93	с этим	5	3
94	в самом	1	3
95	вследствие этого	1	3
96	это не	2	3
97	и того	1	3
98	точки зрения	10	3
99	однако в	1	3
100	по себе	2	3
101	в то	5	3
102	таким образом	3	3
103	должны быть	1	3
104	как не	1	3
105	свою очередь	1	3
106	но при	1	3
107	в ее	1	3
108	в произведении	1	3
109	времени и	1	3
110	еще в	1	3
111	и даже	3	3
112	картина мира	2	3
113	что и	3	3
114	существенную роль	1	3
115	из них	8	3
116	к ним	2	3
117	тем что	3	3
118	именно в	2	3
119	имеет место	3	3
120	мира в	3	3
121	по своему	2	3
122	того что	3	3
123	один из	2	3
124	все же	6	3
125	как уже	3	3
126	мог быть	1	3
127	целью и	1	3
128	в свою	1	3
129	сказать что	1	3
130	другой стороны	1	3
131	отношения к	4	2
132	например в	1	2
133	и есть	2	2
134	к сыну	1	2
135	он всегда	1	2
136	для своего	1	2
137	мы имеем	2	2
138	в сущности	2	2
139	ему в	3	2
140	в виду	3	2
141	между собой	1	2
142	в различных	1	2
143	но как	1	2
