N	3gram	Losev_Vesc_1	Russkaja
1	друг с другом	1	14
2	в то же	1	10
3	с точки зрения	3	9
4	в том что	4	7
5	во всяком случае	2	6
6	для того чтобы	2	6
7	до сих пор	1	5
8	более или менее	1	4
9	на то что	2	4
10	бы то ни	4	4
11	не может быть	6	4
12	не может не	1	3
13	при таких условиях	1	3
14	вместе с тем	1	3
15	можно было бы	1	3
16	и то что	3	3
17	в данном случае	2	3
18	в конце концов	2	3
19	а следовательно и	1	2
20	в себе и	1	2
21	не только к	2	2
22	по самому своему	1	2
23	и во всяком	1	2
24	это потому что	1	2
25	о том что	4	2
26	к тому что	2	2
27	сама по себе	3	2
28	она не может	2	2
29	но и к	1	2
30	и того же	1	1
31	ни от какого	1	1
32	или хотя бы	1	1
33	заключается не в	1	1
34	дело в том	2	1
35	в свою очередь	4	1
36	себе что эти	1	1
37	между прочим и	1	1
38	в самом деле	4	1
39	но даже и	2	1
40	то же самое	1	1
41	то что эта	1	1
42	и не только	4	1
43	то что же	1	1
44	ибо тот кто	1	1
45	и то и	1	1
46	которые для нее	1	1
47	это значило бы	2	1
48	только то что	2	1
49	в этом отношении	1	1
50	что не только	1	1
51	ни у кого	1	1
52	совершенно самостоятельные и	1	1
53	что все это	1	1
54	тот или иной	1	1
55	по крайней мере	4	1
56	то и другое	4	1
57	есть то что	4	1
58	не есть только	2	1
59	и в частности	1	1
60	в применении к	1	1
61	ни от каких	1	1
62	то что оно	2	1
63	в том чтобы	1	1
64	то ни было	4	1
65	которых идет речь	1	1
66	только один из	1	1
67	только в виде	1	1
68	и как бы	1	1
69	те или другие	4	1
70	с нею и	1	1
71	внутренней и внешней	1	1
72	также и то	1	1
73	о которых идет	1	1
74	мы подходим к	1	1
75	сих пор мы	1	1
76	надо чтобы она	1	1
77	так же как	1	1
78	потому что они	3	1
79	не привело бы	1	1
80	но можно ли	1	1
81	относится не только	1	1
82	она могла бы	2	1
83	а в том	1	1
84	что оно есть	4	1
85	от того что	1	1
86	заключается в том	1	1
87	даже и в	1	1
88	тех или иных	1	1
89	это и есть	1	1
90	содержат в себе	1	1
91	но и для	1	1
92	как бы ни	2	1
93	вопрос о том	1	1
94	в результате этого	1	1
95	одного и того	1	1
96	мы не знаем	1	1
97	тем не менее	3	1
98	по сравнению со	1	1
99	важно только чтобы	1	1
100	две совершенно самостоятельные	1	1
