N	3gram	Propp_Russ_2	PoTuStor
1	во всяком случае	1	3
2	не может быть	3	3
3	можно сказать что	1	3
4	по аналогии с	1	2
5	так же как	4	2
6	все то что	1	2
7	о том что	4	2
8	и в этом	1	2
9	и связанных с	1	1
10	мы здесь имеем	1	1
11	а иногда и	1	1
12	дело в том	1	1
13	подобно тому как	3	1
14	во многих случаях	2	1
15	же как и	2	1
16	таким образом к	1	1
17	а может быть	1	1
18	в этом отношении	1	1
19	можно было бы	1	1
20	все же в	1	1
21	может быть только	2	1
22	всей их сложности	1	1
23	вместе с тем	4	1
24	в данном случае	6	1
25	с одной стороны	2	1
26	ничего общего не	1	1
27	в применении к	1	1
28	всяком случае не	1	1
29	но вместе с	2	1
30	в этом и	2	1
31	во всей их	1	1
32	в том что	18	1
33	и таким образом	1	1
34	а вместе с	1	1
35	мы не можем	2	1
36	это и есть	1	1
37	жизни в этом	1	1
38	по его мнению	1	1
39	что иное как	2	1
40	или во всяком	1	1
41	не что иное	2	1
42	мы уже знаем	1	1
43	для того чтобы	6	1
44	на первый взгляд	1	1
45	этим как бы	1	1
