N	3gram	Propp_Russ_1	Marksizm
1	с точки зрения	3	20
2	в связи с	4	7
3	в настоящее время	3	6
4	и того же	1	5
5	одного и того	1	5
6	в отличие от	1	5
7	как мы знаем	1	5
8	одни и те	1	5
9	и те же	1	5
10	в этом случае	5	3
11	мы не будем	2	3
12	в этом отношении	1	3
13	на этот вопрос	1	3
14	может быть и	2	3
15	но все же	2	3
16	можно сказать что	1	3
17	в большинстве случаев	2	3
18	в том что	15	3
19	же как и	1	2
20	в таком случае	1	2
21	на самом же	1	2
22	можно было бы	1	2
23	и пр и	1	2
24	из основных проблем	1	2
25	так же как	1	2
26	во всяком случае	1	2
27	в какой степени	2	2
28	вопрос о том	1	2
29	по отношению к	1	2
30	в свою очередь	2	2
31	самом же деле	1	2
32	тем не менее	3	2
33	ничего общего с	1	2
34	к этому же	2	1
35	а следовательно и	1	1
36	является по преимуществу	1	1
37	подобно тому как	1	1
38	или совсем не	1	1
39	в себе и	1	1
40	независимо от того	1	1
41	будем останавливаться на	2	1
42	к ней как	1	1
43	том что во	1	1
44	вызывают к жизни	1	1
45	ничего общего не	1	1
46	так как они	2	1
47	и как бы	1	1
48	все же не	2	1
49	это не значит	2	1
50	как мы увидим	5	1
51	и та же	1	1
52	одна и та	1	1
53	в целом ряде	1	1
54	хотя они и	1	1
55	и все другие	1	1
56	мы уже знаем	1	1
57	в русском языке	1	1
58	с тем что	1	1
59	широкой и углубленной	1	1
60	не только в	1	1
61	как мы видим	1	1
62	как мы уже	1	1
63	не будем останавливаться	2	1
64	кроме того в	1	1
65	к тому что	4	1
66	в особенности же	1	1
67	на самом деле	1	1
68	друг с другом	1	1
69	во многих отношениях	1	1
70	одна из основных	1	1
71	как мы видели	1	1
